file,sha256,size,is_pe,machine,section_count,high_entropy_sections,exact_staticKey_hits,public_false_key_hits,packet_key_tail_hits,mask_3f_hits,mask_07_hits,sm_key_hits,client_server_key_term_hits,exec_cooccurrence_windows,classification,classification_reason
inbox\euroaion\Aion\Aion4.9\aion.bin,74c46c666b1a264f0d413b48af233c4b665c8dd9bfbdb1645ff248ca1e942c09,4848592,yes,x64,6,,0,0,0,1,13,0,0,2,no_relevant_candidate,no file-backed game packet crypto signal
inbox\euroaion\Aion\Aion4.9\game.dll,f6e0476fb013bc08c36d389ae3789a15334496bc98d13070bd69c95265b0a299,27441616,yes,x64,6,,1,0,2,80,89,0,0,0,public_reference_control,public staticKey/native reference present; not EuroAion evidence
inbox\euroaion\Aion\Detiny\Aion.bin,95bbdc1e2a3ee30a989d6ab0d4d8acc1bb77dcc4c70e9a647b2ad4f07692e28a,612008,yes,x64,8,.aion1:7.94,0,0,0,0,0,0,0,0,no_file_backed_packet_crypto_candidate,"no exact staticKey, no public false-key constants, no SM_KEY/client/server key strings, and no executable crypto co-occurrence"
inbox\euroaion\Aion\Detiny\Game.dll,1500e5d527dafc52977007cda25d8459b2083ff9b293220b961b3002052dd35a,7234728,yes,x64,11,.aion1:7.91,0,0,0,0,0,0,0,0,no_file_backed_packet_crypto_candidate,"no exact staticKey, no public false-key constants, no SM_KEY/client/server key strings, and no executable crypto co-occurrence"
inbox\euroaion\Aion\EuroAion\aion.bin,9863823733f83a3ac342e41b54c5fd7b5d34860628a4200c0594f15955c6d8ee,615488,yes,x64,8,.aion1:7.93,0,0,0,0,0,0,0,0,no_file_backed_packet_crypto_candidate,"no exact staticKey, no public false-key constants, no SM_KEY/client/server key strings, and no executable crypto co-occurrence"
inbox\euroaion\Aion\EuroAion\game.dll,c4b5ad116928685c0cd443bdb301e9fe04655d1129e9f9acad8254f68cc1846d,7249984,yes,x64,11,.aion1:7.93,0,0,0,0,0,0,0,0,no_file_backed_packet_crypto_candidate,"no exact staticKey, no public false-key constants, no SM_KEY/client/server key strings, and no executable crypto co-occurrence"
inbox\euroaion\Aion\EuroAion\libeay32.dll,cdf228d8343099f6edb6f06fb8f55c3a43aa8ef311c7c034fadfa5a5c8323b36,1413120,yes,x64,5,,0,0,0,152,39,0,0,1,irrelevant_library_crypto,"OpenSSL library/export surface, not game packet transform evidence"
inbox\euroaion\Aion\EuroAion\ssleay32.dll,b209e9e9208163b0ec5e88e4e3df73d33f37f4d5dbf4b3e7affd7b505cbde7c1,250368,yes,x64,5,,0,0,0,0,0,0,0,0,irrelevant_library_crypto,"OpenSSL library/export surface, not game packet transform evidence"
inbox\euroaion\Aion\EuroAion\version.dll,c5f05bd29cc4d264bac7771f39ee565bd49acbe5ae6cc3d839ff863312a3da9b,123392,yes,x64,8,,0,0,0,1,9,0,0,2,no_file_backed_packet_crypto_candidate,"no exact staticKey, no public false-key constants, no SM_KEY/client/server key strings, and no executable crypto co-occurrence"
inbox\euroaion\Aion\Gamez\aion.bin,9b03b39cec460314ce33565449c651d7dc183606490146dd9abedeaa7500b708,4501064,yes,x64,5,,0,0,0,1,13,0,0,2,no_relevant_candidate,no file-backed game packet crypto signal
inbox\euroaion\Aion\Gamez\game.dll,d8645dadfb91e1c2af08a6c9ae313e3d5e07e59ed9b1d004dddcb7b516047296,26301512,yes,x64,5,,1,4,2,79,120,0,0,2,public_reference_control,public staticKey/native reference present; not EuroAion evidence
