packet_no,anchor_packet_no,tcp_stream,direction,payload_len,payload_hex,key_name,key8_hex,order_variant,status,length_le,length_sane,opcode_hex,opcode_complement_ok,utf16le_or_ascii_containment,matched_messages,decoded_prefix_hex,decoded_prefix_ascii,notes
9760,9741,105,S2C,21,6b57eb174971c3c05e7e2492a6dc2103d99a3ab7af,seed_le_tail_le,3990c5a2a16c5487,Blowfish_then_XORpass,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9760,9741,105,S2C,21,6b57eb174971c3c05e7e2492a6dc2103d99a3ab7af,seed_le_tail_le,3990c5a2a16c5487,XORpass_then_Blowfish,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9760,9741,105,S2C,21,6b57eb174971c3c05e7e2492a6dc2103d99a3ab7af,seed_le_tail_le,3990c5a2a16c5487,Blowfish_only,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9760,9741,105,S2C,21,6b57eb174971c3c05e7e2492a6dc2103d99a3ab7af,seed_le_tail_le,3990c5a2a16c5487,XORpass_only_offset_0_preupdate_0,tested,59218,no,36,no,no,,52e73671a83792d597f1c958f766d3c3a1b83619f7,R.6q.7.....X.f....6..,public staticKey XORpass only
9760,9741,105,S2C,21,6b57eb174971c3c05e7e2492a6dc2103d99a3ab7af,seed_le_tail_le,3990c5a2a16c5487,XORpass_only_offset_2_preupdate_0,tested,22379,no,D2,no,no,,6b57d227d4b5440cbef65367a7943e3ef4a2db768e,kW.'..D...Sg..>>...v.,public staticKey XORpass only
9760,9741,105,S2C,21,6b57eb174971c3c05e7e2492a6dc2103d99a3ab7af,seed_le_tail_le,3990c5a2a16c5487,XORpass_only_offset_0_preupdate_1,tested,59173,no,36,no,no,,25e73671a83792d5e0f1c958f766d3c3d6b83619f7,%.6q.7.....X.f....6..,public staticKey XORpass only
9760,9741,105,S2C,21,6b57eb174971c3c05e7e2492a6dc2103d99a3ab7af,seed_le_tail_le,3990c5a2a16c5487,XORpass_only_offset_2_preupdate_1,tested,22379,no,A7,no,no,,6b57a727d4b5440cbef62667a7943e3ef4a2ae768e,kW.'..D...&g..>>...v.,public staticKey XORpass only
9760,9741,105,S2C,21,6b57eb174971c3c05e7e2492a6dc2103d99a3ab7af,seed_be_tail_le,a2c59039a16c5487,Blowfish_then_XORpass,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9760,9741,105,S2C,21,6b57eb174971c3c05e7e2492a6dc2103d99a3ab7af,seed_be_tail_le,a2c59039a16c5487,XORpass_then_Blowfish,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9760,9741,105,S2C,21,6b57eb174971c3c05e7e2492a6dc2103d99a3ab7af,seed_be_tail_le,a2c59039a16c5487,Blowfish_only,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
