handler_index,handler_va,occurrence_count,classification,notes
0,0x0000000011B588A3,8,shift_rotate,"First: SHRD AX, BP, CL (opcodes: [6, 41, 59, 82])"
1,0x0000000011B57FCF,7,add_sub,"First: ADD CL, BH (opcodes: [0, 19, 52, 92])"
2,0x0000000011B57EFD,6,shift_rotate,"First: ROR AL, 0x3 (opcodes: [4, 89, 100, 154])"
3,0x0000000011B57488,6,shift_rotate,"First: BTR AX, SP (opcodes: [10, 71, 73, 158])"
4,0x0000000011B5805A,6,add_sub,"First: NEG DH (opcodes: [25, 56, 84, 117])"
5,0x0000000011B54C50,6,constant_load,"First: SETNP AL (opcodes: [28, 44, 47, 123])"
6,0x0000000011B556DA,6,add_sub,"First: SBB AH, DH (opcodes: [76, 78, 87, 176])"
7,0x0000000011B57796,6,shift_rotate,"First: BT BX, 0x9 (opcodes: [113, 120, 157, 187])"
8,0x0000000011B55954,5,branch_dispatch,"First: JMP 0x11b56aea (opcodes: [5, 60, 86, 178])"
9,0x0000000011B58D41,5,shift_rotate,"First: BT BX, 0xb (opcodes: [16, 67, 168, 223])"
10,0x0000000011B57D11,5,shift_rotate,"First: RCL AH, CL (opcodes: [20, 48, 114, 133])"
11,0x0000000011B5972C,5,shift_rotate,"First: SHLD AX, SP, 0x9 (opcodes: [27, 50, 155, 166])"
12,0x0000000011B57DEE,5,branch_dispatch,"First: JMP 0x11b569e0 (opcodes: [32, 40, 88, 224])"
13,0x0000000011B55CAF,5,shift_rotate,"First: RCL AL, CL (opcodes: [33, 93, 183, 205])"
14,0x0000000011B57B90,5,shift_rotate,"First: ROR AL, CL (opcodes: [46, 185, 190, 222])"
15,0x0000000011B54AFF,5,xor,"First: NOT DX (opcodes: [49, 98, 125, 152])"
16,0x0000000011B5782F,5,unknown,"First: MOVSX DX, AL (opcodes: [54, 61, 70, 134])"
17,0x0000000011B57B51,5,unknown,"First: LEA RAX, [0x4e9bbe27 + RSI*0x8] (opcodes: [68, 80, 148, 186])"
18,0x0000000011B57CDE,5,unknown,"First: RCR AL, 0x1 (opcodes: [83, 105, 141, 177])"
19,0x0000000011B56A65,5,unknown,"First: INC RDX (opcodes: [106, 130, 174, 212])"
20,0x0000000011B56057,4,unknown,"First: MOV CL, 0x79 (opcodes: [3, 207, 225, 227])"
21,0x0000000011B556EA,4,unknown,"First: BSWAP EDX (opcodes: [8, 12, 74, 75])"
22,0x0000000011B57363,4,unknown,"First: CMC  (opcodes: [18, 24, 138, 139])"
23,0x0000000011B57935,4,xor,"First: NOT AL (opcodes: [21, 57, 163, 175])"
24,0x0000000011B572EC,4,add_sub,"First: ADD AL, AH (opcodes: [22, 115, 228, 253])"
25,0x0000000011B57EEB,4,branch_dispatch,"First: JMP 0x11b56eae (opcodes: [29, 55, 103, 215])"
