handler_or_range,start_va,end_va,behavior_classes,evidence_source,notes
entry_launch_11B566B4,0x0000000011B566B4,0x0000000011B56C20,unknown,EA_VM_TargetDumpJava dumpRange name only; generated p-code missing,High-level classification is weak because only exporter range names are present.
tls_launch_11B56C63,0x0000000011B56C63,0x0000000011B57200,unknown,EA_VM_TargetDumpJava dumpRange name only; generated p-code missing,High-level classification is weak because only exporter range names are present.
dispatcher1_11B56200,0x0000000011B56200,0x0000000011B56350,unknown,EA_VM_TargetDumpJava dumpRange name only; generated p-code missing,High-level classification is weak because only exporter range names are present.
dispatcher2_11B57980,0x0000000011B57980,0x0000000011B57B00,unknown,EA_VM_TargetDumpJava dumpRange name only; generated p-code missing,High-level classification is weak because only exporter range names are present.
dispatcher3_11B58520,0x0000000011B58520,0x0000000011B58680,unknown,EA_VM_TargetDumpJava dumpRange name only; generated p-code missing,High-level classification is weak because only exporter range names are present.
handler_71_11B57796,0x0000000011B57796,0x0000000011B57820,unknown,EA_VM_TargetDumpJava dumpRange name only; generated p-code missing,High-level classification is weak because only exporter range names are present.
dispatcher_part2_11B56580,0x0000000011B56580,0x0000000011B565C8,unknown,EA_VM_TargetDumpJava dumpRange name only; generated p-code missing,High-level classification is weak because only exporter range names are present.
dispatcher_part3_11B55768,0x0000000011B55768,0x0000000011B557B0,unknown,EA_VM_TargetDumpJava dumpRange name only; generated p-code missing,High-level classification is weak because only exporter range names are present.
handler_71_part2_11B5816E,0x0000000011B5816E,0x0000000011B58200,unknown,EA_VM_TargetDumpJava dumpRange name only; generated p-code missing,High-level classification is weak because only exporter range names are present.
handler_71_part3_11B572B3,0x0000000011B572B3,0x0000000011B57320,unknown,EA_VM_TargetDumpJava dumpRange name only; generated p-code missing,High-level classification is weak because only exporter range names are present.
handler_71_part4_11B57E8F,0x0000000011B57E8F,0x0000000011B57F20,unknown,EA_VM_TargetDumpJava dumpRange name only; generated p-code missing,High-level classification is weak because only exporter range names are present.
handler_71_part5_11B592BF,0x0000000011B592BF,0x0000000011B59320,unknown,EA_VM_TargetDumpJava dumpRange name only; generated p-code missing,High-level classification is weak because only exporter range names are present.
handler_71_part6_11B55BEE,0x0000000011B55BEE,0x0000000011B55C30,unknown,EA_VM_TargetDumpJava dumpRange name only; generated p-code missing,High-level classification is weak because only exporter range names are present.
handler_71_part7_11B58814,0x0000000011B58814,0x0000000011B58860,unknown,EA_VM_TargetDumpJava dumpRange name only; generated p-code missing,High-level classification is weak because only exporter range names are present.
handler_71_part8_11B56004,0x0000000011B56004,0x0000000011B56100,unknown,EA_VM_TargetDumpJava dumpRange name only; generated p-code missing,High-level classification is weak because only exporter range names are present.
handler_71_part9_11B58B2B,0x0000000011B58B2B,0x0000000011B58B80,unknown,EA_VM_TargetDumpJava dumpRange name only; generated p-code missing,High-level classification is weak because only exporter range names are present.
handler_71_part10_11B56250,0x0000000011B56250,0x0000000011B562B5,unknown,EA_VM_TargetDumpJava dumpRange name only; generated p-code missing,High-level classification is weak because only exporter range names are present.
handler_71_part11_11B563CC,0x0000000011B563CC,0x0000000011B56400,unknown,EA_VM_TargetDumpJava dumpRange name only; generated p-code missing,High-level classification is weak because only exporter range names are present.
handler_71_part12_11B59654,0x0000000011B59654,0x0000000011B596A0,unknown,EA_VM_TargetDumpJava dumpRange name only; generated p-code missing,High-level classification is weak because only exporter range names are present.
handler_71_part13_11B55F9B,0x0000000011B55F9B,0x0000000011B56004,unknown,EA_VM_TargetDumpJava dumpRange name only; generated p-code missing,High-level classification is weak because only exporter range names are present.
reported_handler_group_71_113_120_157_187_231_247,0x0000000011B57796,,unknown|branch_dispatch,Antigravity longrun notes,"Notes describe complex register shuffling/JMP spaghetti or mapped handler group, but no p-code lines are present locally."
reported_handler_group_132_160_208_235,0x0000000011B5932F,,unknown|branch_dispatch,Antigravity longrun notes,"Notes describe complex register shuffling/JMP spaghetti or mapped handler group, but no p-code lines are present locally."
