path,file_size,matched_terms,relevance,reason,next_action
C:\AionTools\aion_decoder_agent\inbox\pass8b_handler_table_from_ghidra.csv,35033,11b54e6f;11B54E6F;11B55DF6;11b55df6;11b57796;11B57796;11b5932f;11B5932F;handler;pcode,high,real_static_export: VM opcode-to-handler table with requested handler addresses,use in trace
C:\AionTools\aion_decoder_agent\inbox\pass8b_target_disassembly.txt,25098,0x11B54E6F;0x11B566B4;11B54E6F;11b54e6f;11b562bd;11B562BD;11b5630f;11B5630F;11b566b4;11B566B4;11b56c63;11B56C63;11b57796;11B57796;dispatcher;handler,high,real_static_export: primary Ghidra Pass8B dispatcher/handler export; traceable pcode/disassembly/flow,use in trace
C:\AionTools\aion_decoder_agent\inbox\pass8b_target_flows.csv,30367,11b562bd;11B562BD;11b5630f;11B5630F;11b566b4;11B566B4;11b56c63;11B56C63;11b57796;11B57796;dispatcher;flow;handler,high,real_static_export: primary Ghidra Pass8B dispatcher/handler export; traceable pcode/disassembly/flow,use in trace
C:\AionTools\aion_decoder_agent\inbox\pass8b_target_pcode.txt,238763,0x11B54E6F;0x11B566B4;11B54E6F;11b54e6f;11b562bd;11B562BD;11b5630f;11B5630F;11b566b4;11B566B4;11b56c63;11B56C63;11b57796;11B57796;dispatcher;handler,high,real_static_export: primary Ghidra Pass8B dispatcher/handler export; traceable pcode/disassembly/flow,use in trace
C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8b\pass8b_handler_table_from_ghidra.csv,35033,11b54e6f;11B54E6F;11B55DF6;11b55df6;11b57796;11B57796;11b5932f;11B5932F;handler;pcode,high,real_static_export: VM opcode-to-handler table with requested handler addresses,use in trace
C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8b\pass8b_target_disassembly.txt,25098,0x11B54E6F;0x11B566B4;11B54E6F;11b54e6f;11b562bd;11B562BD;11b5630f;11B5630F;11b566b4;11B566B4;11b56c63;11B56C63;11b57796;11B57796;dispatcher;handler,high,real_static_export: primary Ghidra Pass8B dispatcher/handler export; traceable pcode/disassembly/flow,use in trace
C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8b\pass8b_target_flows.csv,30367,11b562bd;11B562BD;11b5630f;11B5630F;11b566b4;11B566B4;11b56c63;11B56C63;11b57796;11B57796;dispatcher;flow;handler,high,real_static_export: primary Ghidra Pass8B dispatcher/handler export; traceable pcode/disassembly/flow,use in trace
C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8b\pass8b_target_pcode.txt,238763,0x11B54E6F;0x11B566B4;11B54E6F;11b54e6f;11b562bd;11B562BD;11b5630f;11B5630F;11b566b4;11B566B4;11b56c63;11B56C63;11b57796;11B57796;dispatcher;handler,high,real_static_export: primary Ghidra Pass8B dispatcher/handler export; traceable pcode/disassembly/flow,use in trace
C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_flow_graph.csv,28991,0x11B54E6F;0x11B566B4;0x11B56C63;11B54E6F;11b54e6f;11b562bd;11B562BD;11b5630f;11B5630F;11b566b4;11B566B4;11b56c63;11B56C63;flow,high,real_static_export: recursive VM launch/dispatcher flow export,use in trace
C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_interesting_state_instructions.csv,13667,0x11B54E6F;0x11B566B4;0x11B56C63;11B54E6F;11b54e6f;11b562bd;11B562BD;11b5630f;11B5630F;11b566b4;11B566B4;11b56c63;11B56C63,high,real_static_export: recursive VM launch/dispatcher flow export,use in trace
C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_recursive_flow_disassembly.txt,28926,0x11B54E6F;0x11B566B4;0x11B56C63;11B54E6F;11b54e6f;11b562bd;11B562BD;11b5630f;11B5630F;11b566b4;11B566B4;11b56c63;11B56C63,high,real_static_export: recursive VM launch/dispatcher flow export,use in trace
C:\AionTools\aion_decoder_agent\outbox\pass611_codex_vm_solve_local\ghidra_pass8c\pass8c_recursive_flow_pcode.txt,304610,0x11B54E6F;0x11B566B4;0x11B56C63;11B54E6F;11b54e6f;11b562bd;11B562BD;11b5630f;11B5630F;11b566b4;11B566B4;11b56c63;11B56C63,high,real_static_export: recursive VM launch/dispatcher flow export,use in trace
C:\AionTools\EA_VM_FlowDumpJava.java,9812,.aion1;0x11B562BD;0x11B5630F;0x11B566B4;0x11B56C63;11b562bd;11B562BD;11b5630f;11B5630F;11B566B4;11b566b4;11B56C63;11b56c63;disassembly;dispatcher;EA_VM;flow;Ghidra;pcode;VM,medium,export_tool: Ghidra Java exporter script with concrete dispatcher/handler ranges,orientation only
C:\AionTools\EA_VM_TargetDumpJava.java,11873,.aion1;0x11B54E6F;0x11B562BD;0x11B5630F;0x11B566B4;0x11B56C63;0x11B57796;11B54E6F;11b54e6f;11b562bd;11B562BD;11b5630f;11B5630F;11B566B4;11b566b4;11B56C63;11b56c63;11b57796;11B57796;disassembly;dispatcher;EA_VM;flow;Ghidra;handler;pass8b;pcode;TargetDump;VM,medium,export_tool: Ghidra Java exporter script with concrete dispatcher/handler ranges,orientation only
C:\AionTools\euroaion\game.dll.txt,1738807112,large-static-dump;7785_false_positive_addresses;2106_false_positive_addresses,medium,"large_static_dump: huge IDA-style dump; targeted network-term scan produced address false positives, not recv path proof",request focused export/xrefs
C:\AionTools\aion-agent-bridge\artifacts\pass607_antigravity_key_update_candidates.csv,735,key,medium,supporting_static_text: contains requested static trace terms,orientation only
C:\AionTools\aion-agent-bridge\artifacts\pass607_antigravity_key_update_research.md,1270,key,medium,supporting_static_text: contains requested static trace terms,orientation only
