initial_bl,n_bytes,n_in_aion1,n_promoted,pct_aion1,pct_promoted,bl_unique,bl_repeated,score
0x13,128,128,23,100.0,18.0,103,True,599.06
0x21,128,128,23,100.0,18.0,99,True,599.06
0x82,128,128,23,100.0,18.0,104,True,599.06
0xDD,128,128,23,100.0,18.0,103,True,599.06
0xE5,128,128,23,100.0,18.0,107,True,599.06
0x1A,128,128,22,100.0,17.2,105,True,575.62
0x1D,128,128,22,100.0,17.2,104,True,575.62
0x2B,128,128,22,100.0,17.2,105,True,575.62
0x53,128,128,22,100.0,17.2,103,True,575.62
0x60,128,128,22,100.0,17.2,106,True,575.62
0x6D,128,128,22,100.0,17.2,106,True,575.62
0x6F,128,128,22,100.0,17.2,109,True,575.62
0x87,128,128,22,100.0,17.2,105,True,575.62
0x88,128,128,22,100.0,17.2,104,True,575.62
0x8D,128,128,22,100.0,17.2,102,True,575.62
0x94,128,128,22,100.0,17.2,109,True,575.62
0x96,128,128,22,100.0,17.2,108,True,575.62
0xB7,128,128,22,100.0,17.2,105,True,575.62
0xBD,128,128,22,100.0,17.2,106,True,575.62
0xC2,128,128,22,100.0,17.2,100,True,575.62
0xD3,128,128,22,100.0,17.2,106,True,575.62
0xE7,128,128,22,100.0,17.2,103,True,575.62
0xE9,128,128,22,100.0,17.2,108,True,575.62
0xF3,128,128,22,100.0,17.2,106,True,575.62
0xF5,128,128,22,100.0,17.2,104,True,575.62
0x05,128,128,21,100.0,16.4,103,True,552.19
0x1F,128,128,21,100.0,16.4,103,True,552.19
0x28,128,128,21,100.0,16.4,98,True,552.19
0x32,128,128,21,100.0,16.4,100,True,552.19
0x38,128,128,21,100.0,16.4,100,True,552.19
0x3B,128,128,21,100.0,16.4,103,True,552.19
0x49,128,128,21,100.0,16.4,101,True,552.19
0x50,128,128,21,100.0,16.4,102,True,552.19
0x59,128,128,21,100.0,16.4,99,True,552.19
0x5E,128,128,21,100.0,16.4,109,True,552.19
0x9D,128,128,21,100.0,16.4,95,True,552.19
0xA6,128,128,21,100.0,16.4,104,True,552.19
0xA9,128,128,21,100.0,16.4,106,True,552.19
0xB0,128,128,21,100.0,16.4,102,True,552.19
0xB2,128,128,21,100.0,16.4,106,True,552.19
0xB8,128,128,21,100.0,16.4,105,True,552.19
0xBC,128,128,21,100.0,16.4,101,True,552.19
0xBF,128,128,21,100.0,16.4,106,True,552.19
0xCB,128,128,21,100.0,16.4,101,True,552.19
0xD7,128,128,21,100.0,16.4,102,True,552.19
0xD9,128,128,21,100.0,16.4,106,True,552.19
0xF9,128,128,21,100.0,16.4,100,True,552.19
0x16,128,128,20,100.0,15.6,98,True,528.75
0x1C,128,128,20,100.0,15.6,106,True,528.75
0x29,128,128,20,100.0,15.6,101,True,528.75
0x31,128,128,20,100.0,15.6,92,True,528.75
0x33,128,128,20,100.0,15.6,98,True,528.75
0x35,128,128,20,100.0,15.6,100,True,528.75
