from_entry,from_name,to_entry,to_name,edge_type,source_file
0x11B45846,FUN_11b45846,0x11B566DD,FUN_11b566dd,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B45846,FUN_11b45846,0x11B45846,FUN_11b45846,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B45846,FUN_11b45846,0x11B56999,FUN_11b56999,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B56C63,thunk_FUN_11b57075,0x11B57075,FUN_11b57075,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B56F43,FUN_11b56f43,0x11B5591A,FUN_11b5591a,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B5863D,FUN_11b5863d,0x11B56B2C,FUN_11b56b2c,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B559CD,FUN_11b559cd,0x11B59838,FUN_11b59838,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B59392,FUN_11b59392,0x11B559CD,FUN_11b559cd,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B5591A,FUN_11b5591a,0x11B5625B,FUN_11b5625b,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B581C1,FUN_11b581c1,0x11B56F43,FUN_11b56f43,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B57BDB,FUN_11b57bdb,0x11B5863D,FUN_11b5863d,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B5586B,FUN_11b5586b,0x11B56696,FUN_11b56696,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B56696,FUN_11b56696,0x11B5625B,FUN_11b5625b,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B56B2C,FUN_11b56b2c,0x11B57075,FUN_11b57075,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B56B2C,FUN_11b56b2c,0x11B5625B,FUN_11b5625b,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B564BE,FUN_11b564be,0x11B5586B,FUN_11b5586b,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x1195D94A,entry,0x11B52CE5,thunk_FUN_11b45846,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B59838,FUN_11b59838,0x11B5625B,FUN_11b5625b,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B503FD,tls_callback_0,0x1195DA7B,thunk_FUN_11b50330,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B57075,FUN_11b57075,0x11B57075,FUN_11b57075,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B57075,FUN_11b57075,0x11B59765,FUN_11b59765,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B57075,FUN_11b57075,0x11B5625B,FUN_11b5625b,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B57075,FUN_11b57075,0x11B57BDB,FUN_11b57bdb,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B52CE5,thunk_FUN_11b45846,0x11B45846,FUN_11b45846,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B50330,FUN_11b50330,0x11B56C63,thunk_FUN_11b57075,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B50330,FUN_11b50330,0x11B50330,FUN_11b50330,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x1195DA7B,thunk_FUN_11b50330,0x11B50330,FUN_11b50330,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B59337,FUN_11b59337,0x11B59832,FUN_11b59832,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B59765,FUN_11b59765,0x11B58D6C,FUN_11b58d6c,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B566DD,FUN_11b566dd,0x11B45846,FUN_11b45846,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B56999,FUN_11b56999,0x11B56075,thunk_FUN_11b59337,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B56075,thunk_FUN_11b59337,0x11B59337,FUN_11b59337,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x11B58D6C,FUN_11b58d6c,0x11B59392,FUN_11b59392,csv_edge,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports\call_edges.csv
0x1195D94A,entry,0x11B52CE5,thunk_FUN_11b45846,tail_branch_or_call,1195D94A_entry.pcode.txt
0x1195DA7B,thunk_FUN_11b50330,0x11B50330,FUN_11b50330,tail_branch_or_call,1195DA7B_thunk_FUN_11b50330.pcode.txt
0x11B45846,FUN_11b45846,0x11B56999,FUN_11b56999,tail_branch_or_call,11B45846_FUN_11b45846.pcode.txt
0x11B50330,FUN_11b50330,0x11B56C63,thunk_FUN_11b57075,tail_branch_or_call,11B50330_FUN_11b50330.pcode.txt
0x11B503FD,tls_callback_0,0x1195DA7B,thunk_FUN_11b50330,tail_branch_or_call,11B503FD_tls_callback_0.pcode.txt
0x11B52CE5,thunk_FUN_11b45846,0x11B45846,FUN_11b45846,tail_branch_or_call,11B52CE5_thunk_FUN_11b45846.pcode.txt
0x11B5586B,FUN_11b5586b,0x11B56696,FUN_11b56696,tail_branch_or_call,11B5586B_FUN_11b5586b.pcode.txt
0x11B5591A,FUN_11b5591a,0x11B5625B,FUN_11b5625b,tail_branch_or_call,11B5591A_FUN_11b5591a.pcode.txt
0x11B559CD,FUN_11b559cd,0x11B59838,FUN_11b59838,tail_branch_or_call,11B559CD_FUN_11b559cd.pcode.txt
0x11B56075,thunk_FUN_11b59337,0x11B59337,FUN_11b59337,tail_branch_or_call,11B56075_thunk_FUN_11b59337.pcode.txt
0x11B5625B,FUN_11b5625b,0x11B56329,,indirect_branch_or_call,11B5625B_FUN_11b5625b.pcode.txt
0x11B564BE,FUN_11b564be,0x11B5586B,FUN_11b5586b,tail_branch_or_call,11B564BE_FUN_11b564be.pcode.txt
0x11B56696,FUN_11b56696,0x11B5625B,FUN_11b5625b,tail_branch_or_call,11B56696_FUN_11b56696.pcode.txt
0x11B566DD,FUN_11b566dd,0x11B566B4,,tail_branch_or_call,11B566DD_FUN_11b566dd.pcode.txt
0x11B56999,FUN_11b56999,0x11B56075,thunk_FUN_11b59337,tail_branch_or_call,11B56999_FUN_11b56999.pcode.txt
0x11B56B2C,FUN_11b56b2c,0x11B5625B,FUN_11b5625b,tail_branch_or_call,11B56B2C_FUN_11b56b2c.pcode.txt
0x11B56C63,thunk_FUN_11b57075,0x11B57075,FUN_11b57075,tail_branch_or_call,11B56C63_thunk_FUN_11b57075.pcode.txt
0x11B56F43,FUN_11b56f43,0x11B5591A,FUN_11b5591a,tail_branch_or_call,11B56F43_FUN_11b56f43.pcode.txt
0x11B57075,FUN_11b57075,0x11B57BDB,FUN_11b57bdb,tail_branch_or_call,11B57075_FUN_11b57075.pcode.txt
0x11B57BDB,FUN_11b57bdb,0x11B5863D,FUN_11b5863d,tail_branch_or_call,11B57BDB_FUN_11b57bdb.pcode.txt
0x11B581C1,FUN_11b581c1,0x11B56F43,FUN_11b56f43,tail_branch_or_call,11B581C1_FUN_11b581c1.pcode.txt
0x11B5863D,FUN_11b5863d,0x11B56B2C,FUN_11b56b2c,tail_branch_or_call,11B5863D_FUN_11b5863d.pcode.txt
0x11B58D6C,FUN_11b58d6c,0x11B59392,FUN_11b59392,tail_branch_or_call,11B58D6C_FUN_11b58d6c.pcode.txt
0x11B59337,FUN_11b59337,0x11B59832,FUN_11b59832,tail_branch_or_call,11B59337_FUN_11b59337.pcode.txt
0x11B59392,FUN_11b59392,0x11B559CD,FUN_11b559cd,tail_branch_or_call,11B59392_FUN_11b59392.pcode.txt
0x11B59765,FUN_11b59765,0x11B58D6C,FUN_11b58d6c,tail_branch_or_call,11B59765_FUN_11b59765.pcode.txt
0x11B59838,FUN_11b59838,0x11B5625B,FUN_11b5625b,tail_branch_or_call,11B59838_FUN_11b59838.pcode.txt
0x1195D94A,entry,0x11B52CE5,thunk_FUN_11b45846,tail_branch_or_call,1195D94A_entry.disasm.txt
0x1195DA7B,thunk_FUN_11b50330,0x11B50330,FUN_11b50330,tail_branch_or_call,1195DA7B_thunk_FUN_11b50330.disasm.txt
0x11B45846,FUN_11b45846,0x11B56999,FUN_11b56999,tail_branch_or_call,11B45846_FUN_11b45846.disasm.txt
0x11B50330,FUN_11b50330,0x11B56C63,thunk_FUN_11b57075,tail_branch_or_call,11B50330_FUN_11b50330.disasm.txt
0x11B503FD,tls_callback_0,0x1195DA7B,thunk_FUN_11b50330,tail_branch_or_call,11B503FD_tls_callback_0.disasm.txt
0x11B52CE5,thunk_FUN_11b45846,0x11B45846,FUN_11b45846,tail_branch_or_call,11B52CE5_thunk_FUN_11b45846.disasm.txt
0x11B5586B,FUN_11b5586b,0x11B56696,FUN_11b56696,tail_branch_or_call,11B5586B_FUN_11b5586b.disasm.txt
0x11B5591A,FUN_11b5591a,0x11B5625B,FUN_11b5625b,tail_branch_or_call,11B5591A_FUN_11b5591a.disasm.txt
0x11B559CD,FUN_11b559cd,0x11B59838,FUN_11b59838,tail_branch_or_call,11B559CD_FUN_11b559cd.disasm.txt
0x11B56075,thunk_FUN_11b59337,0x11B59337,FUN_11b59337,tail_branch_or_call,11B56075_thunk_FUN_11b59337.disasm.txt
0x11B5625B,FUN_11b5625b,0x11B56329,,tail_branch_or_call,11B5625B_FUN_11b5625b.disasm.txt
0x11B564BE,FUN_11b564be,0x11B5586B,FUN_11b5586b,tail_branch_or_call,11B564BE_FUN_11b564be.disasm.txt
0x11B56696,FUN_11b56696,0x11B5625B,FUN_11b5625b,tail_branch_or_call,11B56696_FUN_11b56696.disasm.txt
0x11B566DD,FUN_11b566dd,0x11B566B4,,tail_branch_or_call,11B566DD_FUN_11b566dd.disasm.txt
0x11B56999,FUN_11b56999,0x11B56075,thunk_FUN_11b59337,tail_branch_or_call,11B56999_FUN_11b56999.disasm.txt
0x11B56B2C,FUN_11b56b2c,0x11B5625B,FUN_11b5625b,tail_branch_or_call,11B56B2C_FUN_11b56b2c.disasm.txt
0x11B56C63,thunk_FUN_11b57075,0x11B57075,FUN_11b57075,tail_branch_or_call,11B56C63_thunk_FUN_11b57075.disasm.txt
0x11B56F43,FUN_11b56f43,0x11B5591A,FUN_11b5591a,tail_branch_or_call,11B56F43_FUN_11b56f43.disasm.txt
0x11B57075,FUN_11b57075,0x11B57BDB,FUN_11b57bdb,tail_branch_or_call,11B57075_FUN_11b57075.disasm.txt
0x11B57BDB,FUN_11b57bdb,0x11B5863D,FUN_11b5863d,tail_branch_or_call,11B57BDB_FUN_11b57bdb.disasm.txt
0x11B581C1,FUN_11b581c1,0x11B56F43,FUN_11b56f43,tail_branch_or_call,11B581C1_FUN_11b581c1.disasm.txt
0x11B5863D,FUN_11b5863d,0x11B56B2C,FUN_11b56b2c,tail_branch_or_call,11B5863D_FUN_11b5863d.disasm.txt
0x11B58D6C,FUN_11b58d6c,0x11B59392,FUN_11b59392,tail_branch_or_call,11B58D6C_FUN_11b58d6c.disasm.txt
