register,path_b_stage,source_function,source_address,source_kind,evidence_summary,confidence,next_hop
RDX,0x11B45846,0x11B45846,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RSI,0x11B45846,0x11B45846,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RBX,0x11B45846,0x11B45846,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
BL,0x11B45846,0x11B45846,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RBP,0x11B45846,0x11B45846,,observed_not_proven_source,"0x119B97FE PUSH 0x4396e8ea\n0x119B9803 JMP 0x11b566dd\n0x119F0AE0 JMP 0x119b97fe\n0x11B45846 PUSH -0x6b9d0c10\n0x11B4584B JG 0x119f0ae0\n0x11B45851 PUSH 0x4396e8ea\n0x11B45856 JMP 0x11b566dd\n0x11B566B4 PUSH RBP\n0x11B566B5 MOV RBP,RBP\n0x11B566B8 JMP 0x11b56999\n",medium,Need caller/wrapper export that reaches this stage with parameter/register setup
RCX,0x11B45846,0x11B45846,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RDI,0x11B45846,0x11B45846,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RDX,0x11B52CE5,0x11B52CE5,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RSI,0x11B52CE5,0x11B52CE5,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RBX,0x11B52CE5,0x11B52CE5,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
BL,0x11B52CE5,0x11B52CE5,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RBP,0x11B52CE5,0x11B52CE5,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RCX,0x11B52CE5,0x11B52CE5,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RDI,0x11B52CE5,0x11B52CE5,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RDX,0x11B56075,0x11B56075,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RSI,0x11B56075,0x11B56075,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RBX,0x11B56075,0x11B56075,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
BL,0x11B56075,0x11B56075,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RBP,0x11B56075,0x11B56075,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RCX,0x11B56075,0x11B56075,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
RDI,0x11B56075,0x11B56075,,unknown,not observed in disasm export,low,Need caller/wrapper export that reaches this stage with parameter/register setup
