frame,frame_present,stream_offset,tcp_payload_len,body_start_delta,raw_len_word,len_word_plausible,candidate_packet_end,end_aligns_frame_boundary,start_aligns_known_frame,hypothesis_score,notes
4122,true,3037,31,0,130,true,3167,false,true,3,masked/unmasked length hypothesis metadata only
4354,true,137466,39,10,882,true,138348,false,false,2,masked/unmasked length hypothesis metadata only
4332,true,133983,46,4,3168,true,137151,false,false,2,masked/unmasked length hypothesis metadata only
4332,true,133995,46,16,2865,true,136860,false,false,2,masked/unmasked length hypothesis metadata only
4318,true,133868,75,8,552,true,134420,false,false,2,masked/unmasked length hypothesis metadata only
4293,true,129512,314,4,2181,true,131693,false,false,2,masked/unmasked length hypothesis metadata only
4122,true,3041,31,4,2244,true,5285,false,false,2,masked/unmasked length hypothesis metadata only
4101,true,19,92,8,2897,true,2916,false,false,2,masked/unmasked length hypothesis metadata only
4094,true,8,11,8,3196,true,3204,false,false,2,masked/unmasked length hypothesis metadata only
4390,true,137680,43,0,11969,false,,false,true,1,masked/unmasked length hypothesis metadata only
4390,true,137682,43,2,59560,false,,false,false,1,masked/unmasked length hypothesis metadata only
4361,true,137567,41,0,10950,false,,false,true,1,masked/unmasked length hypothesis metadata only
4361,true,137569,41,2,33727,false,,false,false,1,masked/unmasked length hypothesis metadata only
4354,true,137456,39,0,58790,false,,false,true,1,masked/unmasked length hypothesis metadata only
4354,true,137458,39,2,56459,false,,false,false,1,masked/unmasked length hypothesis metadata only
4332,true,133979,46,0,27109,false,,false,true,1,masked/unmasked length hypothesis metadata only
4332,true,133981,46,2,7802,false,,false,false,1,masked/unmasked length hypothesis metadata only
4318,true,133860,75,0,11024,false,,false,true,1,masked/unmasked length hypothesis metadata only
4318,true,133862,75,2,8716,false,,false,false,1,masked/unmasked length hypothesis metadata only
4293,true,129508,314,0,11849,false,,false,true,1,masked/unmasked length hypothesis metadata only
4293,true,129510,314,2,63219,false,,false,false,1,masked/unmasked length hypothesis metadata only
4285,true,129414,40,0,31254,false,,false,true,1,masked/unmasked length hypothesis metadata only
4285,true,129416,40,2,24251,false,,false,false,1,masked/unmasked length hypothesis metadata only
4283,true,129374,40,0,32991,false,,false,true,1,masked/unmasked length hypothesis metadata only
4283,true,129376,40,2,10982,false,,false,false,1,masked/unmasked length hypothesis metadata only
4122,true,3039,31,2,35389,false,,false,false,1,masked/unmasked length hypothesis metadata only
4119,true,3026,11,0,14213,false,,false,true,1,masked/unmasked length hypothesis metadata only
4119,true,3028,11,2,19064,false,,false,false,1,masked/unmasked length hypothesis metadata only
4101,true,11,92,0,49855,false,,false,true,1,masked/unmasked length hypothesis metadata only
4101,true,13,92,2,53944,false,,false,false,1,masked/unmasked length hypothesis metadata only
4094,true,0,11,0,26305,false,,false,true,1,masked/unmasked length hypothesis metadata only
4094,true,2,11,2,63363,false,,false,false,1,masked/unmasked length hypothesis metadata only
4390,true,137684,43,4,8039,false,,false,false,0,masked/unmasked length hypothesis metadata only
4390,true,137686,43,6,60774,false,,false,false,0,masked/unmasked length hypothesis metadata only
4390,true,137688,43,8,25256,false,,false,false,0,masked/unmasked length hypothesis metadata only
4390,true,137690,43,10,13562,false,,false,false,0,masked/unmasked length hypothesis metadata only
4390,true,137692,43,12,42869,false,,false,false,0,masked/unmasked length hypothesis metadata only
4390,true,137696,43,16,62240,false,,false,false,0,masked/unmasked length hypothesis metadata only
4361,true,137571,41,4,18500,false,,false,false,0,masked/unmasked length hypothesis metadata only
4361,true,137573,41,6,30803,false,,false,false,0,masked/unmasked length hypothesis metadata only
4361,true,137575,41,8,40171,false,,false,false,0,masked/unmasked length hypothesis metadata only
4361,true,137577,41,10,5251,false,,false,false,0,masked/unmasked length hypothesis metadata only
4361,true,137579,41,12,19512,false,,false,false,0,masked/unmasked length hypothesis metadata only
4361,true,137583,41,16,16798,false,,false,false,0,masked/unmasked length hypothesis metadata only
4354,true,137460,39,4,52135,false,,false,false,0,masked/unmasked length hypothesis metadata only
4354,true,137462,39,6,48344,false,,false,false,0,masked/unmasked length hypothesis metadata only
4354,true,137464,39,8,6118,false,,false,false,0,masked/unmasked length hypothesis metadata only
4354,true,137468,39,12,5233,false,,false,false,0,masked/unmasked length hypothesis metadata only
4354,true,137472,39,16,13027,false,,false,false,0,masked/unmasked length hypothesis metadata only
4332,true,133985,46,6,38770,false,,false,false,0,masked/unmasked length hypothesis metadata only
4332,true,133987,46,8,64039,false,,false,false,0,masked/unmasked length hypothesis metadata only
4332,true,133989,46,10,25774,false,,false,false,0,masked/unmasked length hypothesis metadata only
4332,true,133991,46,12,37241,false,,false,false,0,masked/unmasked length hypothesis metadata only
4318,true,133864,75,4,42322,false,,false,false,0,masked/unmasked length hypothesis metadata only
4318,true,133866,75,6,34291,false,,false,false,0,masked/unmasked length hypothesis metadata only
4318,true,133870,75,10,8824,false,,false,false,0,masked/unmasked length hypothesis metadata only
4318,true,133872,75,12,48087,false,,false,false,0,masked/unmasked length hypothesis metadata only
4318,true,133876,75,16,26696,false,,false,false,0,masked/unmasked length hypothesis metadata only
4293,true,129514,314,6,29160,false,,false,false,0,masked/unmasked length hypothesis metadata only
