direction,stream_offset_start,stream_offset_end,frame_number,tcp_payload_len,tcp_seq_delta,ts_relative,overlap_or_retx,gap_before
C2S,0,24,4098,24,0,9443328.000,false,false
C2S,24,35,4100,11,24,19456768.000,false,false
C2S,35,66,4104,31,35,29719296.000,false,false
C2S,66,138,4106,72,66,39868416.000,false,false
C2S,138,149,4110,11,138,61068032.000,false,false
C2S,149,158,4115,9,149,535013376.000,false,false
C2S,158,165,4118,7,158,1485994752.000,false,false
C2S,165,176,4121,11,165,1502532608.000,false,false
C2S,176,183,4144,7,176,1568019712.000,false,false
C2S,183,191,4275,8,183,1678394880.000,false,false
C2S,191,206,4277,15,191,1690476800.000,false,false
C2S,206,217,4282,11,206,2049531648.000,false,false
C2S,217,239,4284,22,217,2061325568.000,false,false
C2S,239,246,4287,7,239,2091818496.000,false,false
C2S,246,253,4292,7,246,3028304128.000,false,false
C2S,253,261,4308,8,253,4423712768.000,false,false
C2S,261,272,4311,11,261,4458855936.000,false,false
C2S,272,293,4314,21,272,5278738176.000,false,false
C2S,293,310,4316,17,293,5492488192.000,false,false
C2S,310,331,4320,21,310,5509576704.000,false,false
C2S,331,342,4322,11,331,5561944320.000,false,false
C2S,342,353,4326,11,342,6526233088.000,false,false
C2S,353,381,4329,28,353,6564896768.000,false,false
C2S,381,393,4334,12,381,6575901184.000,false,false
C2S,393,404,4339,11,393,7536889600.000,false,false
C2S,5487,5519,4353,32,5487,13005857280.000,false,false
C2S,5519,5553,4360,34,5519,17793919232.000,false,false
C2S,5553,5589,4389,36,5553,22549923584.000,false,false
C2S,5589,5600,4392,11,5589,22560987904.000,false,false
C2S,5600,5638,4399,38,5600,27609817856.000,false,false
C2S,5638,5684,4402,46,5638,32103892992.000,false,false
C2S,5684,5695,4409,11,5684,37568416512.000,false,false
C2S,5695,5757,4412,62,5695,38318615040.000,false,false
C2S,5757,5807,4417,50,5757,43216236800.000,false,false
C2S,5807,5869,4422,62,5807,47005883904.000,false,false
C2S,5869,5911,4429,42,5869,51682362368.000,false,false
C2S,5911,5922,4432,11,5911,52681121280.000,false,false
C2S,5922,5964,4435,42,5922,55184570112.000,false,false
C2S,5964,5975,4454,11,5964,67752069120.000,false,false
S2C,0,11,4094,11,0,0.000,false,false
S2C,11,103,4101,92,11,19585024.000,false,false
S2C,103,112,4103,9,103,29664512.000,false,false
S2C,112,127,4105,15,112,39838720.000,false,false
S2C,127,1587,4107,1460,127,51620352.000,false,false
S2C,1587,1709,4108,122,1587,51621376.000,false,false
S2C,1709,1745,4111,36,1709,71190528.000,false,false
S2C,1745,3017,4113,1272,1745,116186368.000,false,false
S2C,3017,3026,4116,9,3017,545286656.000,false,false
S2C,3026,3037,4119,11,3026,1499368960.000,false,false
S2C,3037,3068,4122,31,3037,1514428928.000,false,false
S2C,3068,4528,4124,1460,3068,1554410240.000,false,false
S2C,4528,5799,4126,1271,4528,1554507264.000,false,false
S2C,5799,7259,4128,1460,5799,1554701056.000,false,false
S2C,7259,8719,4130,1460,7259,1554776576.000,false,false
S2C,8719,10179,4132,1460,8719,1554902016.000,false,false
S2C,10179,11639,4134,1460,10179,1555026944.000,false,false
S2C,11639,12575,4136,936,11639,1555156480.000,false,false
S2C,12575,14035,4138,1460,12575,1555277056.000,false,false
S2C,14035,15495,4140,1460,14035,1555352064.000,false,false
S2C,15495,16955,4142,1460,15495,1555478016.000,false,false
S2C,16955,18415,4145,1460,16955,1568627456.000,false,false
S2C,18415,19875,4146,1460,18415,1568630784.000,false,false
S2C,19875,21335,4147,1460,19875,1568631296.000,false,false
S2C,21335,22795,4148,1460,21335,1568631808.000,false,false
S2C,22795,24255,4149,1460,22795,1568632576.000,false,false
S2C,24255,25715,4150,1460,24255,1568633600.000,false,false
S2C,25715,27175,4151,1460,25715,1568634112.000,false,false
S2C,27175,28635,4152,1460,27175,1568634624.000,false,false
S2C,28635,30095,4153,1460,28635,1568635392.000,false,false
S2C,30095,31555,4154,1460,30095,1568635904.000,false,false
S2C,31555,33015,4156,1460,31555,1568721408.000,false,false
S2C,33015,34475,4157,1460,33015,1568722176.000,false,false
S2C,34475,35935,4158,1460,34475,1568722944.000,false,false
S2C,35935,37395,4159,1460,35935,1568723456.000,false,false
S2C,37395,38855,4160,1460,37395,1568724224.000,false,false
S2C,38855,40315,4161,1460,38855,1568724992.000,false,false
S2C,40315,41775,4162,1460,40315,1568725760.000,false,false
S2C,41775,43235,4163,1460,41775,1568726272.000,false,false
S2C,43235,44695,4164,1460,43235,1568727040.000,false,false
S2C,44695,46155,4165,1460,44695,1568727808.000,false,false
S2C,46155,47615,4167,1460,46155,1579249664.000,false,false
S2C,47615,49075,4169,1460,47615,1579352320.000,false,false
S2C,49075,50535,4171,1460,49075,1579477504.000,false,false
S2C,50535,51995,4173,1460,50535,1579602176.000,false,false
S2C,51995,53455,4175,1460,51995,1579727104.000,false,false
S2C,53455,54915,4177,1460,53455,1579851776.000,false,false
S2C,54915,56375,4179,1460,54915,1580007424.000,false,false
S2C,56375,57835,4181,1460,56375,1580102656.000,false,false
S2C,57835,59295,4183,1460,57835,1580227328.000,false,false
S2C,59295,60755,4185,1460,59295,1580351744.000,false,false
S2C,60755,62215,4187,1460,60755,1580477184.000,false,false
S2C,62215,63675,4189,1460,62215,1580602112.000,false,false
S2C,63675,65135,4191,1460,63675,1580727552.000,false,false
S2C,65135,66595,4193,1460,65135,1580851968.000,false,false
S2C,66595,68055,4195,1460,66595,1580978944.000,false,false
S2C,68055,69515,4197,1460,68055,1581102080.000,false,false
S2C,69515,70975,4199,1460,69515,1581227008.000,false,false
S2C,70975,72435,4201,1460,70975,1581351936.000,false,false
S2C,72435,73895,4203,1460,72435,1581476864.000,false,false
S2C,73895,75355,4205,1460,73895,1581602048.000,false,false
S2C,75355,76815,4207,1460,75355,1581726976.000,false,false
S2C,76815,78275,4209,1460,76815,1581851904.000,false,false
S2C,78275,79735,4211,1460,78275,1581977600.000,false,false
S2C,79735,81195,4213,1460,79735,1582102272.000,false,false
S2C,81195,82655,4215,1460,81195,1582226944.000,false,false
S2C,82655,84115,4217,1460,82655,1582352128.000,false,false
S2C,84115,85575,4219,1460,84115,1582476800.000,false,false
S2C,85575,87035,4221,1460,85575,1582601984.000,false,false
S2C,87035,88495,4223,1460,87035,1582726912.000,false,false
S2C,88495,89955,4225,1460,88495,1582852096.000,false,false
S2C,89955,91415,4227,1460,89955,1582982656.000,false,false
S2C,91415,92875,4229,1460,91415,1583101696.000,false,false
