"tool_path","purpose","cli_args","dry_run_possible","writes_raw_output","safe_to_commit_outputs"
"tools/agent_helpers/agent_safe_checkpoint.ps1","safe allowlisted checkpoint commit and push","-Message <commit message> [-Paths <allowlist>]","false","false","true"
"tools/pass637_capture_kit/README.md","capture kit instructions","n/a","n/a","false","true"
"tools/pass637_capture_kit/s2c_known_plaintext_log_template.txt","template for S2C oracle known plaintext log","n/a","n/a","false","true"
"tools/pass637_capture_kit/start_s2c_oracle_capture.ps1","start dumpcap/tshark capture for tcp port 7785","[-OutPath <pcap>]","false","true","false"
"tools/pass637_capture_kit/stop_s2c_oracle_capture.ps1","stop dumpcap/tshark capture process","none","false","false","true"
"tools/pass637_capture_kit/validate_capture_presence.py","check expected capture/log presence and marker names","[--repo-root <repo>]","effectively yes; metadata only","false","true"
"tools/pass637_s2c_capture_prep","requested directory not present in latest main","n/a","n/a","false","n/a"
"tools/pass636_antigravity_s2c_oracle/s2c_crib_drag_oracle.py","S2C crib-drag candidate metadata scan","[pcap_path] [out_csv]","false","false","true"
"tools/pass636_antigravity_s2c_oracle/s2c_decode_from_oracle.py","decode/top-candidate metadata validation","[pcap_path] [candidates_csv]","false","false","true"
"tools/pass636_antigravity_s2c_oracle/s2c_keyroll_validate.py","Pass636 full oracle runner/keyroll validation; hard-coded old capture currently","none","false","false","true"
"tools/pass636_antigravity_s2c_oracle/s2c_resume_diagnostics.py","Pass636 resume diagnostics for old capture","none","false","false","true"
"tools/pass638_after_capture/run_s2c_oracle_after_capture.ps1","top-level post-capture orchestrator","[-PcapPath <pcap>] [-KnownLogPath <log>] [-OutDir <dir>] [-DryRun]","true","false","true"
"tools/pass638_after_capture/validate_known_plaintext_log.py","validate S2C known plaintext log schema and marker quality","<known_log_path> [--out-csv <csv>] [--out-json <json>]","metadata only","false","true"
"tools/pass638_after_capture/extract_s2c_window_metadata.py","extract frame/direction/length/timing metadata windows only","<pcap_path> <known_log_path> [--out-csv <csv>] [--frame-window <n>]","false","false","true"
