record_index,frame,direction,server_port,payload_len,delta_prev_record,delta_next_record,role_guess
135,344,C2S,7785,11,,2,world_7785_payload
136,346,S2C,7785,15,2,2,world_7785_payload
137,348,C2S,7785,11,2,1,world_7785_payload
138,349,S2C,7785,15,1,2,world_7785_payload
139,351,C2S,7785,12,2,1,nearby_context
140,352,S2C,7785,1460,1,2,nearby_context
141,354,S2C,7785,695,2,2,nearby_context
142,356,C2S,7785,11,2,1,nearby_context
143,357,S2C,7785,15,1,3,nearby_context
144,360,S2C,7785,15,3,2,nearby_context
145,362,S2C,7785,57,2,8,nearby_context
146,370,C2S,7785,26,8,1,likely_C2S_Hello_Hi_len26
147,371,S2C,7785,14,1,2,nearby_S2C_response_candidate
148,373,S2C,7785,44,2,2,nearby_S2C_response_candidate
149,375,C2S,7785,14,2,1,nearby_context
150,376,S2C,7785,25,1,5,nearby_S2C_response_candidate
151,381,C2S,7785,5033,5,2,nearby_context
152,383,S2C,7785,79,2,2,nearby_context
153,385,S2C,7785,1110,2,2,nearby_context
154,387,S2C,7785,21,2,2,nearby_context
155,389,S2C,7785,15,2,,nearby_context
