"check","target","ok","detail"
"script_exists","start_s2c_oracle_capture.ps1","True","C:\AionTools\aion-agent-bridge\tools\pass643_evening_capture_operator\start_s2c_oracle_capture.ps1"
"script_exists","stop_s2c_oracle_capture.ps1","True","C:\AionTools\aion-agent-bridge\tools\pass643_evening_capture_operator\stop_s2c_oracle_capture.ps1"
"script_exists","log_s2c_marker.ps1","True","C:\AionTools\aion-agent-bridge\tools\pass643_evening_capture_operator\log_s2c_marker.ps1"
"script_exists","create_marker_log_template.ps1","True","C:\AionTools\aion-agent-bridge\tools\pass643_evening_capture_operator\create_marker_log_template.ps1"
"script_exists","run_after_capture_full.ps1","True","C:\AionTools\aion-agent-bridge\tools\pass643_evening_capture_operator\run_after_capture_full.ps1"
"script_exists","test_operator_kit.ps1","True","C:\AionTools\aion-agent-bridge\tools\pass643_evening_capture_operator\test_operator_kit.ps1"
"script_exists","README.md","True","C:\AionTools\aion-agent-bridge\tools\pass643_evening_capture_operator\README.md"
"wireshark_tool_available","dumpcap_or_tshark","True","common_paths_or_PATH"
"output_dir_ready","C:\AionTools\aion_decoder_agent\inbox\captures","True","created_if_missing"
"no_forbidden_files_staged","git_index","True",""
