frame,time_local,direction,src_ip,src_port,dst_ip,dst_port,tcp_len,near_marker,role_guess
24,2026-07-13 17:21:05.426,C2S,192.168.178.127,57497,51.83.147.97,10242,0,,chat_sidechannel_candidate
25,2026-07-13 17:21:05.456,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
26,2026-07-13 17:21:05.457,C2S,192.168.178.127,57497,51.83.147.97,10242,0,,chat_sidechannel_candidate
27,2026-07-13 17:21:05.457,C2S,192.168.178.127,57497,51.83.147.97,10242,18,,chat_sidechannel_candidate
28,2026-07-13 17:21:05.487,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
29,2026-07-13 17:21:05.487,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
30,2026-07-13 17:21:05.532,S2C,51.83.147.97,10242,192.168.178.127,57497,10,,chat_sidechannel_candidate
31,2026-07-13 17:21:05.532,C2S,192.168.178.127,57497,51.83.147.97,10242,0,,chat_sidechannel_candidate
32,2026-07-13 17:21:05.532,C2S,192.168.178.127,57497,51.83.147.97,10242,178,,chat_sidechannel_candidate
33,2026-07-13 17:21:05.560,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
34,2026-07-13 17:21:05.583,S2C,51.83.147.97,10242,192.168.178.127,57497,12,,chat_sidechannel_candidate
35,2026-07-13 17:21:05.583,C2S,192.168.178.127,57497,51.83.147.97,10242,0,,chat_sidechannel_candidate
36,2026-07-13 17:21:08.718,C2S,192.168.178.127,57497,51.83.147.97,10242,150,,chat_sidechannel_candidate
37,2026-07-13 17:21:08.747,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
38,2026-07-13 17:21:08.747,C2S,192.168.178.127,57497,51.83.147.97,10242,320,,chat_sidechannel_candidate
39,2026-07-13 17:21:08.777,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
40,2026-07-13 17:21:08.800,S2C,51.83.147.97,10242,192.168.178.127,57497,14,,chat_sidechannel_candidate
41,2026-07-13 17:21:08.800,C2S,192.168.178.127,57497,51.83.147.97,10242,0,,chat_sidechannel_candidate
