flow_id,server_ip,server_port,client_ip,client_port,packets,total_tcp_payload_bytes,s2c_packets,c2s_packets,s2c_payload_bytes,c2s_payload_bytes,first_time,last_time,duration_sec,role_guess,confidence,reason
192.168.178.127:57427<->51.83.147.97:10242,51.83.147.97,10242,192.168.178.127,57427,153,5781,76,77,3701,2080,2026-07-13 19:25:15.665,2026-07-13 19:32:35.878,440.213,chat_sidechannel_candidate,high,known EuroAion chat-sidechannel port 10242 present
192.168.178.127:49167<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,49167,26590,19085972,14532,12058,19069518,16454,2026-07-13 19:23:35.799,2026-07-13 19:32:37.169,541.370,ignored_external_noise,low,not a EuroAion world/chat/login candidate
195.201.171.83:80<->192.168.178.127:50927,192.168.178.127,50927,195.201.171.83,80,1135,1648371,0,0,0,0,2026-07-13 19:23:28.989,2026-07-13 19:23:29.825,0.836,ignored_external_noise,low,not a EuroAion world/chat/login candidate
195.201.171.83:80<->192.168.178.127:50928,192.168.178.127,50928,195.201.171.83,80,857,1234900,0,0,0,0,2026-07-13 19:23:28.990,2026-07-13 19:23:29.531,0.541,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:49175<->104.18.32.47:443,104.18.32.47,443,192.168.178.127,49175,14253,1062914,7211,7042,1062050,864,2026-07-13 19:23:22.793,2026-07-13 19:32:24.130,541.337,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:50930<->172.67.72.119:443,172.67.72.119,443,192.168.178.127,50930,1060,767780,531,529,766759,1021,2026-07-13 19:23:28.984,2026-07-13 19:23:34.446,5.462,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:60073<->104.18.32.47:443,104.18.32.47,443,192.168.178.127,60073,1842,191760,945,897,188408,3352,2026-07-13 19:23:23.026,2026-07-13 19:32:27.229,544.202,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:49333<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,49333,187,144900,109,78,144609,291,2026-07-13 19:26:24.050,2026-07-13 19:26:24.712,0.662,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:50426<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,50426,181,144581,109,72,144290,291,2026-07-13 19:32:25.357,2026-07-13 19:32:25.720,0.364,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:50914<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,50914,219,144578,108,111,144287,291,2026-07-13 19:23:23.700,2026-07-13 19:23:24.045,0.345,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:57561<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,57561,218,144573,109,109,144282,291,2026-07-13 19:29:24.714,2026-07-13 19:29:25.348,0.634,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:52945<->104.18.32.47:443,104.18.32.47,443,192.168.178.127,52945,294,105916,155,139,102956,2960,2026-07-13 19:24:06.859,2026-07-13 19:32:24.993,498.134,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:50929<->172.67.72.119:443,172.67.72.119,443,192.168.178.127,50929,109,71054,53,56,70032,1022,2026-07-13 19:23:28.984,2026-07-13 19:23:34.445,5.462,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:54669<->34.54.84.110:443,34.54.84.110,443,192.168.178.127,54669,189,67542,92,97,66021,1521,2026-07-13 19:23:24.484,2026-07-13 19:32:24.672,540.188,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:50920<->216.239.32.223:443,216.239.32.223,443,192.168.178.127,50920,184,57906,93,91,53036,4870,2026-07-13 19:23:24.979,2026-07-13 19:32:40.806,555.827,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:50925<->192.178.183.94:443,192.178.183.94,443,192.168.178.127,50925,65,37995,32,33,36973,1022,2026-07-13 19:23:28.951,2026-07-13 19:23:34.446,5.495,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:52891<->23.41.253.51:443,23.41.253.51,443,192.168.178.127,52891,82,34715,43,39,34510,205,2026-07-13 19:24:48.434,2026-07-13 19:26:48.963,120.529,ignored_external_noise,low,not a EuroAion world/chat/login candidate
