marker_index,marker_text,channel_guess,logged_time,flow_role,server_port,nearest_s2c_frame,nearest_s2c_time,delta_ms,s2c_tcp_len,nearest_c2s_frame,nearest_c2s_time,c2s_delta_ms,c2s_tcp_len,confidence,reason
1,S2C_ORACLE_001_A1B2,whisper,2026-07-13 19:26:16.613,world_game_candidate,7780,25954,2026-07-13 19:26:16.490,-122,72,25958,2026-07-13 19:26:16.705,93,11,exact_window_3s,nearest packets found within +/-3 seconds
2,S2C_ORACLE_002_C3D4,whisper,2026-07-13 19:26:46.103,world_game_candidate,7780,30900,2026-07-13 19:26:46.186,84,37,30735,2026-07-13 19:26:44.760,-1342,7,exact_window_3s,nearest packets found within +/-3 seconds
3,S2C_ORACLE_003_0123456789,whisper,2026-07-13 19:27:15.684,world_game_candidate,7780,34458,2026-07-13 19:27:15.621,-63,37,34362,2026-07-13 19:27:14.956,-727,7,exact_window_3s,nearest packets found within +/-3 seconds
4,S2C_ORACLE_004_REPEAT,whisper,2026-07-13 19:27:44.146,world_game_candidate,7780,36269,2026-07-13 19:27:44.070,-75,12,36290,2026-07-13 19:27:45.189,1044,7,exact_window_3s,nearest packets found within +/-3 seconds
5,S2C_ORACLE_004_REPEAT,whisper,2026-07-13 19:27:54.583,world_game_candidate,7780,38686,2026-07-13 19:27:54.596,14,63,38717,2026-07-13 19:27:55.293,711,7,exact_window_3s,nearest packets found within +/-3 seconds
6,S2C_ORACLE_001_A1B2G,group,2026-07-13 19:28:55.568,world_game_candidate,7780,44914,2026-07-13 19:28:55.576,8,93,44918,2026-07-13 19:28:55.878,311,7,exact_window_3s,nearest packets found within +/-3 seconds
7,S2C_ORACLE_002_C3D4G,group,2026-07-13 19:29:21.259,world_game_candidate,7780,45758,2026-07-13 19:29:21.106,-153,74,45755,2026-07-13 19:29:21.047,-211,7,exact_window_3s,nearest packets found within +/-3 seconds
8,S2C_ORACLE_003_0123456789G,group,2026-07-13 19:30:05.094,world_game_candidate,7780,48733,2026-07-13 19:30:04.958,-136,37,48763,2026-07-13 19:30:06.369,1276,7,exact_window_3s,nearest packets found within +/-3 seconds
9,S2C_ORACLE_004_REPEATG,group,2026-07-13 19:30:41.696,world_game_candidate,7780,53104,2026-07-13 19:30:41.888,192,17,53095,2026-07-13 19:30:41.599,-97,7,exact_window_3s,nearest packets found within +/-3 seconds
10,S2C_ORACLE_004_REPEATG,group,2026-07-13 19:30:50.894,world_game_candidate,7780,53356,2026-07-13 19:30:50.907,14,606,53367,2026-07-13 19:30:51.679,786,7,exact_window_3s,nearest packets found within +/-3 seconds
1,S2C_ORACLE_001_A1B2,whisper,2026-07-13 19:26:16.613,chat_sidechannel_candidate,10242,,,,,25888,2026-07-13 19:26:15.830,-783,22,exact_window_3s,nearest packets found within +/-3 seconds
2,S2C_ORACLE_002_C3D4,whisper,2026-07-13 19:26:46.103,chat_sidechannel_candidate,10242,,,,,30891,2026-07-13 19:26:45.831,-272,22,exact_window_3s,nearest packets found within +/-3 seconds
3,S2C_ORACLE_003_0123456789,whisper,2026-07-13 19:27:15.684,chat_sidechannel_candidate,10242,,,,,34484,2026-07-13 19:27:15.833,149,22,exact_window_3s,nearest packets found within +/-3 seconds
4,S2C_ORACLE_004_REPEAT,whisper,2026-07-13 19:27:44.146,chat_sidechannel_candidate,10242,36278,2026-07-13 19:27:44.575,429,239,36418,2026-07-13 19:27:45.834,1688,22,exact_window_3s,nearest packets found within +/-3 seconds
5,S2C_ORACLE_004_REPEAT,whisper,2026-07-13 19:27:54.583,chat_sidechannel_candidate,10242,38677,2026-07-13 19:27:54.282,-300,103,38731,2026-07-13 19:27:55.834,1252,22,exact_window_3s,nearest packets found within +/-3 seconds
6,S2C_ORACLE_001_A1B2G,group,2026-07-13 19:28:55.568,chat_sidechannel_candidate,10242,44845,2026-07-13 19:28:53.093,-2474,239,44916,2026-07-13 19:28:55.836,269,22,exact_window_3s,nearest packets found within +/-3 seconds
7,S2C_ORACLE_002_C3D4G,group,2026-07-13 19:29:21.259,chat_sidechannel_candidate,10242,,,,,47846,2026-07-13 19:29:25.839,4581,22,window_10s,nearest packets found within +/-10 seconds
8,S2C_ORACLE_003_0123456789G,group,2026-07-13 19:30:05.094,chat_sidechannel_candidate,10242,,,,,48748,2026-07-13 19:30:05.842,748,22,exact_window_3s,nearest packets found within +/-3 seconds
9,S2C_ORACLE_004_REPEATG,group,2026-07-13 19:30:41.696,chat_sidechannel_candidate,10242,53227,2026-07-13 19:30:47.811,6116,343,53183,2026-07-13 19:30:45.844,4149,22,window_10s,nearest packets found within +/-10 seconds
10,S2C_ORACLE_004_REPEATG,group,2026-07-13 19:30:50.894,chat_sidechannel_candidate,10242,53227,2026-07-13 19:30:47.811,-3082,343,53437,2026-07-13 19:30:55.845,4952,22,window_10s,nearest packets found within +/-10 seconds
