marker_index,marker_text,marker_len_ascii,marker_len_utf16le,repeat_id,channel_guess,logged_time,flow_role,server_port,nearest_s2c_frame,nearest_s2c_time,delta_ms,s2c_tcp_len,nearest_c2s_frame,nearest_c2s_time,c2s_delta_ms,c2s_tcp_len,confidence,reason
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,54,S2C_A_0001_XXXXXXXXXXXXXXXX,whisper,2026-07-13 21:17:25.468,world_game_candidate,7780,444,2026-07-13 21:17:25.934,467,21,,,,,exact_window_3s,nearest packets found within +/-3 seconds
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,54,S2C_A_0001_XXXXXXXXXXXXXXXX,whisper,2026-07-13 21:17:35.727,world_game_candidate,7780,460,2026-07-13 21:17:34.847,-880,85,464,2026-07-13 21:17:37.197,1470,11,exact_window_3s,nearest packets found within +/-3 seconds
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,70,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,whisper,2026-07-13 21:18:03.182,world_game_candidate,7780,506,2026-07-13 21:18:03.023,-159,217,,,,,exact_window_3s,nearest packets found within +/-3 seconds
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,70,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,whisper,2026-07-13 21:18:21.485,world_game_candidate,7780,533,2026-07-13 21:18:21.001,-483,70,,,,,exact_window_3s,nearest packets found within +/-3 seconds
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,86,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,whisper,2026-07-13 21:19:17.810,world_game_candidate,7780,619,2026-07-13 21:19:17.144,-666,117,,,,,exact_window_3s,nearest packets found within +/-3 seconds
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,86,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,whisper,2026-07-13 21:19:31.383,world_game_candidate,7780,639,2026-07-13 21:19:32.037,654,21,,,,,exact_window_3s,nearest packets found within +/-3 seconds
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,102,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,whisper,2026-07-13 21:20:08.692,world_game_candidate,7780,706,2026-07-13 21:20:09.064,373,70,,,,,exact_window_3s,nearest packets found within +/-3 seconds
8,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,102,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,whisper,2026-07-13 21:20:19.052,world_game_candidate,7780,716,2026-07-13 21:20:18.530,-522,133,,,,,exact_window_3s,nearest packets found within +/-3 seconds
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,54,S2C_A_0001_XXXXXXXXXXXXXXXX,whisper,2026-07-13 21:17:25.468,chat_sidechannel_candidate,10242,,,,,442,2026-07-13 21:17:25.141,-327,22,exact_window_3s,nearest packets found within +/-3 seconds
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,54,S2C_A_0001_XXXXXXXXXXXXXXXX,whisper,2026-07-13 21:17:35.727,chat_sidechannel_candidate,10242,,,,,462,2026-07-13 21:17:35.141,-585,22,exact_window_3s,nearest packets found within +/-3 seconds
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,70,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,whisper,2026-07-13 21:18:03.182,chat_sidechannel_candidate,10242,,,,,508,2026-07-13 21:18:05.144,1963,22,exact_window_3s,nearest packets found within +/-3 seconds
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,70,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,whisper,2026-07-13 21:18:21.485,chat_sidechannel_candidate,10242,539,2026-07-13 21:18:25.974,4490,113,535,2026-07-13 21:18:25.144,3660,22,window_10s,nearest packets found within +/-10 seconds
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,86,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,whisper,2026-07-13 21:19:17.810,chat_sidechannel_candidate,10242,,,,,617,2026-07-13 21:19:15.146,-2663,22,exact_window_3s,nearest packets found within +/-3 seconds
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,86,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,whisper,2026-07-13 21:19:31.383,chat_sidechannel_candidate,10242,645,2026-07-13 21:19:33.533,2151,205,,,,,exact_window_3s,nearest packets found within +/-3 seconds
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,102,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,whisper,2026-07-13 21:20:08.692,chat_sidechannel_candidate,10242,704,2026-07-13 21:20:08.990,299,179,,,,,exact_window_3s,nearest packets found within +/-3 seconds
8,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,102,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,whisper,2026-07-13 21:20:19.052,chat_sidechannel_candidate,10242,730,2026-07-13 21:20:26.905,7854,259,714,2026-07-13 21:20:15.151,-3901,22,window_10s,nearest packets found within +/-10 seconds
