marker_index,marker_text,marker_len_ascii,occurrence_index,flow_role,server_port,window_sec,packet_order,frame,time_delta_ms,direction,tcp_len,is_payload_packet,burst_group,reason
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,world_game_candidate,7780,3,1,444,467,S2C,21,true,near_s2c,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,world_game_candidate,7780,3,2,446,487,S2C,15,true,near_s2c,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,world_game_candidate,7780,3,3,448,1467,S2C,70,true,post_s2c,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,world_game_candidate,7780,10,1,429,-5526,S2C,21,true,pre_s2c,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,world_game_candidate,7780,10,2,431,-5498,S2C,15,true,pre_s2c,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,world_game_candidate,7780,10,3,433,-4524,S2C,70,true,pre_s2c,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,world_game_candidate,7780,10,4,435,-3951,S2C,85,true,pre_s2c,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,world_game_candidate,7780,10,5,439,-3372,C2S,11,true,pre_c2s,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,world_game_candidate,7780,10,6,440,-3311,S2C,15,true,pre_s2c,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,world_game_candidate,7780,10,7,444,467,S2C,21,true,near_s2c,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,world_game_candidate,7780,10,8,446,487,S2C,15,true,near_s2c,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,world_game_candidate,7780,10,9,448,1467,S2C,70,true,post_s2c,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,world_game_candidate,7780,10,10,452,6492,S2C,21,true,post_s2c,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,world_game_candidate,7780,10,11,454,6513,S2C,15,true,post_s2c,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,world_game_candidate,7780,10,12,458,7490,S2C,70,true,post_s2c,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,world_game_candidate,7780,10,13,460,9379,S2C,85,true,post_s2c,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,chat_sidechannel_candidate,10242,3,1,442,-327,C2S,22,true,near_c2s,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,chat_sidechannel_candidate,10242,10,1,425,-8381,S2C,349,true,pre_s2c,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,chat_sidechannel_candidate,10242,10,2,427,-7138,S2C,237,true,pre_s2c,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,chat_sidechannel_candidate,10242,10,3,437,-3682,S2C,89,true,pre_s2c,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,chat_sidechannel_candidate,10242,10,4,442,-327,C2S,22,true,near_c2s,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,chat_sidechannel_candidate,10242,10,5,450,4277,S2C,141,true,post_s2c,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,chat_sidechannel_candidate,10242,10,6,456,6636,S2C,219,true,post_s2c,safe packet-window metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,chat_sidechannel_candidate,10242,10,7,462,9674,C2S,22,true,post_c2s,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,world_game_candidate,7780,3,1,458,-2769,S2C,70,true,pre_s2c,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,world_game_candidate,7780,3,2,460,-880,S2C,85,true,near_s2c,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,world_game_candidate,7780,3,3,464,1470,C2S,11,true,post_c2s,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,world_game_candidate,7780,3,4,465,1521,S2C,15,true,post_s2c,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,world_game_candidate,7780,3,5,467,2223,S2C,21,true,post_s2c,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,world_game_candidate,7780,3,6,469,2244,S2C,15,true,post_s2c,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,world_game_candidate,7780,10,1,444,-9792,S2C,21,true,pre_s2c,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,world_game_candidate,7780,10,2,446,-9772,S2C,15,true,pre_s2c,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,world_game_candidate,7780,10,3,448,-8792,S2C,70,true,pre_s2c,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,world_game_candidate,7780,10,4,452,-3767,S2C,21,true,pre_s2c,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,world_game_candidate,7780,10,5,454,-3746,S2C,15,true,pre_s2c,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,world_game_candidate,7780,10,6,458,-2769,S2C,70,true,pre_s2c,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,world_game_candidate,7780,10,7,460,-880,S2C,85,true,near_s2c,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,world_game_candidate,7780,10,8,464,1470,C2S,11,true,post_c2s,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,world_game_candidate,7780,10,9,465,1521,S2C,15,true,post_s2c,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,world_game_candidate,7780,10,10,467,2223,S2C,21,true,post_s2c,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,world_game_candidate,7780,10,11,469,2244,S2C,15,true,post_s2c,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,world_game_candidate,7780,10,12,471,3224,S2C,70,true,post_s2c,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,world_game_candidate,7780,10,13,473,8231,S2C,21,true,post_s2c,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,world_game_candidate,7780,10,14,475,8251,S2C,15,true,post_s2c,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,world_game_candidate,7780,10,15,477,9235,S2C,70,true,post_s2c,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,chat_sidechannel_candidate,10242,3,1,462,-585,C2S,22,true,near_c2s,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,chat_sidechannel_candidate,10242,10,1,450,-5982,S2C,141,true,pre_s2c,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,chat_sidechannel_candidate,10242,10,2,456,-3623,S2C,219,true,pre_s2c,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,chat_sidechannel_candidate,10242,10,3,462,-585,C2S,22,true,near_c2s,safe packet-window metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,chat_sidechannel_candidate,10242,10,4,479,9416,C2S,22,true,post_c2s,safe packet-window metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,world_game_candidate,7780,3,1,498,-1179,S2C,14,true,pre_s2c,safe packet-window metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,world_game_candidate,7780,3,2,500,-1159,S2C,47,true,pre_s2c,safe packet-window metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,world_game_candidate,7780,3,3,502,-964,S2C,101,true,near_s2c,safe packet-window metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,world_game_candidate,7780,3,4,504,-179,S2C,70,true,near_s2c,safe packet-window metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,world_game_candidate,7780,3,5,506,-159,S2C,217,true,near_s2c,safe packet-window metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,world_game_candidate,7780,10,1,492,-7179,S2C,21,true,pre_s2c,safe packet-window metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,world_game_candidate,7780,10,2,494,-7158,S2C,15,true,pre_s2c,safe packet-window metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,world_game_candidate,7780,10,3,496,-6180,S2C,70,true,pre_s2c,safe packet-window metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,world_game_candidate,7780,10,4,498,-1179,S2C,14,true,pre_s2c,safe packet-window metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,world_game_candidate,7780,10,5,500,-1159,S2C,47,true,pre_s2c,safe packet-window metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,world_game_candidate,7780,10,6,502,-964,S2C,101,true,near_s2c,safe packet-window metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,world_game_candidate,7780,10,7,504,-179,S2C,70,true,near_s2c,safe packet-window metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,world_game_candidate,7780,10,8,506,-159,S2C,217,true,near_s2c,safe packet-window metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,world_game_candidate,7780,10,9,510,4224,C2S,11,true,post_c2s,safe packet-window metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,world_game_candidate,7780,10,10,511,4274,S2C,15,true,post_s2c,safe packet-window metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,world_game_candidate,7780,10,11,513,4822,S2C,21,true,post_s2c,safe packet-window metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,world_game_candidate,7780,10,12,515,4842,S2C,15,true,post_s2c,safe packet-window metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,world_game_candidate,7780,10,13,517,5809,S2C,70,true,post_s2c,safe packet-window metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,chat_sidechannel_candidate,10242,3,1,508,1963,C2S,22,true,post_c2s,safe packet-window metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,chat_sidechannel_candidate,10242,10,1,490,-8039,C2S,22,true,pre_c2s,safe packet-window metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,chat_sidechannel_candidate,10242,10,2,508,1963,C2S,22,true,post_c2s,safe packet-window metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,world_game_candidate,7780,3,1,527,-1477,S2C,21,true,pre_s2c,safe packet-window metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,world_game_candidate,7780,3,2,529,-1457,S2C,15,true,pre_s2c,safe packet-window metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,world_game_candidate,7780,3,3,531,-580,S2C,101,true,near_s2c,safe packet-window metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,world_game_candidate,7780,3,4,533,-483,S2C,70,true,near_s2c,safe packet-window metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,world_game_candidate,7780,10,1,519,-7486,S2C,21,true,pre_s2c,safe packet-window metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,world_game_candidate,7780,10,2,521,-7468,S2C,15,true,pre_s2c,safe packet-window metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,world_game_candidate,7780,10,3,523,-6487,S2C,70,true,pre_s2c,safe packet-window metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,world_game_candidate,7780,10,4,527,-1477,S2C,21,true,pre_s2c,safe packet-window metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,world_game_candidate,7780,10,5,529,-1457,S2C,15,true,pre_s2c,safe packet-window metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,world_game_candidate,7780,10,6,531,-580,S2C,101,true,near_s2c,safe packet-window metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,world_game_candidate,7780,10,7,533,-483,S2C,70,true,near_s2c,safe packet-window metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,world_game_candidate,7780,10,8,537,4071,S2C,16,true,post_s2c,safe packet-window metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,world_game_candidate,7780,10,9,541,4522,S2C,21,true,post_s2c,safe packet-window metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,world_game_candidate,7780,10,10,543,4550,S2C,15,true,post_s2c,safe packet-window metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,world_game_candidate,7780,10,11,545,5527,S2C,70,true,post_s2c,safe packet-window metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,world_game_candidate,7780,10,12,547,8655,S2C,89,true,post_s2c,safe packet-window metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,chat_sidechannel_candidate,10242,10,1,525,-6340,C2S,22,true,pre_c2s,safe packet-window metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,chat_sidechannel_candidate,10242,10,2,535,3660,C2S,22,true,post_c2s,safe packet-window metadata only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2,chat_sidechannel_candidate,10242,10,3,539,4490,S2C,113,true,post_s2c,safe packet-window metadata only
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,1,world_game_candidate,7780,3,1,615,-2785,S2C,70,true,pre_s2c,safe packet-window metadata only
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,1,world_game_candidate,7780,3,2,619,-666,S2C,117,true,near_s2c,safe packet-window metadata only
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,1,world_game_candidate,7780,3,3,621,2220,S2C,21,true,post_s2c,safe packet-window metadata only
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,1,world_game_candidate,7780,3,4,623,2241,S2C,15,true,post_s2c,safe packet-window metadata only
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,1,world_game_candidate,7780,10,1,603,-9787,S2C,21,true,pre_s2c,safe packet-window metadata only
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,1,world_game_candidate,7780,10,2,605,-9765,S2C,15,true,pre_s2c,safe packet-window metadata only
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,1,world_game_candidate,7780,10,3,607,-8787,S2C,70,true,pre_s2c,safe packet-window metadata only
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,1,world_game_candidate,7780,10,4,609,-7598,S2C,16,true,pre_s2c,safe packet-window metadata only
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,1,world_game_candidate,7780,10,5,611,-3784,S2C,21,true,pre_s2c,safe packet-window metadata only
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,1,world_game_candidate,7780,10,6,613,-3765,S2C,15,true,pre_s2c,safe packet-window metadata only
