hypothesis_id,flow_role,server_port,direction,header_model,body_offset_model,rows_tested,rows_plausible,repeat_consistency,marker_length_signal,confidence,reason
7780_S2C_2byte_length_off0,world_game_candidate,7780,S2C,2byte_length,0,97,8,false,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_2byte_length_off2,world_game_candidate,7780,S2C,2byte_length,2,97,6,false,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_2byte_length_off4,world_game_candidate,7780,S2C,2byte_length,4,97,1,false,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_2byte_length_off6,world_game_candidate,7780,S2C,2byte_length,6,97,5,false,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_2byte_length_off8,world_game_candidate,7780,S2C,2byte_length,8,97,9,false,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_2byte_length_off10,world_game_candidate,7780,S2C,2byte_length,10,97,5,false,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_2byte_length_off12,world_game_candidate,7780,S2C,2byte_length,12,97,11,false,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_2byte_length_off14,world_game_candidate,7780,S2C,2byte_length,14,97,30,false,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_2byte_length_off16,world_game_candidate,7780,S2C,2byte_length,16,97,4,false,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_4byte_length_off0,world_game_candidate,7780,S2C,4byte_length,0,97,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_4byte_length_off2,world_game_candidate,7780,S2C,4byte_length,2,97,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_4byte_length_off4,world_game_candidate,7780,S2C,4byte_length,4,97,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_4byte_length_off6,world_game_candidate,7780,S2C,4byte_length,6,97,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_4byte_length_off8,world_game_candidate,7780,S2C,4byte_length,8,97,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
7780_S2C_4byte_length_off10,world_game_candidate,7780,S2C,4byte_length,10,97,0,true,not_direct_length_ladder,low,safe framing plausibility checks on local payload windows; bytes not written
