marker_index,marker_text,flow_role,server_port,window_sec,stream_direction,first_frame,last_frame,packet_count,total_payload_bytes,stream_offset_start,stream_offset_end,largest_packet_len,confidence,reason
1,S2C_A_0001_XXXXXXXXXXXXXXXX,world_game_candidate,7780,10,S2C,429,460,12,503,143544,144047,85,high,marker +/-10s stream window safe numeric metadata
2,S2C_A_0001_XXXXXXXXXXXXXXXX,world_game_candidate,7780,10,S2C,444,477,14,524,143750,144274,85,high,marker +/-10s stream window safe numeric metadata
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,world_game_candidate,7780,10,S2C,492,517,12,676,144395,145071,217,high,marker +/-10s stream window safe numeric metadata
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,world_game_candidate,7780,10,S2C,519,547,12,524,145071,145595,101,high,marker +/-10s stream window safe numeric metadata
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,world_game_candidate,7780,10,S2C,603,635,14,557,146448,147005,117,high,marker +/-10s stream window safe numeric metadata
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,world_game_candidate,7780,10,S2C,631,653,10,435,146899,147334,117,high,marker +/-10s stream window safe numeric metadata
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,world_game_candidate,7780,10,S2C,682,716,12,801,147672,148473,217,high,marker +/-10s stream window safe numeric metadata
8,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,world_game_candidate,7780,10,S2C,706,732,11,521,148164,148685,133,high,marker +/-10s stream window safe numeric metadata
1,S2C_A_0001_XXXXXXXXXXXXXXXX,chat_sidechannel_candidate,10242,10,S2C,425,456,5,1035,78,1113,349,high,marker +/-10s stream window safe numeric metadata
2,S2C_A_0001_XXXXXXXXXXXXXXXX,chat_sidechannel_candidate,10242,10,S2C,450,456,2,360,753,1113,219,high,marker +/-10s stream window safe numeric metadata
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,chat_sidechannel_candidate,10242,10,S2C,,,0,0,,,0,low,marker +/-10s stream window safe numeric metadata
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,chat_sidechannel_candidate,10242,10,S2C,539,539,1,113,1113,1226,113,high,marker +/-10s stream window safe numeric metadata
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,chat_sidechannel_candidate,10242,10,S2C,627,627,1,131,2038,2169,131,high,marker +/-10s stream window safe numeric metadata
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,chat_sidechannel_candidate,10242,10,S2C,645,645,1,205,2169,2374,205,high,marker +/-10s stream window safe numeric metadata
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,chat_sidechannel_candidate,10242,10,S2C,690,704,4,754,2374,3128,237,high,marker +/-10s stream window safe numeric metadata
8,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,chat_sidechannel_candidate,10242,10,S2C,730,730,1,259,3128,3387,259,high,marker +/-10s stream window safe numeric metadata
1,S2C_A_0001_XXXXXXXXXXXXXXXX,chat_sidechannel_candidate,10242,10,C2S,442,462,2,44,770,814,22,high,marker +/-10s stream window safe numeric metadata
2,S2C_A_0001_XXXXXXXXXXXXXXXX,chat_sidechannel_candidate,10242,10,C2S,462,479,2,44,792,836,22,high,marker +/-10s stream window safe numeric metadata
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,chat_sidechannel_candidate,10242,10,C2S,490,508,2,44,836,880,22,high,marker +/-10s stream window safe numeric metadata
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,chat_sidechannel_candidate,10242,10,C2S,525,535,2,44,880,924,22,high,marker +/-10s stream window safe numeric metadata
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,chat_sidechannel_candidate,10242,10,C2S,617,629,2,44,1012,1056,22,high,marker +/-10s stream window safe numeric metadata
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,chat_sidechannel_candidate,10242,10,C2S,629,647,2,44,1034,1078,22,high,marker +/-10s stream window safe numeric metadata
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,chat_sidechannel_candidate,10242,10,C2S,692,714,2,44,1122,1166,22,high,marker +/-10s stream window safe numeric metadata
8,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,chat_sidechannel_candidate,10242,10,C2S,714,724,2,44,1144,1188,22,high,marker +/-10s stream window safe numeric metadata
