marker_index,marker_text,marker_len_ascii,occurrence_index,window_sec,packet_order,frame,time_delta_ms,direction,tcp_len,is_22_byte_c2s,is_s2c_batch,burst_group,confidence,reason
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,5,1,437,-3682,S2C,89,false,true,pre_s2c,high,10242 marker window safe metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,5,2,442,-327,C2S,22,true,false,near_c2s,high,10242 marker window safe metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,5,3,450,4277,S2C,141,false,true,post_s2c,high,10242 marker window safe metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,15,1,407,-14192,C2S,82,false,false,pre_c2s,high,10242 marker window safe metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,15,2,409,-14142,S2C,14,false,false,pre_s2c,high,10242 marker window safe metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,15,3,423,-10327,C2S,22,true,false,pre_c2s,high,10242 marker window safe metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,15,4,425,-8381,S2C,349,false,true,pre_s2c,high,10242 marker window safe metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,15,5,427,-7138,S2C,237,false,true,pre_s2c,high,10242 marker window safe metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,15,6,437,-3682,S2C,89,false,true,pre_s2c,high,10242 marker window safe metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,15,7,442,-327,C2S,22,true,false,near_c2s,high,10242 marker window safe metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,15,8,450,4277,S2C,141,false,true,post_s2c,high,10242 marker window safe metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,15,9,456,6636,S2C,219,false,true,post_s2c,high,10242 marker window safe metadata only
1,S2C_A_0001_XXXXXXXXXXXXXXXX,27,1,15,10,462,9674,C2S,22,true,false,post_c2s,high,10242 marker window safe metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,5,1,456,-3623,S2C,219,false,true,pre_s2c,high,10242 marker window safe metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,5,2,462,-585,C2S,22,true,false,near_c2s,high,10242 marker window safe metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,15,1,437,-13941,S2C,89,false,true,pre_s2c,high,10242 marker window safe metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,15,2,442,-10586,C2S,22,true,false,pre_c2s,high,10242 marker window safe metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,15,3,450,-5982,S2C,141,false,true,pre_s2c,high,10242 marker window safe metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,15,4,456,-3623,S2C,219,false,true,pre_s2c,high,10242 marker window safe metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,15,5,462,-585,C2S,22,true,false,near_c2s,high,10242 marker window safe metadata only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2,15,6,479,9416,C2S,22,true,false,post_c2s,high,10242 marker window safe metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,5,1,508,1963,C2S,22,true,false,post_c2s,high,10242 marker window safe metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,15,1,490,-8039,C2S,22,true,false,pre_c2s,high,10242 marker window safe metadata only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,1,15,2,508,1963,C2S,22,true,false,post_c2s,high,10242 marker window safe metadata only
