event_id,marker_index,source_10242_frame,event_time,nearest_7780_s2c_frame,delta_7780_s2c_ms,nearest_7780_c2s_frame,delta_7780_c2s_ms,adds_confidence,confidence,reason
m001,1,,2026-07-13 21:17:25.468,444,467,439,-3372,true,medium,nearest 7780 packets and +/-3s burst_count=3
m002,2,,2026-07-13 21:17:35.727,460,-880,464,1470,true,medium,nearest 7780 packets and +/-3s burst_count=6
m003,3,,2026-07-13 21:18:03.182,506,-159,510,4224,true,medium,nearest 7780 packets and +/-3s burst_count=5
m004,4,,2026-07-13 21:18:21.485,533,-483,510,-14079,true,medium,nearest 7780 packets and +/-3s burst_count=4
m005,5,,2026-07-13 21:19:17.810,619,-666,679,40083,true,medium,nearest 7780 packets and +/-3s burst_count=4
m006,6,,2026-07-13 21:19:31.383,639,654,679,26510,true,medium,nearest 7780 packets and +/-3s burst_count=4
m007,7,,2026-07-13 21:20:08.692,706,373,679,-10799,true,medium,nearest 7780 packets and +/-3s burst_count=4
m008,8,,2026-07-13 21:20:19.052,716,-522,679,-21159,true,medium,nearest 7780 packets and +/-3s burst_count=4
u001,,423,2026-07-13 21:17:15.141,421,-213,398,-4163,true,medium,nearest 7780 packets and +/-3s burst_count=3
u002,1,442,2026-07-13 21:17:25.141,444,794,439,-3045,true,medium,nearest 7780 packets and +/-3s burst_count=4
u003,2,462,2026-07-13 21:17:35.141,460,-294,464,2056,true,medium,nearest 7780 packets and +/-3s burst_count=6
u004,,479,2026-07-13 21:17:45.142,477,-180,487,7163,true,medium,nearest 7780 packets and +/-3s burst_count=3
u005,,490,2026-07-13 21:17:55.143,492,860,487,-2838,true,medium,nearest 7780 packets and +/-3s burst_count=5
u006,3,508,2026-07-13 21:18:05.144,506,-2121,510,2262,true,medium,nearest 7780 packets and +/-3s burst_count=7
u007,,525,2026-07-13 21:18:15.144,523,-146,510,-7738,true,medium,nearest 7780 packets and +/-3s burst_count=3
u008,4,535,2026-07-13 21:18:25.144,537,412,510,-17738,true,medium,nearest 7780 packets and +/-3s burst_count=4
u009,,555,2026-07-13 21:18:35.145,553,-2122,510,-27739,true,medium,nearest 7780 packets and +/-3s burst_count=3
u010,,571,2026-07-13 21:18:45.145,569,-122,510,-37739,true,medium,nearest 7780 packets and +/-3s burst_count=3
u011,,581,2026-07-13 21:18:55.146,583,879,510,-47740,true,medium,nearest 7780 packets and +/-3s burst_count=3
u012,,601,2026-07-13 21:19:05.146,599,-2094,679,52747,true,medium,nearest 7780 packets and +/-3s burst_count=4
u013,5,617,2026-07-13 21:19:15.146,615,-121,679,42747,true,medium,nearest 7780 packets and +/-3s burst_count=4
u014,,629,2026-07-13 21:19:25.147,631,887,679,32746,true,medium,nearest 7780 packets and +/-3s burst_count=3
u015,6,647,2026-07-13 21:19:35.148,643,-2109,679,22745,true,medium,nearest 7780 packets and +/-3s burst_count=3
u016,,661,2026-07-13 21:19:45.149,659,-107,679,12744,true,medium,nearest 7780 packets and +/-3s burst_count=3
u017,,669,2026-07-13 21:19:55.149,671,908,679,2744,true,medium,nearest 7780 packets and +/-3s burst_count=6
u018,7,692,2026-07-13 21:20:05.150,688,-2068,679,-7257,true,medium,nearest 7780 packets and +/-3s burst_count=5
u019,8,714,2026-07-13 21:20:15.151,712,-84,679,-17258,true,medium,nearest 7780 packets and +/-3s burst_count=3
u020,,724,2026-07-13 21:20:25.151,726,961,679,-27258,true,medium,nearest 7780 packets and +/-3s burst_count=3
u021,,744,2026-07-13 21:20:35.152,742,-2045,679,-37259,false,low,nearest 7780 packets and +/-3s burst_count=1
u022,,748,2026-07-13 21:20:45.152,750,7690,764,29836,false,low,nearest 7780 packets and +/-3s burst_count=0
u023,,752,2026-07-13 21:20:55.152,750,-2310,764,19836,false,low,nearest 7780 packets and +/-3s burst_count=1
u024,,760,2026-07-13 21:21:05.153,758,-2009,764,9835,true,medium,nearest 7780 packets and +/-3s burst_count=3
u025,,766,2026-07-13 21:21:15.155,762,-7767,764,-167,true,medium,nearest 7780 packets and +/-3s burst_count=1
u026,,768,2026-07-13 21:21:25.155,774,10874,764,-10167,false,low,nearest 7780 packets and +/-3s burst_count=0
u027,,772,2026-07-13 21:21:35.155,774,874,764,-20167,true,medium,nearest 7780 packets and +/-3s burst_count=1
u028,,778,2026-07-13 21:21:45.155,774,-9126,764,-30167,false,low,nearest 7780 packets and +/-3s burst_count=0
u029,,780,2026-07-13 21:21:55.156,782,3587,764,-40168,false,low,nearest 7780 packets and +/-3s burst_count=0
