event_id,marker_index,marker_text,cluster_id,length_sequence_signature,direction_sequence_signature,cluster_confidence,reason
m001,1,S2C_A_0001_XXXXXXXXXXXXXXXX,c001,C22,C,medium,clustered by safe length and direction sequence signature
m002,2,S2C_A_0001_XXXXXXXXXXXXXXXX,c001,C22,C,medium,clustered by safe length and direction sequence signature
m003,3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,c001,C22,C,medium,clustered by safe length and direction sequence signature
m004,4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,c002,,,low,clustered by safe length and direction sequence signature
m005,5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,c001,C22,C,medium,clustered by safe length and direction sequence signature
m006,6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,c003,S205,S,medium,clustered by safe length and direction sequence signature
m007,7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,c004,S237-S131-S179,SSS,medium,clustered by safe length and direction sequence signature
m008,8,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,c002,,,low,clustered by safe length and direction sequence signature
u001,,,c005,C22-S349,CS,medium,clustered by safe length and direction sequence signature
u002,1,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u003,2,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u004,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u005,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u006,3,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u007,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u008,4,,c006,C22-S113,CS,medium,clustered by safe length and direction sequence signature
u009,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u010,,,c007,S237-C22,SC,medium,clustered by safe length and direction sequence signature
u011,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u012,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u013,5,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u014,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u015,6,,c008,S205-C22,SC,medium,clustered by safe length and direction sequence signature
u016,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u017,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u018,7,,c009,S207-C22-S237-S131,SCSS,medium,clustered by safe length and direction sequence signature
u019,8,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u020,,,c010,C22-S259,CS,medium,clustered by safe length and direction sequence signature
u021,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u022,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u023,,,c011,C22-S209,CS,medium,clustered by safe length and direction sequence signature
u024,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u025,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u026,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u027,,,c012,S219-C22,SC,medium,clustered by safe length and direction sequence signature
u028,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u029,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u030,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u031,,,c013,C22-S219,CS,medium,clustered by safe length and direction sequence signature
u032,,,c014,C22-S237,CS,medium,clustered by safe length and direction sequence signature
u033,,,c015,S335-C22,SC,medium,clustered by safe length and direction sequence signature
u034,,,c016,S215-C22,SC,medium,clustered by safe length and direction sequence signature
u035,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u036,,,c013,C22-S219,CS,medium,clustered by safe length and direction sequence signature
u037,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u038,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u039,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u040,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u041,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u042,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u043,,,c017,C22-S125,CS,medium,clustered by safe length and direction sequence signature
u044,,,c018,C22-S71-S69,CSS,medium,clustered by safe length and direction sequence signature
u045,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u046,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u047,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
u048,,,c001,C22,C,medium,clustered by safe length and direction sequence signature
