event_id,predicted_event_time,predicted_event_frame,source_direction,score,confidence,near_known_marker_index,near_known_marker_delta_ms,matched_known_marker,reason
u001,2026-07-13 21:17:15.141,423,C2S,0.8,high,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u002,2026-07-13 21:17:25.141,442,C2S,0.59,medium,1,-327,true,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u003,2026-07-13 21:17:35.141,462,C2S,0.59,medium,2,-585,true,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u004,2026-07-13 21:17:45.142,479,C2S,0.5,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u005,2026-07-13 21:17:55.143,490,C2S,0.5,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u006,2026-07-13 21:18:05.144,508,C2S,0.5,medium,3,1963,true,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u007,2026-07-13 21:18:15.144,525,C2S,0.5,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u008,2026-07-13 21:18:25.144,535,C2S,0.813,high,4,3660,true,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u009,2026-07-13 21:18:35.145,555,C2S,0.5,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u010,2026-07-13 21:18:45.145,571,C2S,0.74,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u011,2026-07-13 21:18:55.146,581,C2S,0.59,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u012,2026-07-13 21:19:05.146,601,C2S,0.54,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u013,2026-07-13 21:19:15.146,617,C2S,0.54,medium,5,-2663,true,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u014,2026-07-13 21:19:25.147,629,C2S,0.59,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u015,2026-07-13 21:19:35.148,647,C2S,0.8,high,6,3765,true,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u016,2026-07-13 21:19:45.149,661,C2S,0.5,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u017,2026-07-13 21:19:55.149,669,C2S,0.5,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u018,2026-07-13 21:20:05.150,692,C2S,0.85,high,7,-3542,true,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u019,2026-07-13 21:20:15.151,714,C2S,0.54,medium,8,-3901,true,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u020,2026-07-13 21:20:25.151,724,C2S,0.8,high,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u021,2026-07-13 21:20:35.152,744,C2S,0.59,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u022,2026-07-13 21:20:45.152,748,C2S,0.54,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u023,2026-07-13 21:20:55.152,752,C2S,0.85,high,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u024,2026-07-13 21:21:05.153,760,C2S,0.5,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u025,2026-07-13 21:21:15.155,766,C2S,0.5,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u026,2026-07-13 21:21:25.155,768,C2S,0.5,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u027,2026-07-13 21:21:35.155,772,C2S,0.85,high,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u028,2026-07-13 21:21:45.155,778,C2S,0.54,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u029,2026-07-13 21:21:55.156,780,C2S,0.5,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u030,2026-07-13 21:22:05.156,790,C2S,0.5,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u031,2026-07-13 21:22:15.157,794,C2S,0.85,high,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u032,2026-07-13 21:22:25.157,798,C2S,0.8,high,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u033,2026-07-13 21:22:35.158,804,C2S,0.8,high,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u034,2026-07-13 21:22:45.158,808,C2S,0.85,high,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u035,2026-07-13 21:22:55.158,814,C2S,0.54,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u036,2026-07-13 21:23:05.158,826,C2S,0.85,high,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u037,2026-07-13 21:23:15.159,830,C2S,0.54,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u038,2026-07-13 21:23:25.159,836,C2S,0.54,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u039,2026-07-13 21:23:35.159,840,C2S,0.5,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u040,2026-07-13 21:23:45.160,842,C2S,0.5,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u041,2026-07-13 21:23:55.160,848,C2S,0.5,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u042,2026-07-13 21:24:05.160,856,C2S,0.5,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u043,2026-07-13 21:24:15.161,858,C2S,0.715,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u044,2026-07-13 21:24:25.161,862,C2S,0.79,high,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u045,2026-07-13 21:24:35.161,876,C2S,0.59,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u046,2026-07-13 21:24:45.162,878,C2S,0.5,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u047,2026-07-13 21:24:55.162,880,C2S,0.59,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
u048,2026-07-13 21:25:05.162,907,C2S,0.54,medium,,,false,"unsupervised c2s22 candidate scored from timing, nearby s2c metadata, cadence break, and burst signatures"
