oracle_id,source,channel,speaker,visible_text,text_length,app_time,logged_time,chosen_time,time_tolerance_ms,current_capture,strong_reference,reason
o001,prompt_app_rows+known_log,whisper,Spirips,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2026-07-13 21:17:21,2026-07-13 21:17:25.468,2026-07-13 21:17:25.468,1000,True,True,current prompt oracle row; known log time preferred when available
o002,prompt_app_rows+known_log,whisper,Spirips,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2026-07-13 21:17:34,2026-07-13 21:17:35.727,2026-07-13 21:17:35.727,1000,True,True,current prompt oracle row; known log time preferred when available
o003,prompt_app_rows+known_log,whisper,Spirips,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2026-07-13 21:18:02,2026-07-13 21:18:03.182,2026-07-13 21:18:03.182,1000,True,True,current prompt oracle row; known log time preferred when available
o004,prompt_app_rows+known_log,whisper,Spirips,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2026-07-13 21:18:20,2026-07-13 21:18:21.485,2026-07-13 21:18:21.485,1000,True,True,current prompt oracle row; known log time preferred when available
o005,prompt_app_rows+known_log,whisper,Spirips,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2026-07-13 21:19:17,2026-07-13 21:19:17.810,2026-07-13 21:19:17.810,1000,True,True,current prompt oracle row; known log time preferred when available
o006,prompt_app_rows+known_log,whisper,Spirips,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2026-07-13 21:19:30,2026-07-13 21:19:31.383,2026-07-13 21:19:31.383,1000,True,True,current prompt oracle row; known log time preferred when available
o007,prompt_app_rows+known_log,whisper,Spirips,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,2026-07-13 21:20:08,2026-07-13 21:20:08.692,2026-07-13 21:20:08.692,1000,True,True,current prompt oracle row; known log time preferred when available
o008,prompt_app_rows+known_log,whisper,Spirips,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,2026-07-13 21:20:18,2026-07-13 21:20:19.052,2026-07-13 21:20:19.052,1000,True,True,current prompt oracle row; known log time preferred when available
o009,prompt_app_rows+known_log,group,Spirips,S2C_A_0001_XXXXXXXXXXXXXXXXG,28,2026-07-13 21:20:52,2026-07-13 21:20:53.516,2026-07-13 21:20:53.516,1000,True,True,current prompt oracle row; known log time preferred when available
o010,prompt_app_rows+known_log,group,Spirips,S2C_A_0001_XXXXXXXXXXXXXXXXG,28,2026-07-13 21:21:07,2026-07-13 21:21:08.173,2026-07-13 21:21:08.173,1000,True,True,current prompt oracle row; known log time preferred when available
o011,prompt_app_rows+known_log,group,Spirips,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXXG,36,2026-07-13 21:21:36,2026-07-13 21:21:55.036,2026-07-13 21:21:55.036,1000,True,True,current prompt oracle row; known log time preferred when available
o012,prompt_app_rows+known_log,group,Spirips,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXXG,36,2026-07-13 21:22:48,2026-07-13 21:22:48.664,2026-07-13 21:22:48.664,1000,True,True,current prompt oracle row; known log time preferred when available
o013,prompt_app_rows+known_log,group,Spirips,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXG,44,2026-07-13 21:23:19,2026-07-13 21:23:20.514,2026-07-13 21:23:20.514,1000,True,True,current prompt oracle row; known log time preferred when available
o014,prompt_app_rows+known_log,group,Spirips,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXG,44,2026-07-13 21:23:26,2026-07-13 21:23:26.645,2026-07-13 21:23:26.645,1000,True,True,current prompt oracle row; known log time preferred when available
o015,prompt_app_rows+known_log,group,Spirips,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXG,52,2026-07-13 21:23:51,2026-07-13 21:23:52.309,2026-07-13 21:23:52.309,1000,True,True,current prompt oracle row; known log time preferred when available
o016,prompt_app_rows+known_log,group,Spirips,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXG,52,2026-07-13 21:23:58,2026-07-13 21:23:58.890,2026-07-13 21:23:58.890,1000,True,True,current prompt oracle row; known log time preferred when available
o017,prompt_app_rows+known_log,local,Seahlt,S2C_ORACLE_SAY_TEST_001,23,2026-07-13 21:24:30,2026-07-13 19:31:45.504,2026-07-13 19:31:45.504,1000,True,True,current prompt oracle row; known log time preferred when available
o018,known_log_stale,stale,,S2C_ORACLE_001_A1B2,19,,2026-07-13 19:26:16.613,2026-07-13 19:26:16.613,0,False,False,stale S2C_ORACLE row retained only for accounting
o019,known_log_stale,stale,,S2C_ORACLE_002_C3D4,19,,2026-07-13 19:26:46.103,2026-07-13 19:26:46.103,0,False,False,stale S2C_ORACLE row retained only for accounting
o020,known_log_stale,stale,,S2C_ORACLE_003_0123456789,25,,2026-07-13 19:27:15.684,2026-07-13 19:27:15.684,0,False,False,stale S2C_ORACLE row retained only for accounting
o021,known_log_stale,stale,,S2C_ORACLE_004_REPEAT,21,,2026-07-13 19:27:44.146,2026-07-13 19:27:44.146,0,False,False,stale S2C_ORACLE row retained only for accounting
o022,known_log_stale,stale,,S2C_ORACLE_004_REPEAT,21,,2026-07-13 19:27:54.583,2026-07-13 19:27:54.583,0,False,False,stale S2C_ORACLE row retained only for accounting
o023,known_log_stale,stale,,S2C_ORACLE_001_A1B2G,20,,2026-07-13 19:28:55.568,2026-07-13 19:28:55.568,0,False,False,stale S2C_ORACLE row retained only for accounting
o024,known_log_stale,stale,,S2C_ORACLE_002_C3D4G,20,,2026-07-13 19:29:21.259,2026-07-13 19:29:21.259,0,False,False,stale S2C_ORACLE row retained only for accounting
o025,known_log_stale,stale,,S2C_ORACLE_003_0123456789G,26,,2026-07-13 19:30:05.094,2026-07-13 19:30:05.094,0,False,False,stale S2C_ORACLE row retained only for accounting
o026,known_log_stale,stale,,S2C_ORACLE_004_REPEATG,22,,2026-07-13 19:30:41.696,2026-07-13 19:30:41.696,0,False,False,stale S2C_ORACLE row retained only for accounting
o027,known_log_stale,stale,,S2C_ORACLE_004_REPEATG,22,,2026-07-13 19:30:50.894,2026-07-13 19:30:50.894,0,False,False,stale S2C_ORACLE row retained only for accounting
