flow_role,server_port,direction,frame,time,tcp_len,stream_offset_start,stream_offset_end,confidence,reason
world,7780,S2C,99,2026-07-13 21:16:57.078,11,0,11,high,TCP payload stream order metadata only
world,7780,S2C,104,2026-07-13 21:16:57.144,92,11,103,high,TCP payload stream order metadata only
world,7780,S2C,108,2026-07-13 21:16:57.165,9,103,112,high,TCP payload stream order metadata only
world,7780,S2C,110,2026-07-13 21:16:57.188,15,112,127,high,TCP payload stream order metadata only
world,7780,S2C,113,2026-07-13 21:16:57.217,1460,127,1587,high,TCP payload stream order metadata only
world,7780,S2C,114,2026-07-13 21:16:57.217,122,1587,1709,high,TCP payload stream order metadata only
world,7780,S2C,119,2026-07-13 21:16:57.289,36,1709,1745,high,TCP payload stream order metadata only
world,7780,S2C,121,2026-07-13 21:16:57.356,1272,1745,3017,high,TCP payload stream order metadata only
world,7780,S2C,124,2026-07-13 21:16:57.835,9,3017,3026,high,TCP payload stream order metadata only
world,7780,S2C,127,2026-07-13 21:17:00.785,11,3026,3037,high,TCP payload stream order metadata only
world,7780,S2C,130,2026-07-13 21:17:00.845,31,3037,3068,high,TCP payload stream order metadata only
world,7780,S2C,132,2026-07-13 21:17:00.867,1460,3068,4528,high,TCP payload stream order metadata only
world,7780,S2C,134,2026-07-13 21:17:00.867,1245,4528,5773,high,TCP payload stream order metadata only
world,7780,S2C,136,2026-07-13 21:17:00.893,1460,5773,7233,high,TCP payload stream order metadata only
world,7780,S2C,138,2026-07-13 21:17:00.893,1460,7233,8693,high,TCP payload stream order metadata only
world,7780,S2C,140,2026-07-13 21:17:00.893,1460,8693,10153,high,TCP payload stream order metadata only
world,7780,S2C,142,2026-07-13 21:17:00.893,1460,10153,11613,high,TCP payload stream order metadata only
world,7780,S2C,143,2026-07-13 21:17:00.893,87,11613,11700,high,TCP payload stream order metadata only
world,7780,S2C,145,2026-07-13 21:17:00.914,1460,11700,13160,high,TCP payload stream order metadata only
world,7780,S2C,147,2026-07-13 21:17:00.914,1460,13160,14620,high,TCP payload stream order metadata only
world,7780,S2C,149,2026-07-13 21:17:00.914,1460,14620,16080,high,TCP payload stream order metadata only
world,7780,S2C,151,2026-07-13 21:17:00.914,1460,16080,17540,high,TCP payload stream order metadata only
world,7780,S2C,153,2026-07-13 21:17:00.914,1460,17540,19000,high,TCP payload stream order metadata only
world,7780,S2C,155,2026-07-13 21:17:00.915,752,19000,19752,high,TCP payload stream order metadata only
world,7780,S2C,158,2026-07-13 21:17:00.935,1460,19752,21212,high,TCP payload stream order metadata only
world,7780,S2C,160,2026-07-13 21:17:00.935,1460,21212,22672,high,TCP payload stream order metadata only
world,7780,S2C,162,2026-07-13 21:17:00.935,1460,22672,24132,high,TCP payload stream order metadata only
world,7780,S2C,163,2026-07-13 21:17:00.935,769,24132,24901,high,TCP payload stream order metadata only
world,7780,S2C,165,2026-07-13 21:17:00.959,1460,24901,26361,high,TCP payload stream order metadata only
world,7780,S2C,167,2026-07-13 21:17:00.959,1460,26361,27821,high,TCP payload stream order metadata only
world,7780,S2C,169,2026-07-13 21:17:00.959,1460,27821,29281,high,TCP payload stream order metadata only
world,7780,S2C,171,2026-07-13 21:17:00.959,1460,29281,30741,high,TCP payload stream order metadata only
world,7780,S2C,173,2026-07-13 21:17:00.959,1338,30741,32079,high,TCP payload stream order metadata only
