pair_id,base_marker,whisper_oracles,group_oracles,flow_role,server_port,direction,feature_name,whisper_feature,group_feature,difference_found,repeat_supported,confidence,reason
p001,0001,o001;o002,o009;o010,world,7780,S2C,nearest_len,21|85,87|87,true,false,medium,controlled whisper/group comparison by base marker id
p002,0001,o001;o002,o009;o010,world,7780,S2C,pm3_total_bytes,106|217,87|87,true,false,medium,controlled whisper/group comparison by base marker id
p003,0001,o001;o002,o009;o010,world,7780,S2C,pm3_packet_count,3|5,1|1,true,false,medium,controlled whisper/group comparison by base marker id
p004,0001,o001;o002,o009;o010,world,7780,S2C,pm3_direction_sequence,SSS|SSCSSS,S|S,true,false,medium,controlled whisper/group comparison by base marker id
p005,0001,o001;o002,o009;o010,world,7780,C2S,nearest_len,11|11,7|7,true,true,medium,controlled whisper/group comparison by base marker id
p006,0001,o001;o002,o009;o010,world,7780,C2S,pm3_total_bytes,106|217,87|87,true,false,medium,controlled whisper/group comparison by base marker id
p007,0001,o001;o002,o009;o010,world,7780,C2S,pm3_packet_count,0|1,0|0,false,false,low,controlled whisper/group comparison by base marker id
p008,0001,o001;o002,o009;o010,world,7780,C2S,pm3_direction_sequence,SSS|SSCSSS,S|S,true,false,medium,controlled whisper/group comparison by base marker id
p009,0001,o001;o002,o009;o010,event_side,10242,S2C,nearest_len,89|219,209|209,true,false,medium,controlled whisper/group comparison by base marker id
p010,0001,o001;o002,o009;o010,event_side,10242,S2C,pm3_total_bytes,22|22,231|0,true,false,medium,controlled whisper/group comparison by base marker id
p011,0001,o001;o002,o009;o010,event_side,10242,S2C,pm3_packet_count,0|0,1|0,false,false,low,controlled whisper/group comparison by base marker id
p012,0001,o001;o002,o009;o010,event_side,10242,S2C,pm3_direction_sequence,C|C,CS|,true,false,medium,controlled whisper/group comparison by base marker id
p013,0001,o001;o002,o009;o010,event_side,10242,C2S,nearest_len,22|22,22|22,false,true,medium,controlled whisper/group comparison by base marker id
p014,0001,o001;o002,o009;o010,event_side,10242,C2S,pm3_total_bytes,22|22,231|0,true,false,medium,controlled whisper/group comparison by base marker id
p015,0001,o001;o002,o009;o010,event_side,10242,C2S,pm3_packet_count,1|1,1|0,true,false,medium,controlled whisper/group comparison by base marker id
p016,0001,o001;o002,o009;o010,event_side,10242,C2S,pm3_direction_sequence,C|C,CS|,true,false,medium,controlled whisper/group comparison by base marker id
p017,0002,o003;o004,o011;o012,world,7780,S2C,nearest_len,217|70,70|103,true,false,medium,controlled whisper/group comparison by base marker id
p018,0002,o003;o004,o011;o012,world,7780,S2C,pm3_total_bytes,449|207,0|103,true,false,medium,controlled whisper/group comparison by base marker id
p019,0002,o003;o004,o011;o012,world,7780,S2C,pm3_packet_count,5|4,0|1,true,false,medium,controlled whisper/group comparison by base marker id
p020,0002,o003;o004,o011;o012,world,7780,S2C,pm3_direction_sequence,SSSSS|SSSS,|S,true,false,medium,controlled whisper/group comparison by base marker id
p021,0002,o003;o004,o011;o012,world,7780,C2S,nearest_len,11|11,7|9,true,false,medium,controlled whisper/group comparison by base marker id
p022,0002,o003;o004,o011;o012,world,7780,C2S,pm3_total_bytes,449|207,0|103,true,false,medium,controlled whisper/group comparison by base marker id
p023,0002,o003;o004,o011;o012,world,7780,C2S,pm3_packet_count,0|0,0|0,false,true,medium,controlled whisper/group comparison by base marker id
p024,0002,o003;o004,o011;o012,world,7780,C2S,pm3_direction_sequence,SSSSS|SSSS,|S,true,false,medium,controlled whisper/group comparison by base marker id
p025,0002,o003;o004,o011;o012,event_side,10242,S2C,nearest_len,113|113,213|93,true,false,medium,controlled whisper/group comparison by base marker id
p026,0002,o003;o004,o011;o012,event_side,10242,S2C,pm3_total_bytes,22|0,22|93,true,false,medium,controlled whisper/group comparison by base marker id
p027,0002,o003;o004,o011;o012,event_side,10242,S2C,pm3_packet_count,0|0,0|1,false,false,low,controlled whisper/group comparison by base marker id
