hypothesis_id,channel,direction,window_model,header_model,rows_tested,rows_plausible,repeat_consistent,message_length_signal,channel_signal,exact_text_match,confidence,reason
world_S2C_nearest_o001,whisper,S2C,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=21 largest=21
world_S2C_nearest_o002,whisper,S2C,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=85 largest=85
world_S2C_nearest_o003,whisper,S2C,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=217 largest=217
world_S2C_nearest_o004,whisper,S2C,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=70 largest=70
world_S2C_nearest_o005,whisper,S2C,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=117 largest=117
world_S2C_nearest_o006,whisper,S2C,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=21 largest=21
world_S2C_nearest_o007,whisper,S2C,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=70 largest=70
world_S2C_nearest_o008,whisper,S2C,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=133 largest=133
world_S2C_nearest_o009,group,S2C,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=87 largest=87
world_S2C_nearest_o010,group,S2C,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=87 largest=87
world_S2C_nearest_o011,group,S2C,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=70 largest=70
world_S2C_nearest_o012,group,S2C,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=103 largest=103
world_S2C_nearest_o013,group,S2C,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=119 largest=119
world_S2C_nearest_o014,group,S2C,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=119 largest=119
world_S2C_nearest_o015,group,S2C,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=135 largest=135
world_S2C_nearest_o016,group,S2C,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=135 largest=135
world_S2C_nearest_o017,local,S2C,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=11 largest=11
world_S2C_pm1_o001,whisper,S2C,pm1,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=2 total_bytes=36 largest=21
world_S2C_pm1_o002,whisper,S2C,pm1,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=85 largest=85
world_S2C_pm1_o003,whisper,S2C,pm1,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=3 total_bytes=388 largest=217
world_S2C_pm1_o004,whisper,S2C,pm1,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=2 total_bytes=171 largest=101
world_S2C_pm1_o005,whisper,S2C,pm1,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=117 largest=117
world_S2C_pm1_o006,whisper,S2C,pm1,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=3 total_bytes=153 largest=117
world_S2C_pm1_o007,whisper,S2C,pm1,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=4 total_bytes=239 largest=133
world_S2C_pm1_o008,whisper,S2C,pm1,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=133 largest=133
world_S2C_pm1_o009,group,S2C,pm1,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=87 largest=87
world_S2C_pm1_o010,group,S2C,pm1,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=87 largest=87
world_S2C_pm1_o011,group,S2C,pm1,offset_0_32_metadata,1,0,pending,false,true,false,medium,packet_count=0 total_bytes=0 largest=0
world_S2C_pm1_o012,group,S2C,pm1,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=103 largest=103
world_S2C_pm1_o013,group,S2C,pm1,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=119 largest=119
world_S2C_pm1_o014,group,S2C,pm1,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=119 largest=119
world_S2C_pm1_o015,group,S2C,pm1,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=135 largest=135
world_S2C_pm1_o016,group,S2C,pm1,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=135 largest=135
world_S2C_pm1_o017,local,S2C,pm1,offset_0_32_metadata,1,0,pending,false,true,false,medium,packet_count=0 total_bytes=0 largest=0
world_S2C_pm3_o001,whisper,S2C,pm3,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=3 total_bytes=106 largest=70
world_S2C_pm3_o002,whisper,S2C,pm3,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=5 total_bytes=206 largest=85
world_S2C_pm3_o003,whisper,S2C,pm3,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=5 total_bytes=449 largest=217
world_S2C_pm3_o004,whisper,S2C,pm3,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=4 total_bytes=207 largest=101
world_S2C_pm3_o005,whisper,S2C,pm3,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=4 total_bytes=223 largest=117
world_S2C_pm3_o006,whisper,S2C,pm3,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=4 total_bytes=223 largest=117
world_S2C_pm3_o007,whisper,S2C,pm3,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=4 total_bytes=239 largest=133
world_S2C_pm3_o008,whisper,S2C,pm3,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=4 total_bytes=239 largest=133
world_S2C_pm3_o009,group,S2C,pm3,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=87 largest=87
world_S2C_pm3_o010,group,S2C,pm3,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=87 largest=87
world_S2C_pm3_o011,group,S2C,pm3,offset_0_32_metadata,1,0,pending,false,true,false,medium,packet_count=0 total_bytes=0 largest=0
world_S2C_pm3_o012,group,S2C,pm3,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=103 largest=103
world_S2C_pm3_o013,group,S2C,pm3,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=119 largest=119
world_S2C_pm3_o014,group,S2C,pm3,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=119 largest=119
world_S2C_pm3_o015,group,S2C,pm3,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=135 largest=135
world_S2C_pm3_o016,group,S2C,pm3,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=135 largest=135
world_S2C_pm3_o017,local,S2C,pm3,offset_0_32_metadata,1,0,pending,false,true,false,medium,packet_count=0 total_bytes=0 largest=0
world_S2C_pm5_o001,whisper,S2C,pm5,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=6 total_bytes=276 largest=85
world_S2C_pm5_o002,whisper,S2C,pm5,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=8 total_bytes=312 largest=85
world_S2C_pm5_o003,whisper,S2C,pm5,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=8 total_bytes=500 largest=217
world_S2C_pm5_o004,whisper,S2C,pm5,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=7 total_bytes=259 largest=101
world_S2C_pm5_o005,whisper,S2C,pm5,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=7 total_bytes=329 largest=117
world_S2C_pm5_o006,whisper,S2C,pm5,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=5 total_bytes=293 largest=117
world_S2C_pm5_o007,whisper,S2C,pm5,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=4 total_bytes=239 largest=133
world_S2C_pm5_o008,whisper,S2C,pm5,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=7 total_bytes=345 largest=133
world_S2C_pm5_o009,group,S2C,pm5,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=87 largest=87
world_S2C_pm5_o010,group,S2C,pm5,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=87 largest=87
world_S2C_pm5_o011,group,S2C,pm5,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=70 largest=70
world_S2C_pm5_o012,group,S2C,pm5,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=103 largest=103
world_S2C_pm5_o013,group,S2C,pm5,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=119 largest=119
world_S2C_pm5_o014,group,S2C,pm5,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=119 largest=119
world_S2C_pm5_o015,group,S2C,pm5,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=135 largest=135
world_S2C_pm5_o016,group,S2C,pm5,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=3 total_bytes=352 largest=186
world_S2C_pm5_o017,local,S2C,pm5,offset_0_32_metadata,1,0,pending,false,true,false,medium,packet_count=0 total_bytes=0 largest=0
world_S2C_pm10_o001,whisper,S2C,pm10,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=12 total_bytes=503 largest=85
world_S2C_pm10_o002,whisper,S2C,pm10,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=14 total_bytes=524 largest=85
world_S2C_pm10_o003,whisper,S2C,pm10,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=12 total_bytes=676 largest=217
world_S2C_pm10_o004,whisper,S2C,pm10,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=12 total_bytes=524 largest=101
world_S2C_pm10_o005,whisper,S2C,pm10,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=14 total_bytes=557 largest=117
world_S2C_pm10_o006,whisper,S2C,pm10,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=10 total_bytes=435 largest=117
world_S2C_pm10_o007,whisper,S2C,pm10,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=12 total_bytes=801 largest=217
world_S2C_pm10_o008,whisper,S2C,pm10,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=11 total_bytes=521 largest=133
world_S2C_pm10_o009,group,S2C,pm10,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=3 total_bytes=304 largest=186
world_S2C_pm10_o010,group,S2C,pm10,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=3 total_bytes=304 largest=186
world_S2C_pm10_o011,group,S2C,pm10,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=4 total_bytes=330 largest=186
world_S2C_pm10_o012,group,S2C,pm10,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=2 total_bytes=112 largest=103
world_S2C_pm10_o013,group,S2C,pm10,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=2 total_bytes=238 largest=119
world_S2C_pm10_o014,group,S2C,pm10,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=2 total_bytes=238 largest=119
world_S2C_pm10_o015,group,S2C,pm10,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=3 total_bytes=286 largest=135
world_S2C_pm10_o016,group,S2C,pm10,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=4 total_bytes=487 largest=186
world_S2C_pm10_o017,local,S2C,pm10,offset_0_32_metadata,1,0,pending,false,true,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_nearest_o001,whisper,C2S,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=11 largest=11
world_C2S_nearest_o002,whisper,C2S,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=11 largest=11
world_C2S_nearest_o003,whisper,C2S,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=11 largest=11
world_C2S_nearest_o004,whisper,C2S,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=11 largest=11
world_C2S_nearest_o005,whisper,C2S,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=9 largest=9
world_C2S_nearest_o006,whisper,C2S,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=9 largest=9
world_C2S_nearest_o007,whisper,C2S,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=9 largest=9
world_C2S_nearest_o008,whisper,C2S,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=9 largest=9
world_C2S_nearest_o009,group,C2S,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=7 largest=7
world_C2S_nearest_o010,group,C2S,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=7 largest=7
world_C2S_nearest_o011,group,C2S,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=7 largest=7
world_C2S_nearest_o012,group,C2S,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=9 largest=9
world_C2S_nearest_o013,group,C2S,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=9 largest=9
world_C2S_nearest_o014,group,C2S,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=9 largest=9
world_C2S_nearest_o015,group,C2S,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=56 largest=56
world_C2S_nearest_o016,group,C2S,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=56 largest=56
world_C2S_nearest_o017,local,C2S,nearest,offset_0_32_metadata,1,1,pending,true,true,false,medium,packet_count=1 total_bytes=24 largest=24
world_C2S_pm1_o001,whisper,C2S,pm1,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm1_o002,whisper,C2S,pm1,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm1_o003,whisper,C2S,pm1,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm1_o004,whisper,C2S,pm1,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm1_o005,whisper,C2S,pm1,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
