oracle_id,channel,speaker,visible_text,text_length,chatlog_second_start,chatlog_second_end,primary_source,manual_note_present,manual_note_used_for_scoring,strong_reference,reason
o001,whisper,Spirips,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2026-07-13 21:17:21.000,2026-07-13 21:17:21.999,authoritative_chat_log,False,False,True,hardcoded from Pass655 authoritative chat.log rows; manual note timestamps ignored
o002,whisper,Spirips,S2C_A_0001_XXXXXXXXXXXXXXXX,27,2026-07-13 21:17:34.000,2026-07-13 21:17:34.999,authoritative_chat_log,False,False,True,hardcoded from Pass655 authoritative chat.log rows; manual note timestamps ignored
o003,whisper,Spirips,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2026-07-13 21:18:02.000,2026-07-13 21:18:02.999,authoritative_chat_log,False,False,True,hardcoded from Pass655 authoritative chat.log rows; manual note timestamps ignored
o004,whisper,Spirips,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,35,2026-07-13 21:18:20.000,2026-07-13 21:18:20.999,authoritative_chat_log,False,False,True,hardcoded from Pass655 authoritative chat.log rows; manual note timestamps ignored
o005,whisper,Spirips,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2026-07-13 21:19:17.000,2026-07-13 21:19:17.999,authoritative_chat_log,False,False,True,hardcoded from Pass655 authoritative chat.log rows; manual note timestamps ignored
o006,whisper,Spirips,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2026-07-13 21:19:30.000,2026-07-13 21:19:30.999,authoritative_chat_log,False,False,True,hardcoded from Pass655 authoritative chat.log rows; manual note timestamps ignored
o007,whisper,Spirips,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,2026-07-13 21:20:08.000,2026-07-13 21:20:08.999,authoritative_chat_log,False,False,True,hardcoded from Pass655 authoritative chat.log rows; manual note timestamps ignored
o008,whisper,Spirips,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,2026-07-13 21:20:18.000,2026-07-13 21:20:18.999,authoritative_chat_log,False,False,True,hardcoded from Pass655 authoritative chat.log rows; manual note timestamps ignored
o009,group,Spirips,S2C_A_0001_XXXXXXXXXXXXXXXXG,28,2026-07-13 21:20:52.000,2026-07-13 21:20:52.999,authoritative_chat_log,False,False,True,hardcoded from Pass655 authoritative chat.log rows; manual note timestamps ignored
o010,group,Spirips,S2C_A_0001_XXXXXXXXXXXXXXXXG,28,2026-07-13 21:21:07.000,2026-07-13 21:21:07.999,authoritative_chat_log,False,False,True,hardcoded from Pass655 authoritative chat.log rows; manual note timestamps ignored
o011,group,Spirips,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXXG,36,2026-07-13 21:21:36.000,2026-07-13 21:21:36.999,authoritative_chat_log,False,False,True,hardcoded from Pass655 authoritative chat.log rows; manual note timestamps ignored
o012,group,Spirips,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXXG,36,2026-07-13 21:22:48.000,2026-07-13 21:22:48.999,authoritative_chat_log,False,False,True,hardcoded from Pass655 authoritative chat.log rows; manual note timestamps ignored
o013,group,Spirips,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXG,44,2026-07-13 21:23:19.000,2026-07-13 21:23:19.999,authoritative_chat_log,False,False,True,hardcoded from Pass655 authoritative chat.log rows; manual note timestamps ignored
o014,group,Spirips,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXG,44,2026-07-13 21:23:26.000,2026-07-13 21:23:26.999,authoritative_chat_log,False,False,True,hardcoded from Pass655 authoritative chat.log rows; manual note timestamps ignored
o015,group,Spirips,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXG,52,2026-07-13 21:23:51.000,2026-07-13 21:23:51.999,authoritative_chat_log,False,False,True,hardcoded from Pass655 authoritative chat.log rows; manual note timestamps ignored
o016,group,Spirips,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXG,52,2026-07-13 21:23:58.000,2026-07-13 21:23:58.999,authoritative_chat_log,False,False,True,hardcoded from Pass655 authoritative chat.log rows; manual note timestamps ignored
o017,local,Seahlt,S2C_ORACLE_SAY_TEST_001,23,2026-07-13 21:24:30.000,2026-07-13 21:24:30.999,authoritative_chat_log,False,False,True,hardcoded from Pass655 authoritative chat.log rows; manual note timestamps ignored
