model_id,field_offset,field_width,field_class,rows_tested,repeat_stability,whisper_group_signal,message_length_signal,local_control_signal,negative_control_stability,score,confidence,reason
fm03410,8,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03411,8,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03414,8,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03415,8,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.512,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03409,8,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03412,8,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03413,8,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03416,8,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.508,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03610,15,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.505,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03611,15,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.505,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03614,15,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.505,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03615,15,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.505,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03218,2,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.505,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03219,2,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.505,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03222,2,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.505,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03223,2,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.505,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03612,15,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.501,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03616,15,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.501,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03217,2,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.5,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03221,2,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.5,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03220,2,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.5,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03224,2,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.5,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03609,15,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.498,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03613,15,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.498,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03154,0,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.496,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03155,0,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.496,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
fm03158,0,1,length_like,17,0.65,0.25,0.7,0.1,0.5,65.496,medium,"field model inferred from top framing family, authoritative message lengths, and metadata-only oracle windows"
