model_id,candidate_field,base_marker,supporting_whisper_oracles,supporting_group_oracles,repetition_supported,confidence,reason
fm03410,channel_or_message_type,0001,o001;o002,o009;o010,true,medium,repeated whisper/group windows diverge consistently at metadata level
fm03411,channel_or_message_type,0001,o001;o002,o009;o010,true,medium,repeated whisper/group windows diverge consistently at metadata level
fm03414,channel_or_message_type,0001,o001;o002,o009;o010,true,medium,repeated whisper/group windows diverge consistently at metadata level
fm03415,channel_or_message_type,0001,o001;o002,o009;o010,true,medium,repeated whisper/group windows diverge consistently at metadata level
fm03409,channel_or_message_type,0001,o001;o002,o009;o010,true,medium,repeated whisper/group windows diverge consistently at metadata level
fm03412,channel_or_message_type,0001,o001;o002,o009;o010,true,medium,repeated whisper/group windows diverge consistently at metadata level
fm03413,channel_or_message_type,0001,o001;o002,o009;o010,true,medium,repeated whisper/group windows diverge consistently at metadata level
fm03416,channel_or_message_type,0001,o001;o002,o009;o010,true,medium,repeated whisper/group windows diverge consistently at metadata level
fm03610,channel_or_message_type,0001,o001;o002,o009;o010,true,medium,repeated whisper/group windows diverge consistently at metadata level
fm03611,channel_or_message_type,0001,o001;o002,o009;o010,true,medium,repeated whisper/group windows diverge consistently at metadata level
fm03614,channel_or_message_type,0001,o001;o002,o009;o010,true,medium,repeated whisper/group windows diverge consistently at metadata level
fm03615,channel_or_message_type,0001,o001;o002,o009;o010,true,medium,repeated whisper/group windows diverge consistently at metadata level
fm03218,channel_or_message_type,0001,o001;o002,o009;o010,true,medium,repeated whisper/group windows diverge consistently at metadata level
fm03219,channel_or_message_type,0001,o001;o002,o009;o010,true,medium,repeated whisper/group windows diverge consistently at metadata level
fm03222,channel_or_message_type,0001,o001;o002,o009;o010,true,medium,repeated whisper/group windows diverge consistently at metadata level
fm03223,channel_or_message_type,0001,o001;o002,o009;o010,true,medium,repeated whisper/group windows diverge consistently at metadata level
fm03612,channel_or_message_type,0001,o001;o002,o009;o010,true,medium,repeated whisper/group windows diverge consistently at metadata level
fm03616,channel_or_message_type,0001,o001;o002,o009;o010,true,medium,repeated whisper/group windows diverge consistently at metadata level
fm03217,channel_or_message_type,0001,o001;o002,o009;o010,true,medium,repeated whisper/group windows diverge consistently at metadata level
fm03221,channel_or_message_type,0001,o001;o002,o009;o010,true,medium,repeated whisper/group windows diverge consistently at metadata level
