model_id,oracle_id,channel,window_model,candidate_frames,packet_count,total_bytes,boundary_confidence,reason
fm03410,o001,whisper,exact_second_or_pm1_5_fallback,435,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03410,o002,whisper,exact_second_or_pm1_5_fallback,460,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03410,o003,whisper,exact_second_or_pm1_5_fallback,498;500;502,3,162,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03410,o004,whisper,exact_second_or_pm1_5_fallback,527;529;531,3,137,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03410,o005,whisper,exact_second_or_pm1_5_fallback,619,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03410,o006,whisper,exact_second_or_pm1_5_fallback,637,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03410,o007,whisper,exact_second_or_pm1_5_fallback,698;700;702,3,169,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03410,o008,whisper,exact_second_or_pm1_5_fallback,716,1,133,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03410,o009,group,exact_second_or_pm1_5_fallback,750,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03410,o010,group,exact_second_or_pm1_5_fallback,762,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03410,o011,group,exact_second_or_pm1_5_fallback,774,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03410,o012,group,exact_second_or_pm1_5_fallback,810,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03410,o013,group,exact_second_or_pm1_5_fallback,834,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03410,o014,group,exact_second_or_pm1_5_fallback,838,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03410,o015,group,exact_second_or_pm1_5_fallback,846,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03410,o016,group,exact_second_or_pm1_5_fallback,850,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03410,o017,local,exact_second_or_pm1_5_fallback,872,1,63,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03411,o001,whisper,exact_second_or_pm1_5_fallback,435,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03411,o002,whisper,exact_second_or_pm1_5_fallback,460,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03411,o003,whisper,exact_second_or_pm1_5_fallback,498;500;502,3,162,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03411,o004,whisper,exact_second_or_pm1_5_fallback,527;529;531,3,137,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03411,o005,whisper,exact_second_or_pm1_5_fallback,619,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03411,o006,whisper,exact_second_or_pm1_5_fallback,637,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03411,o007,whisper,exact_second_or_pm1_5_fallback,698;700;702,3,169,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03411,o008,whisper,exact_second_or_pm1_5_fallback,716,1,133,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03411,o009,group,exact_second_or_pm1_5_fallback,750,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03411,o010,group,exact_second_or_pm1_5_fallback,762,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03411,o011,group,exact_second_or_pm1_5_fallback,774,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03411,o012,group,exact_second_or_pm1_5_fallback,810,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03411,o013,group,exact_second_or_pm1_5_fallback,834,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03411,o014,group,exact_second_or_pm1_5_fallback,838,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03411,o015,group,exact_second_or_pm1_5_fallback,846,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03411,o016,group,exact_second_or_pm1_5_fallback,850,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03411,o017,local,exact_second_or_pm1_5_fallback,872,1,63,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03414,o001,whisper,exact_second_or_pm1_5_fallback,435,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03414,o002,whisper,exact_second_or_pm1_5_fallback,460,1,85,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03414,o003,whisper,exact_second_or_pm1_5_fallback,498;500;502,3,162,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03414,o004,whisper,exact_second_or_pm1_5_fallback,527;529;531,3,137,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03414,o005,whisper,exact_second_or_pm1_5_fallback,619,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03414,o006,whisper,exact_second_or_pm1_5_fallback,637,1,117,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03414,o007,whisper,exact_second_or_pm1_5_fallback,698;700;702,3,169,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03414,o008,whisper,exact_second_or_pm1_5_fallback,716,1,133,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03414,o009,group,exact_second_or_pm1_5_fallback,750,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03414,o010,group,exact_second_or_pm1_5_fallback,762,1,87,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03414,o011,group,exact_second_or_pm1_5_fallback,774,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03414,o012,group,exact_second_or_pm1_5_fallback,810,1,103,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03414,o013,group,exact_second_or_pm1_5_fallback,834,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03414,o014,group,exact_second_or_pm1_5_fallback,838,1,119,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03414,o015,group,exact_second_or_pm1_5_fallback,846,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
fm03414,o016,group,exact_second_or_pm1_5_fallback,850,1,135,medium,top frame model mapped to authoritative oracle windows by packet/time boundary metadata
