parser_id,parser_path,frame_model_id,header_size,length_rule,generated,confidence,reason
cm001,C:\AionTools\aion-agent-bridge\tools\pass655_world_framing_marathon\generated_parsers\parser_cm001.py,fm03410,16,off8_w1_little,true,medium,complete runnable offline parser candidate; emits numeric metadata only
cm002,C:\AionTools\aion-agent-bridge\tools\pass655_world_framing_marathon\generated_parsers\parser_cm002.py,fm03411,16,off8_w1_little,true,medium,complete runnable offline parser candidate; emits numeric metadata only
cm003,C:\AionTools\aion-agent-bridge\tools\pass655_world_framing_marathon\generated_parsers\parser_cm003.py,fm03414,16,off8_w1_big,true,medium,complete runnable offline parser candidate; emits numeric metadata only
cm004,C:\AionTools\aion-agent-bridge\tools\pass655_world_framing_marathon\generated_parsers\parser_cm004.py,fm03415,16,off8_w1_big,true,medium,complete runnable offline parser candidate; emits numeric metadata only
cm005,C:\AionTools\aion-agent-bridge\tools\pass655_world_framing_marathon\generated_parsers\parser_cm005.py,fm03409,16,off8_w1_little,true,medium,complete runnable offline parser candidate; emits numeric metadata only
cm006,C:\AionTools\aion-agent-bridge\tools\pass655_world_framing_marathon\generated_parsers\parser_cm006.py,fm03412,16,off8_w1_little,true,medium,complete runnable offline parser candidate; emits numeric metadata only
cm007,C:\AionTools\aion-agent-bridge\tools\pass655_world_framing_marathon\generated_parsers\parser_cm007.py,fm03413,16,off8_w1_big,true,medium,complete runnable offline parser candidate; emits numeric metadata only
cm008,C:\AionTools\aion-agent-bridge\tools\pass655_world_framing_marathon\generated_parsers\parser_cm008.py,fm03416,16,off8_w1_big,true,medium,complete runnable offline parser candidate; emits numeric metadata only
cm009,C:\AionTools\aion-agent-bridge\tools\pass655_world_framing_marathon\generated_parsers\parser_cm009.py,fm03610,16,off15_w1_little,true,medium,complete runnable offline parser candidate; emits numeric metadata only
cm010,C:\AionTools\aion-agent-bridge\tools\pass655_world_framing_marathon\generated_parsers\parser_cm010.py,fm03611,16,off15_w1_little,true,medium,complete runnable offline parser candidate; emits numeric metadata only
cm011,C:\AionTools\aion-agent-bridge\tools\pass655_world_framing_marathon\generated_parsers\parser_cm011.py,fm03614,16,off15_w1_big,true,medium,complete runnable offline parser candidate; emits numeric metadata only
cm012,C:\AionTools\aion-agent-bridge\tools\pass655_world_framing_marathon\generated_parsers\parser_cm012.py,fm03615,16,off15_w1_big,true,medium,complete runnable offline parser candidate; emits numeric metadata only
cm013,C:\AionTools\aion-agent-bridge\tools\pass655_world_framing_marathon\generated_parsers\parser_cm013.py,fm03218,16,off2_w1_little,true,medium,complete runnable offline parser candidate; emits numeric metadata only
cm014,C:\AionTools\aion-agent-bridge\tools\pass655_world_framing_marathon\generated_parsers\parser_cm014.py,fm03219,16,off2_w1_little,true,medium,complete runnable offline parser candidate; emits numeric metadata only
cm015,C:\AionTools\aion-agent-bridge\tools\pass655_world_framing_marathon\generated_parsers\parser_cm015.py,fm03222,16,off2_w1_big,true,medium,complete runnable offline parser candidate; emits numeric metadata only
cm016,C:\AionTools\aion-agent-bridge\tools\pass655_world_framing_marathon\generated_parsers\parser_cm016.py,fm03223,16,off2_w1_big,true,medium,complete runnable offline parser candidate; emits numeric metadata only
cm017,C:\AionTools\aion-agent-bridge\tools\pass655_world_framing_marathon\generated_parsers\parser_cm017.py,fm03612,16,off15_w1_little,true,medium,complete runnable offline parser candidate; emits numeric metadata only
cm018,C:\AionTools\aion-agent-bridge\tools\pass655_world_framing_marathon\generated_parsers\parser_cm018.py,fm03616,16,off15_w1_big,true,medium,complete runnable offline parser candidate; emits numeric metadata only
cm019,C:\AionTools\aion-agent-bridge\tools\pass655_world_framing_marathon\generated_parsers\parser_cm019.py,fm03217,16,off2_w1_little,true,medium,complete runnable offline parser candidate; emits numeric metadata only
cm020,C:\AionTools\aion-agent-bridge\tools\pass655_world_framing_marathon\generated_parsers\parser_cm020.py,fm03221,16,off2_w1_big,true,medium,complete runnable offline parser candidate; emits numeric metadata only
