match_id,combined_model_id,oracle_id,channel,representation,frame_count,exact_message_match,exact_sender_match,exact_channel_match,repeat_validated,negative_control_conflicts,local_detail_path,confidence,reason
km00001,cm001,o001,whisper,none,5,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00002,cm001,o002,whisper,none,5,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00003,cm001,o003,whisper,none,5,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00004,cm001,o004,whisper,none,4,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00005,cm001,o005,whisper,none,4,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00006,cm001,o006,whisper,none,4,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00007,cm001,o007,whisper,none,4,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00008,cm001,o008,whisper,none,4,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00009,cm001,o009,group,none,1,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00010,cm001,o010,group,none,1,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00011,cm001,o011,group,none,1,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00012,cm001,o012,group,none,1,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00013,cm001,o013,group,none,1,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00014,cm001,o014,group,none,1,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00015,cm001,o015,group,none,1,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00016,cm001,o016,group,none,1,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00017,cm001,o017,local,none,1,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00018,cm002,o001,whisper,none,5,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00019,cm002,o002,whisper,none,5,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00020,cm002,o003,whisper,none,5,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00021,cm002,o004,whisper,none,4,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00022,cm002,o005,whisper,none,4,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00023,cm002,o006,whisper,none,4,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00024,cm002,o007,whisper,none,4,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00025,cm002,o008,whisper,none,4,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00026,cm002,o009,group,none,1,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
km00027,cm002,o010,group,none,1,false,false,false,false,34,,low,deterministic representation tests on structurally viable candidate windows; no bytes committed
