model_id,visible_length,oracle_count,candidate_length_field_offset,candidate_length_width,length_signal_score,confidence,reason
fm03410,27,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03410,28,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03410,35,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03410,36,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03410,43,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03410,44,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03410,51,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03410,52,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03411,27,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03411,28,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03411,35,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03411,36,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03411,43,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03411,44,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03411,51,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03411,52,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03414,27,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03414,28,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03414,35,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03414,36,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03414,43,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03414,44,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03414,51,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03414,52,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03415,27,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03415,28,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03415,35,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03415,36,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03415,43,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03415,44,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03415,51,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03415,52,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03409,27,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03409,28,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03409,35,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03409,36,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03409,43,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03409,44,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03409,51,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03409,52,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03412,27,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03412,28,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03412,35,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03412,36,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03412,43,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03412,44,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03412,51,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03412,52,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03413,27,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03413,28,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03413,35,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03413,36,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03413,43,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03413,44,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03413,51,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03413,52,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03416,27,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03416,28,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03416,35,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03416,36,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03416,43,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03416,44,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03416,51,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03416,52,2,8,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03610,27,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03610,28,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03610,35,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03610,36,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03610,43,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03610,44,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03610,51,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03610,52,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03611,27,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03611,28,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03611,35,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03611,36,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03611,43,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03611,44,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03611,51,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03611,52,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03614,27,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03614,28,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03614,35,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03614,36,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03614,43,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03614,44,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03614,51,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03614,52,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
fm03615,27,2,15,1,0.838,medium,visible length ladder compared to candidate length field family without publishing bytes
