oracle_id,channel,flow_role,server_port,direction,window_model,first_frame,last_frame,packet_count,total_bytes,stream_offset_start,stream_offset_end,confidence,reason
o001,whisper,world,7780,S2C,exact_second,435,435,1,85,143650,143735,high,authoritative oracle interval/window stream metadata
o001,whisper,world,7780,S2C,pm1_5,433,440,3,170,143580,143750,high,authoritative oracle interval/window stream metadata
o001,whisper,world,7780,S2C,pm3,429,440,5,206,143544,143750,high,authoritative oracle interval/window stream metadata
o001,whisper,world,7780,S2C,pm5,429,446,7,242,143544,143786,high,authoritative oracle interval/window stream metadata
o001,whisper,world,7780,S2C,pm10,413,448,13,1607,142249,143856,high,authoritative oracle interval/window stream metadata
o001,whisper,world,7780,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o001,whisper,world,7780,C2S,pm1_5,439,439,1,11,429,440,high,authoritative oracle interval/window stream metadata
o001,whisper,world,7780,C2S,pm3,439,439,1,11,429,440,high,authoritative oracle interval/window stream metadata
o001,whisper,world,7780,C2S,pm5,439,439,1,11,429,440,high,authoritative oracle interval/window stream metadata
o001,whisper,world,7780,C2S,pm10,439,439,1,11,429,440,high,authoritative oracle interval/window stream metadata
o001,whisper,side_control,10242,S2C,exact_second,437,437,1,89,664,753,high,authoritative oracle interval/window stream metadata
o001,whisper,side_control,10242,S2C,pm1_5,437,437,1,89,664,753,high,authoritative oracle interval/window stream metadata
o001,whisper,side_control,10242,S2C,pm3,437,437,1,89,664,753,high,authoritative oracle interval/window stream metadata
o001,whisper,side_control,10242,S2C,pm5,425,437,3,675,78,753,high,authoritative oracle interval/window stream metadata
o001,whisper,side_control,10242,S2C,pm10,425,450,4,816,78,894,high,authoritative oracle interval/window stream metadata
o001,whisper,side_control,10242,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o001,whisper,side_control,10242,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o001,whisper,side_control,10242,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o001,whisper,side_control,10242,C2S,pm5,442,442,1,22,770,792,high,authoritative oracle interval/window stream metadata
o001,whisper,side_control,10242,C2S,pm10,423,442,2,44,748,792,high,authoritative oracle interval/window stream metadata
o002,whisper,world,7780,S2C,exact_second,460,460,1,85,143962,144047,high,authoritative oracle interval/window stream metadata
o002,whisper,world,7780,S2C,pm1_5,460,460,1,85,143962,144047,high,authoritative oracle interval/window stream metadata
o002,whisper,world,7780,S2C,pm3,452,465,5,206,143856,144062,high,authoritative oracle interval/window stream metadata
o002,whisper,world,7780,S2C,pm5,452,471,8,312,143856,144168,high,authoritative oracle interval/window stream metadata
o002,whisper,world,7780,S2C,pm10,444,475,13,454,143750,144204,high,authoritative oracle interval/window stream metadata
o002,whisper,world,7780,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o002,whisper,world,7780,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o002,whisper,world,7780,C2S,pm3,464,464,1,11,440,451,high,authoritative oracle interval/window stream metadata
o002,whisper,world,7780,C2S,pm5,464,464,1,11,440,451,high,authoritative oracle interval/window stream metadata
o002,whisper,world,7780,C2S,pm10,464,464,1,11,440,451,high,authoritative oracle interval/window stream metadata
o002,whisper,side_control,10242,S2C,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o002,whisper,side_control,10242,S2C,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o002,whisper,side_control,10242,S2C,pm3,456,456,1,219,894,1113,high,authoritative oracle interval/window stream metadata
o002,whisper,side_control,10242,S2C,pm5,450,456,2,360,753,1113,high,authoritative oracle interval/window stream metadata
o002,whisper,side_control,10242,S2C,pm10,450,456,2,360,753,1113,high,authoritative oracle interval/window stream metadata
o002,whisper,side_control,10242,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o002,whisper,side_control,10242,C2S,pm1_5,462,462,1,22,792,814,high,authoritative oracle interval/window stream metadata
o002,whisper,side_control,10242,C2S,pm3,462,462,1,22,792,814,high,authoritative oracle interval/window stream metadata
o002,whisper,side_control,10242,C2S,pm5,462,462,1,22,792,814,high,authoritative oracle interval/window stream metadata
o002,whisper,side_control,10242,C2S,pm10,442,462,2,44,770,814,high,authoritative oracle interval/window stream metadata
o003,whisper,world,7780,S2C,exact_second,498,502,3,162,144501,144663,high,authoritative oracle interval/window stream metadata
o003,whisper,world,7780,S2C,pm1_5,498,506,5,449,144501,144950,high,authoritative oracle interval/window stream metadata
o003,whisper,world,7780,S2C,pm3,498,506,5,449,144501,144950,high,authoritative oracle interval/window stream metadata
o003,whisper,world,7780,S2C,pm5,498,511,6,464,144501,144965,high,authoritative oracle interval/window stream metadata
o003,whisper,world,7780,S2C,pm10,492,517,12,676,144395,145071,high,authoritative oracle interval/window stream metadata
o003,whisper,world,7780,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o003,whisper,world,7780,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o003,whisper,world,7780,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o003,whisper,world,7780,C2S,pm5,510,510,1,11,462,473,high,authoritative oracle interval/window stream metadata
