model_id,repeat_pairs_tested,repeat_pairs_consistent,unrelated_window_collision_rate,repeat_score,confidence,reason
fm03410,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03411,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03414,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03415,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03409,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03412,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03413,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03416,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03610,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03611,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03614,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03615,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03218,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03219,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03222,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03223,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03612,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03616,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03217,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03221,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03220,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03224,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03609,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03613,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03154,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03155,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03158,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03159,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03594,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03595,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03598,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03599,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03442,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03443,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03446,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03447,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03153,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03157,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03506,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03507,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03510,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03511,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03156,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03160,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03593,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03596,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03597,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03600,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03538,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
fm03539,8,5,0.375,0.625,medium,candidate ranking by repeated-message consistency versus collision proxy
