model_id,pair_name,oracle_a,oracle_b,frame_count_a,frame_count_b,total_bytes_a,total_bytes_b,length_sequence_a,length_sequence_b,repeat_consistent,unrelated_window_collision_rate,confidence,reason
fm03410,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03410,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03410,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03410,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03410,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03410,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03410,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03410,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03411,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03411,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03411,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03411,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03411,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03411,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03411,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03411,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03414,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03414,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03414,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03414,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03414,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03414,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03414,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03414,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03415,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03415,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03415,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03415,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03415,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03415,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03415,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03415,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03409,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03409,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03409,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03409,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03409,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03409,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03409,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03409,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03412,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03412,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03412,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03412,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03412,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03412,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03412,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03412,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03413,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
