model_id,base_marker,whisper_oracles,group_oracles,message_type_signal,channel_field_signal,one_char_body_length_signal,sender_similarity_signal,packet_sequence_difference,cross_flow_difference,confidence,reason
fm03410,0001,o001;o002,o009;o010,true,true,false,true,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03410,0002,o003;o004,o011;o012,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03410,0003,o005;o006,o013;o014,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03410,0004,o007;o008,o015;o016,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03411,0001,o001;o002,o009;o010,true,true,false,true,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03411,0002,o003;o004,o011;o012,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03411,0003,o005;o006,o013;o014,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03411,0004,o007;o008,o015;o016,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03414,0001,o001;o002,o009;o010,true,true,false,true,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03414,0002,o003;o004,o011;o012,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03414,0003,o005;o006,o013;o014,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03414,0004,o007;o008,o015;o016,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03415,0001,o001;o002,o009;o010,true,true,false,true,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03415,0002,o003;o004,o011;o012,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03415,0003,o005;o006,o013;o014,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03415,0004,o007;o008,o015;o016,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03409,0001,o001;o002,o009;o010,true,true,false,true,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03409,0002,o003;o004,o011;o012,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03409,0003,o005;o006,o013;o014,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03409,0004,o007;o008,o015;o016,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03412,0001,o001;o002,o009;o010,true,true,false,true,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03412,0002,o003;o004,o011;o012,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03412,0003,o005;o006,o013;o014,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03412,0004,o007;o008,o015;o016,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03413,0001,o001;o002,o009;o010,true,true,false,true,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03413,0002,o003;o004,o011;o012,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03413,0003,o005;o006,o013;o014,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03413,0004,o007;o008,o015;o016,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03416,0001,o001;o002,o009;o010,true,true,false,true,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03416,0002,o003;o004,o011;o012,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03416,0003,o005;o006,o013;o014,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
fm03416,0004,o007;o008,o015;o016,true,false,false,false,true,not_primary,medium,whisper/group base-ladder comparison over repeated oracle windows
