body_model_id,frame_model_id,body_start,trailer_len,frames_sampled,mean_entropy,repeat_stability,channel_pair_signal,length_ladder_consistency,score,survives,confidence,reason
bm0001,fm03410,14,0,200,5.704,unknown_pending_transform,metadata_only,metadata_only,18.26,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0002,fm03410,14,1,200,5.66,unknown_pending_transform,metadata_only,metadata_only,18.48,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0003,fm03410,14,2,198,5.608,unknown_pending_transform,metadata_only,metadata_only,18.672,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0004,fm03410,14,4,194,5.459,unknown_pending_transform,metadata_only,metadata_only,19.281,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0005,fm03410,14,8,189,5.656,unknown_pending_transform,metadata_only,metadata_only,18.127,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0006,fm03410,15,0,200,5.66,unknown_pending_transform,metadata_only,metadata_only,18.48,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0007,fm03410,15,1,198,5.61,unknown_pending_transform,metadata_only,metadata_only,18.662,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0008,fm03410,15,2,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0009,fm03410,15,4,190,5.765,unknown_pending_transform,metadata_only,metadata_only,17.616,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0010,fm03410,15,8,188,5.604,unknown_pending_transform,metadata_only,metadata_only,18.353,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0011,fm03410,16,0,198,5.609,unknown_pending_transform,metadata_only,metadata_only,18.667,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0012,fm03410,16,1,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0013,fm03410,16,2,194,5.457,unknown_pending_transform,metadata_only,metadata_only,19.291,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0014,fm03410,16,4,190,5.729,unknown_pending_transform,metadata_only,metadata_only,17.796,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0015,fm03410,16,8,184,5.696,unknown_pending_transform,metadata_only,metadata_only,17.757,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0016,fm03410,17,0,197,5.547,unknown_pending_transform,metadata_only,metadata_only,18.943,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0017,fm03410,17,1,194,5.459,unknown_pending_transform,metadata_only,metadata_only,19.281,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0018,fm03410,17,2,190,5.764,unknown_pending_transform,metadata_only,metadata_only,17.621,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0019,fm03410,17,4,190,5.692,unknown_pending_transform,metadata_only,metadata_only,17.981,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0020,fm03410,17,8,184,5.66,unknown_pending_transform,metadata_only,metadata_only,17.937,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0021,fm03410,18,0,194,5.458,unknown_pending_transform,metadata_only,metadata_only,19.286,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
bm0022,fm03410,18,1,190,5.765,unknown_pending_transform,metadata_only,metadata_only,17.616,true,medium,bounded body boundary grid around header/length candidates; score is evidence only
