model_id,header_size,length_field_offset,length_width,endianness,frames,coverage,invalid_lengths,resync_distance,arbitrary_target_size_used,survives,score,confidence,reason
fm03410,16,8,1,little,1180,1.0,3,3,false,true,91.77,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03411,16,8,1,little,1180,1.0,3,3,false,true,91.77,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03414,16,8,1,big,1180,1.0,3,3,false,true,91.77,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03415,16,8,1,big,1180,1.0,3,3,false,true,91.77,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03409,16,8,1,little,1180,1.0,3,3,false,true,91.77,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03412,16,8,1,little,1180,1.0,3,3,false,true,91.77,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03413,16,8,1,big,1180,1.0,3,3,false,true,91.77,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03416,16,8,1,big,1180,1.0,3,3,false,true,91.77,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03594,16,14,1,little,1180,1.0,3,3,false,true,91.77,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03595,16,14,1,little,1180,1.0,3,3,false,true,91.77,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03598,16,14,1,big,1180,1.0,3,3,false,true,91.77,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03599,16,14,1,big,1180,1.0,3,3,false,true,91.77,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03593,16,14,1,little,1180,1.0,3,3,false,true,91.77,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03596,16,14,1,little,1180,1.0,3,3,false,true,91.77,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03597,16,14,1,big,1180,1.0,3,3,false,true,91.77,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03600,16,14,1,big,1180,1.0,3,3,false,true,91.77,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03442,16,9,1,little,1177,1.0,3,3,false,true,91.74,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03443,16,9,1,little,1177,1.0,3,3,false,true,91.74,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03446,16,9,1,big,1177,1.0,3,3,false,true,91.74,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03447,16,9,1,big,1177,1.0,3,3,false,true,91.74,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03506,16,11,1,little,1176,1.0,3,3,false,true,91.73,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03507,16,11,1,little,1176,1.0,3,3,false,true,91.73,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03510,16,11,1,big,1176,1.0,3,3,false,true,91.73,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03511,16,11,1,big,1176,1.0,3,3,false,true,91.73,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03538,16,12,1,little,1175,1.0,3,3,false,true,91.72,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03539,16,12,1,little,1175,1.0,3,3,false,true,91.72,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03610,16,15,1,little,1174,0.9999,3,3,false,true,91.704,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03611,16,15,1,little,1174,0.9999,3,3,false,true,91.704,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03614,16,15,1,big,1174,0.9999,3,3,false,true,91.704,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03615,16,15,1,big,1174,0.9999,3,3,false,true,91.704,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03218,16,2,1,little,1174,0.9999,3,3,false,true,91.704,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03219,16,2,1,little,1174,0.9999,3,3,false,true,91.704,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03222,16,2,1,big,1174,0.9999,3,3,false,true,91.704,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03223,16,2,1,big,1174,0.9999,3,3,false,true,91.704,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03612,16,15,1,little,1174,0.9999,3,3,false,true,91.704,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03616,16,15,1,big,1174,0.9999,3,3,false,true,91.704,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03217,16,2,1,little,1174,0.9999,3,3,false,true,91.704,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03221,16,2,1,big,1174,0.9999,3,3,false,true,91.704,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03220,16,2,1,little,1174,0.9999,3,3,false,true,91.704,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03224,16,2,1,big,1174,0.9999,3,3,false,true,91.704,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03609,16,15,1,little,1174,0.9999,3,3,false,true,91.704,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03613,16,15,1,big,1174,0.9999,3,3,false,true,91.704,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03154,16,0,1,little,1172,0.9999,3,3,false,true,91.684,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03155,16,0,1,little,1172,0.9999,3,3,false,true,91.684,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03158,16,0,1,big,1172,0.9999,3,3,false,true,91.684,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03159,16,0,1,big,1172,0.9999,3,3,false,true,91.684,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03153,16,0,1,little,1172,0.9999,3,3,false,true,91.684,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03157,16,0,1,big,1172,0.9999,3,3,false,true,91.684,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03156,16,0,1,little,1172,0.9999,3,3,false,true,91.684,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
fm03160,16,0,1,big,1172,0.9999,3,3,false,true,91.684,medium,deterministic first-plausible length arithmetic; no nearest-target heuristic
