model_id,frame_index,stream_offset_start,stream_offset_end,header_size,frame_len,confidence,reason
fm03410,0,0,59,16,59,medium,frame tiling diagnostic metadata only
fm03410,1,59,302,16,243,medium,frame tiling diagnostic metadata only
fm03410,2,302,552,16,250,medium,frame tiling diagnostic metadata only
fm03410,3,552,765,16,213,medium,frame tiling diagnostic metadata only
fm03410,4,765,938,16,173,medium,frame tiling diagnostic metadata only
fm03410,5,938,970,16,32,medium,frame tiling diagnostic metadata only
fm03410,6,970,1055,16,85,medium,frame tiling diagnostic metadata only
fm03410,7,1055,1086,16,31,medium,frame tiling diagnostic metadata only
fm03410,8,1086,1296,16,210,medium,frame tiling diagnostic metadata only
fm03410,9,1296,1506,16,210,medium,frame tiling diagnostic metadata only
fm03410,10,1506,1610,16,104,medium,frame tiling diagnostic metadata only
fm03410,11,1610,1656,16,46,medium,frame tiling diagnostic metadata only
fm03410,12,1656,1871,16,215,medium,frame tiling diagnostic metadata only
fm03410,13,1871,1939,16,68,medium,frame tiling diagnostic metadata only
fm03410,14,1939,2190,16,251,medium,frame tiling diagnostic metadata only
fm03410,15,2190,2349,16,159,medium,frame tiling diagnostic metadata only
fm03410,16,2349,2368,16,19,medium,frame tiling diagnostic metadata only
fm03410,17,2368,2523,16,155,medium,frame tiling diagnostic metadata only
fm03410,18,2523,2747,16,224,medium,frame tiling diagnostic metadata only
fm03410,19,2747,2805,16,58,medium,frame tiling diagnostic metadata only
fm03410,20,2805,3006,16,201,medium,frame tiling diagnostic metadata only
fm03410,21,3006,3058,16,52,medium,frame tiling diagnostic metadata only
fm03410,22,3058,3217,16,159,medium,frame tiling diagnostic metadata only
fm03410,23,3217,3388,16,171,medium,frame tiling diagnostic metadata only
fm03410,24,3388,3442,16,54,medium,frame tiling diagnostic metadata only
fm03411,0,0,59,16,59,medium,frame tiling diagnostic metadata only
fm03411,1,59,302,16,243,medium,frame tiling diagnostic metadata only
fm03411,2,302,552,16,250,medium,frame tiling diagnostic metadata only
fm03411,3,552,765,16,213,medium,frame tiling diagnostic metadata only
fm03411,4,765,938,16,173,medium,frame tiling diagnostic metadata only
fm03411,5,938,970,16,32,medium,frame tiling diagnostic metadata only
fm03411,6,970,1055,16,85,medium,frame tiling diagnostic metadata only
fm03411,7,1055,1086,16,31,medium,frame tiling diagnostic metadata only
fm03411,8,1086,1296,16,210,medium,frame tiling diagnostic metadata only
fm03411,9,1296,1506,16,210,medium,frame tiling diagnostic metadata only
fm03411,10,1506,1610,16,104,medium,frame tiling diagnostic metadata only
fm03411,11,1610,1656,16,46,medium,frame tiling diagnostic metadata only
fm03411,12,1656,1871,16,215,medium,frame tiling diagnostic metadata only
fm03411,13,1871,1939,16,68,medium,frame tiling diagnostic metadata only
fm03411,14,1939,2190,16,251,medium,frame tiling diagnostic metadata only
fm03411,15,2190,2349,16,159,medium,frame tiling diagnostic metadata only
fm03411,16,2349,2368,16,19,medium,frame tiling diagnostic metadata only
fm03411,17,2368,2523,16,155,medium,frame tiling diagnostic metadata only
fm03411,18,2523,2747,16,224,medium,frame tiling diagnostic metadata only
fm03411,19,2747,2805,16,58,medium,frame tiling diagnostic metadata only
fm03411,20,2805,3006,16,201,medium,frame tiling diagnostic metadata only
fm03411,21,3006,3058,16,52,medium,frame tiling diagnostic metadata only
fm03411,22,3058,3217,16,159,medium,frame tiling diagnostic metadata only
fm03411,23,3217,3388,16,171,medium,frame tiling diagnostic metadata only
fm03411,24,3388,3442,16,54,medium,frame tiling diagnostic metadata only
fm03414,0,0,59,16,59,medium,frame tiling diagnostic metadata only
fm03414,1,59,302,16,243,medium,frame tiling diagnostic metadata only
fm03414,2,302,552,16,250,medium,frame tiling diagnostic metadata only
fm03414,3,552,765,16,213,medium,frame tiling diagnostic metadata only
fm03414,4,765,938,16,173,medium,frame tiling diagnostic metadata only
fm03414,5,938,970,16,32,medium,frame tiling diagnostic metadata only
fm03414,6,970,1055,16,85,medium,frame tiling diagnostic metadata only
fm03414,7,1055,1086,16,31,medium,frame tiling diagnostic metadata only
fm03414,8,1086,1296,16,210,medium,frame tiling diagnostic metadata only
fm03414,9,1296,1506,16,210,medium,frame tiling diagnostic metadata only
fm03414,10,1506,1610,16,104,medium,frame tiling diagnostic metadata only
fm03414,11,1610,1656,16,46,medium,frame tiling diagnostic metadata only
fm03414,12,1656,1871,16,215,medium,frame tiling diagnostic metadata only
