flow_role,server_port,direction,frame,time,seq_start,seq_end,stream_offset_start,stream_offset_end,tcp_len,confidence,reason
world,7780,S2C,99,2026-07-13 21:16:57.078,851180873,851180884,0,11,11,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,104,2026-07-13 21:16:57.144,851180884,851180976,11,103,92,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,108,2026-07-13 21:16:57.165,851180976,851180985,103,112,9,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,110,2026-07-13 21:16:57.188,851180985,851181000,112,127,15,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,113,2026-07-13 21:16:57.217,851181000,851182460,127,1587,1460,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,114,2026-07-13 21:16:57.217,851182460,851182582,1587,1709,122,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,119,2026-07-13 21:16:57.289,851182582,851182618,1709,1745,36,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,121,2026-07-13 21:16:57.356,851182618,851183890,1745,3017,1272,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,124,2026-07-13 21:16:57.835,851183890,851183899,3017,3026,9,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,127,2026-07-13 21:17:00.785,851183899,851183910,3026,3037,11,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,130,2026-07-13 21:17:00.845,851183910,851183941,3037,3068,31,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,132,2026-07-13 21:17:00.867,851183941,851185401,3068,4528,1460,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,134,2026-07-13 21:17:00.867,851185401,851186646,4528,5773,1245,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,136,2026-07-13 21:17:00.893,851186646,851188106,5773,7233,1460,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,138,2026-07-13 21:17:00.893,851188106,851189566,7233,8693,1460,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,140,2026-07-13 21:17:00.893,851189566,851191026,8693,10153,1460,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,142,2026-07-13 21:17:00.893,851191026,851192486,10153,11613,1460,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,143,2026-07-13 21:17:00.893,851192486,851192573,11613,11700,87,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,145,2026-07-13 21:17:00.914,851192573,851194033,11700,13160,1460,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,147,2026-07-13 21:17:00.914,851194033,851195493,13160,14620,1460,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,149,2026-07-13 21:17:00.914,851195493,851196953,14620,16080,1460,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,151,2026-07-13 21:17:00.914,851196953,851198413,16080,17540,1460,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,153,2026-07-13 21:17:00.914,851198413,851199873,17540,19000,1460,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,155,2026-07-13 21:17:00.915,851199873,851200625,19000,19752,752,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,158,2026-07-13 21:17:00.935,851200625,851202085,19752,21212,1460,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,160,2026-07-13 21:17:00.935,851202085,851203545,21212,22672,1460,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,162,2026-07-13 21:17:00.935,851203545,851205005,22672,24132,1460,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,163,2026-07-13 21:17:00.935,851205005,851205774,24132,24901,769,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,165,2026-07-13 21:17:00.959,851205774,851207234,24901,26361,1460,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,167,2026-07-13 21:17:00.959,851207234,851208694,26361,27821,1460,high,sequence-correct frame/time to stream-offset mapping
world,7780,S2C,169,2026-07-13 21:17:00.959,851208694,851210154,27821,29281,1460,high,sequence-correct frame/time to stream-offset mapping
