transform_model_id,body_model_id,oracle_id,channel,transforms_tested,exact_message_hits,best_transform,derived_on_training_occurrence,raw_outputs_local_only,confidence,reason
tm00001,bm0001,o001,whisper,2462,294,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00002,bm0001,o002,whisper,2462,294,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00003,bm0001,o003,whisper,2462,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00004,bm0001,o004,whisper,2462,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00005,bm0001,o005,whisper,2462,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00006,bm0001,o006,whisper,2462,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00007,bm0001,o007,whisper,2462,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00008,bm0001,o008,whisper,2462,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00009,bm0001,o009,group,2462,294,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00010,bm0001,o010,group,2462,294,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00011,bm0001,o011,group,2462,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00012,bm0001,o012,group,2462,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00013,bm0001,o013,group,2462,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00014,bm0001,o014,group,2462,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00015,bm0001,o015,group,2462,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00016,bm0001,o016,group,2462,131,xor_derived_k64;xor_derived_k64;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00017,bm0001,o017,local,2462,294,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
tm00018,bm0002,o001,whisper,2452,291,xor_derived_k32;xor_derived_k32;xor_derived_k64,true,true,high,bounded transform grid over extracted candidate bodies; raw bodies/transforms not committed
