equation_id,header_size,length_field_offset,length_width,endianness,unit_multiplier,length_meaning,fixed_adjustment,start_offset,resync_rule,resync_step
eq00001,1,0,1,little,1,total,-4,0,step1_bounded,1
eq00002,1,0,1,little,1,total,-3,0,step1_bounded,1
eq00003,1,0,1,little,1,total,-2,0,step1_bounded,1
eq00004,1,0,1,little,1,total,-1,0,step1_bounded,1
eq00005,1,0,1,little,1,total,0,0,step1_bounded,1
eq00006,1,0,1,little,1,total,1,0,step1_bounded,1
eq00007,1,0,1,little,1,total,2,0,step1_bounded,1
eq00008,1,0,1,little,1,total,3,0,step1_bounded,1
eq00009,1,0,1,little,1,total,4,0,step1_bounded,1
eq00010,1,0,1,little,1,body,-4,0,step1_bounded,1
eq00011,1,0,1,little,1,body,-3,0,step1_bounded,1
eq00012,1,0,1,little,1,body,-2,0,step1_bounded,1
eq00013,1,0,1,little,1,body,-1,0,step1_bounded,1
eq00014,1,0,1,little,1,body,0,0,step1_bounded,1
eq00015,1,0,1,little,1,body,1,0,step1_bounded,1
eq00016,1,0,1,little,1,body,2,0,step1_bounded,1
eq00017,1,0,1,little,1,body,3,0,step1_bounded,1
eq00018,1,0,1,little,1,body,4,0,step1_bounded,1
eq00019,1,0,1,little,2,total,-4,0,step1_bounded,1
eq00020,1,0,1,little,2,total,-3,0,step1_bounded,1
eq00021,1,0,1,little,2,total,-2,0,step1_bounded,1
eq00022,1,0,1,little,2,total,-1,0,step1_bounded,1
eq00023,1,0,1,little,2,total,0,0,step1_bounded,1
eq00024,1,0,1,little,2,total,1,0,step1_bounded,1
eq00025,1,0,1,little,2,total,2,0,step1_bounded,1
eq00026,1,0,1,little,2,total,3,0,step1_bounded,1
eq00027,1,0,1,little,2,total,4,0,step1_bounded,1
eq00028,1,0,1,little,2,body,-4,0,step1_bounded,1
eq00029,1,0,1,little,2,body,-3,0,step1_bounded,1
eq00030,1,0,1,little,2,body,-2,0,step1_bounded,1
eq00031,1,0,1,little,2,body,-1,0,step1_bounded,1
eq00032,1,0,1,little,2,body,0,0,step1_bounded,1
eq00033,1,0,1,little,2,body,1,0,step1_bounded,1
eq00034,1,0,1,little,2,body,2,0,step1_bounded,1
eq00035,1,0,1,little,2,body,3,0,step1_bounded,1
eq00036,1,0,1,little,2,body,4,0,step1_bounded,1
eq00037,1,0,1,big,1,total,-4,0,step1_bounded,1
eq00038,1,0,1,big,1,total,-3,0,step1_bounded,1
eq00039,1,0,1,big,1,total,-2,0,step1_bounded,1
eq00040,1,0,1,big,1,total,-1,0,step1_bounded,1
eq00041,1,0,1,big,1,total,0,0,step1_bounded,1
eq00042,1,0,1,big,1,total,1,0,step1_bounded,1
eq00043,1,0,1,big,1,total,2,0,step1_bounded,1
eq00044,1,0,1,big,1,total,3,0,step1_bounded,1
eq00045,1,0,1,big,1,total,4,0,step1_bounded,1
eq00046,1,0,1,big,1,body,-4,0,step1_bounded,1
eq00047,1,0,1,big,1,body,-3,0,step1_bounded,1
eq00048,1,0,1,big,1,body,-2,0,step1_bounded,1
eq00049,1,0,1,big,1,body,-1,0,step1_bounded,1
eq00050,1,0,1,big,1,body,0,0,step1_bounded,1
eq00051,1,0,1,big,1,body,1,0,step1_bounded,1
eq00052,1,0,1,big,1,body,2,0,step1_bounded,1
eq00053,1,0,1,big,1,body,3,0,step1_bounded,1
eq00054,1,0,1,big,1,body,4,0,step1_bounded,1
eq00055,1,0,1,big,2,total,-4,0,step1_bounded,1
eq00056,1,0,1,big,2,total,-3,0,step1_bounded,1
eq00057,1,0,1,big,2,total,-2,0,step1_bounded,1
eq00058,1,0,1,big,2,total,-1,0,step1_bounded,1
eq00059,1,0,1,big,2,total,0,0,step1_bounded,1
eq00060,1,0,1,big,2,total,1,0,step1_bounded,1
eq00061,1,0,1,big,2,total,2,0,step1_bounded,1
eq00062,1,0,1,big,2,total,3,0,step1_bounded,1
eq00063,1,0,1,big,2,total,4,0,step1_bounded,1
eq00064,1,0,1,big,2,body,-4,0,step1_bounded,1
eq00065,1,0,1,big,2,body,-3,0,step1_bounded,1
eq00066,1,0,1,big,2,body,-2,0,step1_bounded,1
eq00067,1,0,1,big,2,body,-1,0,step1_bounded,1
eq00068,1,0,1,big,2,body,0,0,step1_bounded,1
eq00069,1,0,1,big,2,body,1,0,step1_bounded,1
eq00070,1,0,1,big,2,body,2,0,step1_bounded,1
eq00071,1,0,1,big,2,body,3,0,step1_bounded,1
eq00072,1,0,1,big,2,body,4,0,step1_bounded,1
eq00073,2,0,1,little,1,total,-4,0,step1_bounded,1
eq00074,2,0,1,little,1,total,-3,0,step1_bounded,1
eq00075,2,0,1,little,1,total,-2,0,step1_bounded,1
eq00076,2,0,1,little,1,total,-1,0,step1_bounded,1
eq00077,2,0,1,little,1,total,0,0,step1_bounded,1
eq00078,2,0,1,little,1,total,1,0,step1_bounded,1
eq00079,2,0,1,little,1,total,2,0,step1_bounded,1
eq00080,2,0,1,little,1,total,3,0,step1_bounded,1
eq00081,2,0,1,little,1,total,4,0,step1_bounded,1
eq00082,2,0,1,little,1,body,-4,0,step1_bounded,1
eq00083,2,0,1,little,1,body,-3,0,step1_bounded,1
