equation_id,frames,coverage,invalid_lengths,resync_distance,tail,score,survives_train,confidence,reason
eq00682,289,1.0,0,0,2,100.0,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00718,289,1.0,0,0,2,100.0,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01257,289,1.0,0,0,2,100.0,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01293,289,1.0,0,0,2,100.0,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02048,289,1.0,0,0,2,100.0,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02084,289,1.0,0,0,2,100.0,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02408,285,0.9999,0,0,4,99.994,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02444,285,0.9999,0,0,4,99.994,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02464,560,0.9999,2,2,6,99.89,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02500,560,0.9999,2,2,6,99.89,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00107,283,1.0,3,3,1,99.844,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00143,283,1.0,3,3,1,99.844,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00322,283,1.0,3,3,1,99.844,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00358,283,1.0,3,3,1,99.844,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00753,283,1.0,3,3,1,99.844,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00789,283,1.0,3,3,1,99.844,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01403,293,1.0,3,3,1,99.844,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01439,293,1.0,3,3,1,99.844,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01472,283,1.0,3,3,1,99.844,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01508,283,1.0,3,3,1,99.844,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02266,293,1.0,3,3,1,99.844,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02302,293,1.0,3,3,1,99.844,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01457,560,0.9999,3,3,6,99.838,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01493,560,0.9999,3,3,6,99.838,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01753,299,0.9999,3,3,5,99.838,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01757,299,0.9999,3,3,5,99.838,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01789,299,0.9999,3,3,5,99.838,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01793,299,0.9999,3,3,5,99.838,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
