equation_id,holdout_score,null_max_score,null_mean_score,separation,passes_null,confidence,reason
eq00682,98.902,99.532,98.091,-0.63,false,low,circular-shift null controls; no transformed bytes committed
eq00718,98.902,99.532,98.091,-0.63,false,low,circular-shift null controls; no transformed bytes committed
eq01257,98.954,99.532,98.125,-0.578,false,low,circular-shift null controls; no transformed bytes committed
eq01293,98.954,99.532,98.125,-0.578,false,low,circular-shift null controls; no transformed bytes committed
eq02048,99.006,99.532,98.16,-0.526,false,low,circular-shift null controls; no transformed bytes committed
eq02084,99.006,99.532,98.16,-0.526,false,low,circular-shift null controls; no transformed bytes committed
eq02408,98.838,99.896,99.669,-1.058,false,low,circular-shift null controls; no transformed bytes committed
eq02444,98.838,99.896,99.669,-1.058,false,low,circular-shift null controls; no transformed bytes committed
eq02464,99.89,99.63,99.171,0.26,false,low,circular-shift null controls; no transformed bytes committed
eq02500,99.89,99.63,99.171,0.26,false,low,circular-shift null controls; no transformed bytes committed
eq00107,98.89,99.792,98.214,-0.902,false,low,circular-shift null controls; no transformed bytes committed
eq00143,98.89,99.792,98.214,-0.902,false,low,circular-shift null controls; no transformed bytes committed
eq00322,98.942,99.792,98.249,-0.85,false,low,circular-shift null controls; no transformed bytes committed
eq00358,98.942,99.792,98.249,-0.85,false,low,circular-shift null controls; no transformed bytes committed
eq00753,98.994,99.792,98.283,-0.798,false,low,circular-shift null controls; no transformed bytes committed
eq00789,98.994,99.792,98.283,-0.798,false,low,circular-shift null controls; no transformed bytes committed
eq01403,98.33,99.162,98.351,-0.832,false,low,circular-shift null controls; no transformed bytes committed
eq01439,98.33,99.162,98.351,-0.832,false,low,circular-shift null controls; no transformed bytes committed
eq01472,99.046,99.792,98.318,-0.746,false,low,circular-shift null controls; no transformed bytes committed
eq01508,99.046,99.792,98.318,-0.746,false,low,circular-shift null controls; no transformed bytes committed
eq02266,98.382,99.214,98.403,-0.832,false,low,circular-shift null controls; no transformed bytes committed
eq02302,98.382,99.214,98.403,-0.832,false,low,circular-shift null controls; no transformed bytes committed
eq01457,99.838,99.578,99.119,0.26,false,low,circular-shift null controls; no transformed bytes committed
eq01493,99.838,99.578,99.119,0.26,false,low,circular-shift null controls; no transformed bytes committed
eq01753,99.052,99.22,99.041,-0.168,false,low,circular-shift null controls; no transformed bytes committed
eq01757,99.052,99.22,99.041,-0.168,false,low,circular-shift null controls; no transformed bytes committed
eq01789,99.052,99.22,99.041,-0.168,false,low,circular-shift null controls; no transformed bytes committed
eq01793,99.052,99.22,99.041,-0.168,false,low,circular-shift null controls; no transformed bytes committed
eq02041,99.052,99.064,98.742,-0.012,false,low,circular-shift null controls; no transformed bytes committed
eq02043,98.844,99.532,98.715,-0.688,false,low,circular-shift null controls; no transformed bytes committed
eq02045,99.052,99.064,98.742,-0.012,false,low,circular-shift null controls; no transformed bytes committed
eq02047,98.844,99.532,98.715,-0.688,false,low,circular-shift null controls; no transformed bytes committed
eq02077,99.052,99.064,98.742,-0.012,false,low,circular-shift null controls; no transformed bytes committed
eq02079,98.844,99.532,98.715,-0.688,false,low,circular-shift null controls; no transformed bytes committed
eq02081,99.052,99.064,98.742,-0.012,false,low,circular-shift null controls; no transformed bytes committed
eq02083,98.844,99.532,98.715,-0.688,false,low,circular-shift null controls; no transformed bytes committed
eq02483,98.312,99.682,99.295,-1.37,false,low,circular-shift null controls; no transformed bytes committed
eq00036,98.838,99.74,98.162,-0.902,false,low,circular-shift null controls; no transformed bytes committed
eq00072,98.838,99.74,98.162,-0.902,false,low,circular-shift null controls; no transformed bytes committed
eq00224,99.104,99.896,99.158,-0.792,false,low,circular-shift null controls; no transformed bytes committed
eq00231,99.104,99.896,99.158,-0.792,false,low,circular-shift null controls; no transformed bytes committed
eq00260,99.104,99.896,99.158,-0.792,false,low,circular-shift null controls; no transformed bytes committed
eq00267,99.104,99.896,99.158,-0.792,false,low,circular-shift null controls; no transformed bytes committed
eq00310,98.312,100.0,99.684,-1.688,false,low,circular-shift null controls; no transformed bytes committed
eq00316,98.312,100.0,99.684,-1.688,false,low,circular-shift null controls; no transformed bytes committed
eq00346,98.312,100.0,99.684,-1.688,false,low,circular-shift null controls; no transformed bytes committed
eq00352,98.312,100.0,99.684,-1.688,false,low,circular-shift null controls; no transformed bytes committed
eq00512,99.156,99.948,99.21,-0.792,false,low,circular-shift null controls; no transformed bytes committed
eq00518,99.156,99.948,99.21,-0.792,false,low,circular-shift null controls; no transformed bytes committed
eq00548,99.156,99.948,99.21,-0.792,false,low,circular-shift null controls; no transformed bytes committed
