window_id,candidate_id,outside_positive_seconds,decoder_output_collision,executed,reason
N01,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N02,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N03,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N04,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N05,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N06,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N07,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N08,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N09,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N10,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N11,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N12,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N13,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N14,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N15,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N16,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N17,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N18,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N19,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N20,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N21,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N22,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N23,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N24,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N25,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N26,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N27,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N28,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N29,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N30,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N31,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N32,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N33,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
N34,no_surviving_candidate,true,false,false,No decoder candidate; reserved from current capture metadata.
