source_function,target_function,edge_type,source_export_present,target_export_present,evidence_class
11B45846,context_or_memory_write,store_summary,True,unknown,stores=4 loads=0 calls=0
11B50330,context_or_memory_write,store_summary,True,unknown,stores=3 loads=0 calls=0
11B559CD,context_or_memory_write,store_summary,True,unknown,stores=1 loads=1 calls=0
11B564BE,context_or_memory_write,store_summary,True,unknown,stores=5 loads=1 calls=0
11B56999,context_or_memory_write,store_summary,True,unknown,stores=3 loads=0 calls=0
11B56B2C,context_or_memory_write,store_summary,True,unknown,stores=1 loads=1 calls=0
11B57075,context_or_memory_write,store_summary,True,unknown,stores=9 loads=0 calls=0
11B57BDB,context_or_memory_write,store_summary,True,unknown,stores=6 loads=0 calls=0
11B581C1,context_or_memory_write,store_summary,True,unknown,stores=13 loads=1 calls=0
11B5863D,context_or_memory_write,store_summary,True,unknown,stores=4 loads=0 calls=0
11B58D6C,context_or_memory_write,store_summary,True,unknown,stores=9 loads=0 calls=0
11B59337,context_or_memory_write,store_summary,True,unknown,stores=2 loads=0 calls=0
11B59392,context_or_memory_write,store_summary,True,unknown,stores=2 loads=0 calls=0
11B59765,context_or_memory_write,store_summary,True,unknown,stores=1 loads=0 calls=0
