candidate_id,function_address,disposition,reason
P622-KS-001,0x11B5863D,candidate_pending_nonstack_semantic_scan,not one of Pass623 permanent stack-save rejects
P622-KS-002,0x11B559CD,rejected_stack_save,Pass623 rejected RSP stack/register-save pattern
P622-KS-003,0x11B59392,candidate_pending_nonstack_semantic_scan,not one of Pass623 permanent stack-save rejects
P622-KS-004,0x11B581C1,candidate_pending_nonstack_semantic_scan,not one of Pass623 permanent stack-save rejects
P622-KS-005,0x11B57BDB,candidate_pending_nonstack_semantic_scan,not one of Pass623 permanent stack-save rejects
P622-KS-006,0x11B56B2C,candidate_pending_nonstack_semantic_scan,not one of Pass623 permanent stack-save rejects
P622-KS-007,0x11B564BE,rejected_stack_save,Pass623 rejected RSP stack/register-save pattern
P622-KS-008,0x11B57075,rejected_stack_save,Pass623 rejected RSP stack/register-save pattern
P622-KS-009,0x11B59765,candidate_pending_nonstack_semantic_scan,not one of Pass623 permanent stack-save rejects
P622-KS-010,0x11B58D6C,candidate_pending_nonstack_semantic_scan,not one of Pass623 permanent stack-save rejects
