window_id,candidate_id,outside_positive_seconds,executed,collision,result
N01,none,true,false,false,not_executed_no_candidate
N02,none,true,false,false,not_executed_no_candidate
N03,none,true,false,false,not_executed_no_candidate
N04,none,true,false,false,not_executed_no_candidate
N05,none,true,false,false,not_executed_no_candidate
N06,none,true,false,false,not_executed_no_candidate
N07,none,true,false,false,not_executed_no_candidate
N08,none,true,false,false,not_executed_no_candidate
N09,none,true,false,false,not_executed_no_candidate
N10,none,true,false,false,not_executed_no_candidate
N11,none,true,false,false,not_executed_no_candidate
N12,none,true,false,false,not_executed_no_candidate
N13,none,true,false,false,not_executed_no_candidate
N14,none,true,false,false,not_executed_no_candidate
N15,none,true,false,false,not_executed_no_candidate
N16,none,true,false,false,not_executed_no_candidate
N17,none,true,false,false,not_executed_no_candidate
N18,none,true,false,false,not_executed_no_candidate
N19,none,true,false,false,not_executed_no_candidate
N20,none,true,false,false,not_executed_no_candidate
N21,none,true,false,false,not_executed_no_candidate
N22,none,true,false,false,not_executed_no_candidate
N23,none,true,false,false,not_executed_no_candidate
N24,none,true,false,false,not_executed_no_candidate
N25,none,true,false,false,not_executed_no_candidate
N26,none,true,false,false,not_executed_no_candidate
N27,none,true,false,false,not_executed_no_candidate
N28,none,true,false,false,not_executed_no_candidate
N29,none,true,false,false,not_executed_no_candidate
N30,none,true,false,false,not_executed_no_candidate
N31,none,true,false,false,not_executed_no_candidate
N32,none,true,false,false,not_executed_no_candidate
N33,none,true,false,false,not_executed_no_candidate
N34,none,true,false,false,not_executed_no_candidate
