function_entry,function_name,op_address,source_kind,address_space_input,destination_pointer_input1,destination_pointer_defuse,stored_value_input2,source_value_slice,value_width,corrected_classification,destination_base_class,persistent_context_candidate,local_file
0x11B50330,FUN_11b50330,0x119BAEA6,instruction_or_high_pcode_store_deduped,"(const, 0x1b1, 8)","(register, 0x20, 8)",nearest preceding p-code in same function subtracts 8 from register 0x20 before STORE,"(unique, 0xab300, 8)","stored value retained separately: (unique, 0xab300, 8)",8,stack_store_via_destination_pointer_register_0x20,rsp_stack_pointer,false,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\11B50330_FUN_11b50330.pcode.txt
0x11B50330,FUN_11b50330,0x11B50330,instruction_or_high_pcode_store_deduped,"(const, 0x1b1, 8)","(register, 0x20, 8)",nearest preceding p-code in same function subtracts 8 from register 0x20 before STORE,"(unique, 0xab300, 8)","stored value retained separately: (unique, 0xab300, 8)",8,stack_store_via_destination_pointer_register_0x20,rsp_stack_pointer,false,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\11B50330_FUN_11b50330.pcode.txt
0x11B50330,FUN_11b50330,0x11B5033B,instruction_or_high_pcode_store_deduped,"(const, 0x1b1, 8)","(register, 0x20, 8)",nearest preceding p-code in same function subtracts 8 from register 0x20 before STORE,"(unique, 0xab300, 8)","stored value retained separately: (unique, 0xab300, 8)",8,stack_store_via_destination_pointer_register_0x20,rsp_stack_pointer,false,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\11B50330_FUN_11b50330.pcode.txt
0x11B57075,FUN_11b57075,0x11B57075,instruction_or_high_pcode_store_deduped,"(const, 0x1b1, 8)","(register, 0x20, 8)",nearest preceding p-code in same function subtracts 8 from register 0x20 before STORE,"(unique, 0x4f900, 8)","stored value retained separately: (unique, 0x4f900, 8)",8,stack_store_via_destination_pointer_register_0x20,rsp_stack_pointer,false,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\11B57075_FUN_11b57075.pcode.txt
0x11B57075,FUN_11b57075,0x11B5707A,instruction_or_high_pcode_store_deduped,"(const, 0x1b1, 8)","(register, 0x20, 8)",nearest preceding p-code in same function subtracts 8 from register 0x20 before STORE,"(unique, 0x4f900, 8)","stored value retained separately: (unique, 0x4f900, 8)",8,stack_store_via_destination_pointer_register_0x20,rsp_stack_pointer,false,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\11B57075_FUN_11b57075.pcode.txt
0x11B57075,FUN_11b57075,0x11B5707F,instruction_or_high_pcode_store_deduped,"(const, 0x1b1, 8)","(register, 0x20, 8)",nearest preceding p-code in same function subtracts 8 from register 0x20 before STORE,"(unique, 0x4f900, 8)","stored value retained separately: (unique, 0x4f900, 8)",8,stack_store_via_destination_pointer_register_0x20,rsp_stack_pointer,false,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\11B57075_FUN_11b57075.pcode.txt
0x11B57075,FUN_11b57075,0x11B5708F,instruction_or_high_pcode_store_deduped,"(const, 0x1b1, 8)","(register, 0x20, 8)",nearest preceding p-code in same function subtracts 8 from register 0x20 before STORE,"(unique, 0x4f900, 8)","stored value retained separately: (unique, 0x4f900, 8)",8,stack_store_via_destination_pointer_register_0x20,rsp_stack_pointer,false,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\11B57075_FUN_11b57075.pcode.txt
0x11B57075,FUN_11b57075,0x11B57094,instruction_or_high_pcode_store_deduped,"(const, 0x1b1, 8)","(register, 0x20, 8)",nearest preceding p-code in same function subtracts 8 from register 0x20 before STORE,"(unique, 0x4f900, 8)","stored value retained separately: (unique, 0x4f900, 8)",8,stack_store_via_destination_pointer_register_0x20,rsp_stack_pointer,false,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\11B57075_FUN_11b57075.pcode.txt
0x11B57075,FUN_11b57075,0x11B5709E,instruction_or_high_pcode_store_deduped,"(const, 0x1b1, 8)","(register, 0x20, 8)",nearest preceding p-code in same function subtracts 8 from register 0x20 before STORE,"(unique, 0x4f900, 8)","stored value retained separately: (unique, 0x4f900, 8)",8,stack_store_via_destination_pointer_register_0x20,rsp_stack_pointer,false,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\11B57075_FUN_11b57075.pcode.txt
0x11B57075,FUN_11b57075,0x11B58BCD,instruction_or_high_pcode_store_deduped,"(const, 0x1b1, 8)","(register, 0x20, 8)",nearest preceding p-code in same function subtracts 8 from register 0x20 before STORE,"(unique, 0x4f900, 8)","stored value retained separately: (unique, 0x4f900, 8)",8,stack_store_via_destination_pointer_register_0x20,rsp_stack_pointer,false,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\11B57075_FUN_11b57075.pcode.txt
0x11B57075,FUN_11b57075,0x11B58BD6,instruction_or_high_pcode_store_deduped,"(const, 0x1b1, 8)","(register, 0x20, 8)",nearest preceding p-code in same function subtracts 8 from register 0x20 before STORE,"(unique, 0x4f900, 8)","stored value retained separately: (unique, 0x4f900, 8)",8,stack_store_via_destination_pointer_register_0x20,rsp_stack_pointer,false,C:\AionTools\aion_decoder_agent\outbox\pass659_targeted_native_context_trace\11B57075_FUN_11b57075.pcode.txt
