transition,callsite_address,argument_register,immediate_varnode,alias_copy_cast_chain,definition_chain,use_chain,one_caller_up_origin,resolved_status,evidence_confidence
0x1195DA7B->0x11B50330,0x1195DA7B,RCX,not_materialized,not emitted,missing,no HighFunction CALL input or parameter storage row for this register at target callsite,bounded one-up chain inspected via target functions only,not_resolved_from_export,none
0x1195DA7B->0x11B50330,0x1195DA7B,RDX,not_materialized,not emitted,missing,no HighFunction CALL input or parameter storage row for this register at target callsite,bounded one-up chain inspected via target functions only,not_resolved_from_export,none
0x1195DA7B->0x11B50330,0x1195DA7B,R8,not_materialized,not emitted,missing,no HighFunction CALL input or parameter storage row for this register at target callsite,bounded one-up chain inspected via target functions only,not_resolved_from_export,none
0x1195DA7B->0x11B50330,0x1195DA7B,R9,not_materialized,not emitted,missing,no HighFunction CALL input or parameter storage row for this register at target callsite,bounded one-up chain inspected via target functions only,not_resolved_from_export,none
0x11B50330->0x11B56C63,0x11B50340,RCX,not_materialized,not emitted,missing,no HighFunction CALL input or parameter storage row for this register at target callsite,bounded one-up chain inspected via target functions only,not_resolved_from_export,none
0x11B50330->0x11B56C63,0x11B50340,RDX,not_materialized,not emitted,missing,no HighFunction CALL input or parameter storage row for this register at target callsite,bounded one-up chain inspected via target functions only,not_resolved_from_export,none
0x11B50330->0x11B56C63,0x11B50340,R8,not_materialized,not emitted,missing,no HighFunction CALL input or parameter storage row for this register at target callsite,bounded one-up chain inspected via target functions only,not_resolved_from_export,none
0x11B50330->0x11B56C63,0x11B50340,R9,not_materialized,not emitted,missing,no HighFunction CALL input or parameter storage row for this register at target callsite,bounded one-up chain inspected via target functions only,not_resolved_from_export,none
0x11B50330->0x11B56C63,0x119BAEAB,RCX,not_materialized,not emitted,missing,no HighFunction CALL input or parameter storage row for this register at target callsite,bounded one-up chain inspected via target functions only,not_resolved_from_export,none
0x11B50330->0x11B56C63,0x119BAEAB,RDX,not_materialized,not emitted,missing,no HighFunction CALL input or parameter storage row for this register at target callsite,bounded one-up chain inspected via target functions only,not_resolved_from_export,none
0x11B50330->0x11B56C63,0x119BAEAB,R8,not_materialized,not emitted,missing,no HighFunction CALL input or parameter storage row for this register at target callsite,bounded one-up chain inspected via target functions only,not_resolved_from_export,none
0x11B50330->0x11B56C63,0x119BAEAB,R9,not_materialized,not emitted,missing,no HighFunction CALL input or parameter storage row for this register at target callsite,bounded one-up chain inspected via target functions only,not_resolved_from_export,none
0x11B503FD->0x1195DA7B,0x11B503FD,RCX,not_materialized,not emitted,missing,no HighFunction CALL input or parameter storage row for this register at target callsite,bounded one-up chain inspected via target functions only,not_resolved_from_export,none
0x11B503FD->0x1195DA7B,0x11B503FD,RDX,not_materialized,not emitted,missing,no HighFunction CALL input or parameter storage row for this register at target callsite,bounded one-up chain inspected via target functions only,not_resolved_from_export,none
0x11B503FD->0x1195DA7B,0x11B503FD,R8,not_materialized,not emitted,missing,no HighFunction CALL input or parameter storage row for this register at target callsite,bounded one-up chain inspected via target functions only,not_resolved_from_export,none
0x11B503FD->0x1195DA7B,0x11B503FD,R9,not_materialized,not emitted,missing,no HighFunction CALL input or parameter storage row for this register at target callsite,bounded one-up chain inspected via target functions only,not_resolved_from_export,none
