transition,callsite_address,caller_function,callee_function,thunk_alias,argument_register,source_parameter_or_storage,varnode,definition_classification,defining_op,one_caller_up_origin,callee_use,candidate_semantic_role,confidence,evidence_file
0x1195DA7B->0x11B50330,0x1195DA7B,0x1195DA7B,0x11B50330,thunk_or_tail_branch,RCX,not_resolved_from_export,not_materialized,not_emitted,missing,0x11B503FD->0x1195DA7B inspected,no concrete callee use recovered,unrelated_or_passthrough,none,C:\AionTools\aion_decoder_agent\outbox\pass661_livein_argument_resolution\livein_uses.csv
0x1195DA7B->0x11B50330,0x1195DA7B,0x1195DA7B,0x11B50330,thunk_or_tail_branch,RDX,not_resolved_from_export,not_materialized,not_emitted,missing,0x11B503FD->0x1195DA7B inspected,no concrete callee use recovered,unrelated_or_passthrough,none,C:\AionTools\aion_decoder_agent\outbox\pass661_livein_argument_resolution\livein_uses.csv
0x1195DA7B->0x11B50330,0x1195DA7B,0x1195DA7B,0x11B50330,thunk_or_tail_branch,R8,not_resolved_from_export,not_materialized,not_emitted,missing,0x11B503FD->0x1195DA7B inspected,no concrete callee use recovered,unrelated_or_passthrough,none,C:\AionTools\aion_decoder_agent\outbox\pass661_livein_argument_resolution\livein_uses.csv
0x1195DA7B->0x11B50330,0x1195DA7B,0x1195DA7B,0x11B50330,thunk_or_tail_branch,R9,not_resolved_from_export,not_materialized,not_emitted,missing,0x11B503FD->0x1195DA7B inspected,no concrete callee use recovered,unrelated_or_passthrough,none,C:\AionTools\aion_decoder_agent\outbox\pass661_livein_argument_resolution\livein_uses.csv
0x11B50330->0x11B56C63,0x11B50340,0x11B50330,0x11B56C63,direct_or_conditional_tail_branch,RCX,not_resolved_from_export,not_materialized,not_emitted,missing,0x1195DA7B passthrough inspected,no concrete callee use recovered,unrelated_or_passthrough,none,C:\AionTools\aion_decoder_agent\outbox\pass661_livein_argument_resolution\livein_uses.csv
0x11B50330->0x11B56C63,0x11B50340,0x11B50330,0x11B56C63,direct_or_conditional_tail_branch,RDX,not_resolved_from_export,not_materialized,not_emitted,missing,0x1195DA7B passthrough inspected,no concrete callee use recovered,unrelated_or_passthrough,none,C:\AionTools\aion_decoder_agent\outbox\pass661_livein_argument_resolution\livein_uses.csv
0x11B50330->0x11B56C63,0x11B50340,0x11B50330,0x11B56C63,direct_or_conditional_tail_branch,R8,not_resolved_from_export,not_materialized,not_emitted,missing,0x1195DA7B passthrough inspected,no concrete callee use recovered,unrelated_or_passthrough,none,C:\AionTools\aion_decoder_agent\outbox\pass661_livein_argument_resolution\livein_uses.csv
0x11B50330->0x11B56C63,0x11B50340,0x11B50330,0x11B56C63,direct_or_conditional_tail_branch,R9,not_resolved_from_export,not_materialized,not_emitted,missing,0x1195DA7B passthrough inspected,no concrete callee use recovered,unrelated_or_passthrough,none,C:\AionTools\aion_decoder_agent\outbox\pass661_livein_argument_resolution\livein_uses.csv
0x11B50330->0x11B56C63,0x119BAEAB,0x11B50330,0x11B56C63,direct_or_conditional_tail_branch,RCX,not_resolved_from_export,not_materialized,not_emitted,missing,0x1195DA7B passthrough inspected,no concrete callee use recovered,unrelated_or_passthrough,none,C:\AionTools\aion_decoder_agent\outbox\pass661_livein_argument_resolution\livein_uses.csv
0x11B50330->0x11B56C63,0x119BAEAB,0x11B50330,0x11B56C63,direct_or_conditional_tail_branch,RDX,not_resolved_from_export,not_materialized,not_emitted,missing,0x1195DA7B passthrough inspected,no concrete callee use recovered,unrelated_or_passthrough,none,C:\AionTools\aion_decoder_agent\outbox\pass661_livein_argument_resolution\livein_uses.csv
0x11B50330->0x11B56C63,0x119BAEAB,0x11B50330,0x11B56C63,direct_or_conditional_tail_branch,R8,not_resolved_from_export,not_materialized,not_emitted,missing,0x1195DA7B passthrough inspected,no concrete callee use recovered,unrelated_or_passthrough,none,C:\AionTools\aion_decoder_agent\outbox\pass661_livein_argument_resolution\livein_uses.csv
0x11B50330->0x11B56C63,0x119BAEAB,0x11B50330,0x11B56C63,direct_or_conditional_tail_branch,R9,not_resolved_from_export,not_materialized,not_emitted,missing,0x1195DA7B passthrough inspected,no concrete callee use recovered,unrelated_or_passthrough,none,C:\AionTools\aion_decoder_agent\outbox\pass661_livein_argument_resolution\livein_uses.csv
0x11B503FD->0x1195DA7B,0x11B503FD,0x11B503FD,0x1195DA7B,thunk_or_tail_branch,RCX,not_resolved_from_export,not_materialized,not_emitted,missing,not_applicable,no concrete callee use recovered,unrelated_or_passthrough,none,C:\AionTools\aion_decoder_agent\outbox\pass661_livein_argument_resolution\livein_uses.csv
0x11B503FD->0x1195DA7B,0x11B503FD,0x11B503FD,0x1195DA7B,thunk_or_tail_branch,RDX,not_resolved_from_export,not_materialized,not_emitted,missing,not_applicable,no concrete callee use recovered,unrelated_or_passthrough,none,C:\AionTools\aion_decoder_agent\outbox\pass661_livein_argument_resolution\livein_uses.csv
0x11B503FD->0x1195DA7B,0x11B503FD,0x11B503FD,0x1195DA7B,thunk_or_tail_branch,R8,not_resolved_from_export,not_materialized,not_emitted,missing,not_applicable,no concrete callee use recovered,unrelated_or_passthrough,none,C:\AionTools\aion_decoder_agent\outbox\pass661_livein_argument_resolution\livein_uses.csv
0x11B503FD->0x1195DA7B,0x11B503FD,0x11B503FD,0x1195DA7B,thunk_or_tail_branch,R9,not_resolved_from_export,not_materialized,not_emitted,missing,not_applicable,no concrete callee use recovered,unrelated_or_passthrough,none,C:\AionTools\aion_decoder_agent\outbox\pass661_livein_argument_resolution\livein_uses.csv
