page_va,executable,before_sha256,after_sha256,before_nonzero,after_nonzero,change_reason,before_permissions,permissions
0x1015a000,True,d8881ad9daa8193cf3b155532008dc1e08bc9517ea7c94982aee71f11e15a89c,36a5b90ed5b8acae462506bea93792f96903e7a9b60f72e4c57438d3148d5608,True,True,executable_page_changed,7,7
0x1015b000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,ceefce9ea5d60c694720b4b8b9d8f9fc034dbac1d64baed4760eec3aae5de22c,False,True,executable_page_changed,7,7
0x1015c000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,20cd51e16a90fb9976aeb23893e80976039fb2cec87d1c73c000c78802b5982f,False,True,executable_page_changed,7,7
0x1015d000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,05524bc33733f4216c9869ef4b8c0de4e80085df1be1a79fff0b8acaac4b0fa8,False,True,executable_page_changed,7,7
0x1015e000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,7fcf099cd30b7f1ad648105899ec5505eb4225f604e8d9e6d7d953daf92f69bc,False,True,executable_page_changed,7,7
0x1015f000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,03d3521d18b9f73bf0eeefe2691af370300e0ccf0673c51963c8facc7703cd6d,False,True,executable_page_changed,7,7
0x10160000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,70209452624a5b9bca1f4fa6e17394fcd37621ceec54b269e9d499da811c6452,False,True,executable_page_changed,7,7
0x10161000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,f025072599a6ce2eb7001cda23eec698bad1dfbfb52a65717e345ae35617fa5f,False,True,executable_page_changed,7,7
0x10162000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,03dd37317762588d4d395a6af99e01ece35b8dfb0cfbfbd694bb3aa40b5252c5,False,True,executable_page_changed,7,7
0x10163000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,2b63d5b2e396181c1ad2c8d4dd35e077d09a956a9e7198c5f76e7c71785b7872,False,True,executable_page_changed,7,7
0x10164000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,95f4fa53993081945aadbed0109d0acb16e62698a8d59c3458a1377a52c03f5f,False,True,executable_page_changed,7,7
0x10165000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,fb1efb120ed7f957b2fba5d3d6900df32331fa7146ba75b4e37aa02f1495f7bb,False,True,executable_page_changed,7,7
