PROGRESS 2960006268 apis= 964 ready= False {'rip': '0x18021f358', 'rsp': '0x7000ffde88', 'rbp': '0x16d647014', 'rax': '0xd71a8538', 'rbx': '0xb9867f6f', 'rcx': '0xedb4da', 'rdx': '0x1802911af', 'rsi': '0x161f64cf', 'rdi': '0x0', 'eflags': '0x283'}
PROGRESS 2970006268 apis= 964 ready= False {'rip': '0x18021f3fa', 'rsp': '0x7000ffde90', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0xeec067', 'rdx': '0x1802911af', 'rsi': '0x1', 'rdi': '0x0', 'eflags': '0x202'}
PROGRESS 2980006268 apis= 964 ready= False {'rip': '0x18021f7e5', 'rsp': '0x7000ffde90', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0xefcbf5', 'rdx': '0x1802911af', 'rsi': '0x5003dddc54', 'rdi': '0x0', 'eflags': '0x207'}
PROGRESS 2990006268 apis= 964 ready= False {'rip': '0x18021ff54', 'rsp': '0x7000ffde90', 'rbp': '0x30', 'rax': '0x8a1fc5de', 'rbx': '0xb9867f6f', 'rcx': '0x16d647014', 'rdx': '0x1802911af', 'rsi': '0x5003e20a88', 'rdi': '0x0', 'eflags': '0x206'}
PROGRESS 3000006268 apis= 964 ready= False {'rip': '0x18021eb48', 'rsp': '0x7000ffde90', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0xc268003f', 'rdx': '0x1802911af', 'rsi': '0x5003e638bc', 'rdi': '0xffffffff75e03a26', 'eflags': '0x216'}
PROGRESS 3010006268 apis= 964 ready= False {'rip': '0x18021e83e', 'rsp': '0x7000ffde98', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0xf2ee9c', 'rdx': '0x1802911af', 'rsi': '0x5003ea66f4', 'rdi': '0x0', 'eflags': '0x213'}
PROGRESS 3020006268 apis= 964 ready= False {'rip': '0x1802207c3', 'rsp': '0x7000ffde80', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0xf3fa29', 'rdx': '0x1802911af', 'rsi': '0x161f64cf', 'rdi': '0x7000ffde88', 'eflags': '0x206'}
PROGRESS 3030006268 apis= 964 ready= False {'rip': '0x18021f37f', 'rsp': '0x7000ffde78', 'rbp': '0x16d647014', 'rax': '0x975b3483', 'rbx': '0xb9867f6f', 'rcx': '0xf505b6', 'rdx': '0x1802911af', 'rsi': '0x161f64cf', 'rdi': '0x0', 'eflags': '0x202'}
PROGRESS 3040006268 apis= 964 ready= False {'rip': '0x18021f422', 'rsp': '0x7000ffde98', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0x5f3b303a', 'rdx': '0x1802911af', 'rsi': '0x1', 'rdi': '0x0', 'eflags': '0xa06'}
PROGRESS 3050006268 apis= 964 ready= False {'rip': '0x18021f9ac', 'rsp': '0x7000ffde90', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0x76bf5d65', 'rdx': '0x1802911af', 'rsi': '0x7fe5a1db', 'rdi': '0x0', 'eflags': '0x206'}
PROGRESS 3060006268 apis= 964 ready= False {'rip': '0x18022001e', 'rsp': '0x7000ffde80', 'rbp': '0x8a1fc5de', 'rax': '0x8a1fc5de', 'rbx': '0xb9867f6f', 'rcx': '0x7000ffde90', 'rdx': '0x1802911af', 'rsi': '0x5003ff4df8', 'rdi': '0x0', 'eflags': '0x216'}
